t,p,q,d,b,a
2024-02-15,15300,136300.0,-70700.0,103500.0,32800.0
2024-02-15,15350,74200.0,-62400.0,68300.0,5900.0
2024-02-15,15400,616100.0,-226700.0,421400.0,194700.0
2024-02-15,15450,379300.0,-147500.0,263400.0,115900.0
2024-02-15,15500,477500.0,170500.0,153500.0,324000.0
2024-02-15,15550,120300.0,47100.0,36600.0,83700.0
2024-02-15,15600,52400.0,50800.0,800.0,51600.0
2024-02-15,15650,30000.0,30000.0,0.0,30000.0
2024-02-16,15250,93800.0,-93800.0,93800.0,0.0
2024-02-16,15300,789700.0,-221700.0,505700.0,284000.0
2024-02-16,15350,680400.0,65400.0,307500.0,372900.0
2024-02-16,15400,483600.0,250000.0,116800.0,366800.0
2024-02-16,15450,15000.0,15000.0,0.0,15000.0
2024-02-19,14900,32800.0,-32800.0,32800.0,0.0
2024-02-19,14950,434100.0,-248100.0,341100.0,93000.0
2024-02-19,15000,1359700.0,-534900.0,947300.0,412400.0
2024-02-19,15050,879900.0,-142300.0,511100.0,368800.0
2024-02-19,15100,341500.0,-126100.0,233800.0,107700.0
2024-02-19,15150,323900.0,-161900.0,242900.0,81000.0
2024-02-19,15200,142700.0,-15500.0,79100.0,63600.0
2024-02-19,15250,93100.0,-89700.0,91400.0,1700.0
2024-02-19,15300,160000.0,-119800.0,139900.0,20100.0
2024-02-19,15350,600.0,600.0,0.0,600.0
2024-02-20,14900,263700.0,-263700.0,263700.0,0.0
2024-02-20,14950,591800.0,-149200.0,370500.0,221300.0
2024-02-20,15000,979900.0,-191100.0,585500.0,394400.0
2024-02-20,15050,605000.0,-145400.0,375200.0,229800.0
2024-02-20,15100,147900.0,127700.0,10100.0,137800.0
2024-02-21,14850,50800.0,-50800.0,50800.0,0.0
2024-02-21,14900,213100.0,118100.0,47500.0,165600.0
2024-02-21,14950,83400.0,78400.0,2500.0,80900.0
2024-02-21,15000,157800.0,157800.0,0.0,157800.0
2024-02-21,15050,88300.0,88300.0,0.0,88300.0
2024-02-21,15100,232500.0,173300.0,29600.0,202900.0
2024-02-21,15150,129800.0,-16400.0,73100.0,56700.0
2024-02-21,15200,404800.0,255600.0,74600.0,330200.0
2024-02-21,15250,240800.0,-5400.0,123100.0,117700.0
2024-02-21,15300,1653600.0,-335400.0,994500.0,659100.0
2024-02-21,15350,1372600.0,745600.0,313500.0,1059100.0
2024-02-21,15400,18900.0,18900.0,0.0,18900.0
2024-02-22,15200,158400.0,-158400.0,158400.0,0.0
2024-02-22,15250,728300.0,-177500.0,452900.0,275400.0
2024-02-22,15300,414400.0,-264600.0,339500.0,74900.0
2024-02-22,15350,951000.0,-319400.0,635200.0,315800.0
2024-02-22,15400,231100.0,-122300.0,176700.0,54400.0
2024-02-22,15450,525300.0,-338700.0,432000.0,93300.0
2024-02-22,15500,1108300.0,125300.0,491500.0,616800.0
2024-02-22,15550,104200.0,49000.0,27600.0,76600.0
2024-02-22,15600,3500.0,3500.0,0.0,3500.0
2024-02-23,14750,130700.0,-130700.0,130700.0,0.0
2024-02-23,14800,161800.0,-158800.0,160300.0,1500.0
2024-02-23,14850,349100.0,-321500.0,335300.0,13800.0
2024-02-23,14900,670400.0,-341600.0,506000.0,164400.0
2024-02-23,14950,629600.0,-345400.0,487500.0,142100.0
2024-02-23,15000,932500.0,-642900.0,787700.0,144800.0
2024-02-23,15050,763200.0,-346400.0,554800.0,208400.0
2024-02-23,15100,659100.0,-311900.0,485500.0,173600.0
2024-02-23,15150,844500.0,-369100.0,606800.0,237700.0
2024-02-23,15200,647600.0,-35800.0,341700.0,305900.0
2024-02-23,15250,612700.0,-49100.0,330900.0,281800.0
2024-02-23,15300,90100.0,90100.0,0.0,90100.0
2024-02-26,13350,34700.0,-33700.0,34200.0,500.0
2024-02-26,13400,361500.0,-32100.0,196800.0,164700.0
