t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,8300,8600,8200,8500,3671430,1,1.274454,1.274454
2024-02-16,8500,8500,8300,8500,1345596,1,0.183188,1.457642
2024-02-19,8400,8500,8300,8400,1383385,1,-0.112715,1.344927
2024-02-20,8400,8400,8300,8400,862573,1,-0.098797,1.24613
2024-02-21,8400,8500,8300,8400,1458861,1,0.189923,1.436053
2024-02-22,8400,8500,8300,8400,1874476,1,-1.372668,0.063385
2024-02-23,8400,8600,8300,8400,4788089,1,0.383883,0.447268
2024-02-26,8400,8500,8300,8400,683508,1,0.055462,0.50273
2024-02-27,8400,8400,8200,8300,1621447,1,-0.948839,-0.446109
2024-02-28,8400,8400,8300,8400,1048821,1,-0.653733,-1.099842
2024-02-29,8400,8400,8300,8300,577321,1,-0.213431,-1.313273
2024-03-01,8300,8600,8300,8400,3380881,1,-0.314663,-1.627936
2024-03-04,8400,8500,8300,8400,826578,1,0.204892,-1.423044
2024-03-05,8400,8400,8200,8400,2399183,1,-0.727703,-2.150747
2024-03-06,8400,8400,8200,8300,2610300,1,-0.597804,-2.748551
2024-03-07,8200,8300,8100,8300,1630431,1,-0.813281,-3.561832
2024-03-08,8300,8300,8100,8200,1116536,1,-0.550774,-4.112606
2024-03-11,8200,8200,8000,8100,1231759,1,-0.309869,-4.422475
2024-03-12,8100,8200,8000,8100,554564,1,0.051702,-4.370773
2024-03-13,8100,8200,8000,8200,1277562,1,0.616988,-3.753785
2024-03-14,8100,8200,8000,8200,929536,1,-0.584812,-4.338597
2024-03-15,8100,8200,8000,8200,1116857,1,-0.538889,-4.877486
2024-03-19,8000,8100,7900,7900,515732,1,0.05696,-4.820526
2024-03-20,8000,8100,7900,8000,396002,1,-0.090004,-4.91053
2024-03-21,8000,8100,8000,8000,1114370,1,-0.761918,-5.672448
2024-03-22,8000,8200,8000,8100,1526277,1,0.348073,-5.324375
2024-03-25,8100,8100,7900,8100,1164813,1,-0.146579,-5.470954
2024-03-26,8000,8100,7900,8100,1074368,1,0.011796,-5.459158
2024-03-27,8000,8100,7900,8000,955763,1,-0.111689,-5.570847
2024-03-28,8000,8100,7900,8100,2444673,1,-0.677173,-6.24802
2024-03-29,8100,8100,7900,8100,1077938,1,-0.740012,-6.988032
2024-04-01,8000,8100,7900,8000,997861,1,0.512651,-6.475381
2024-04-02,8000,8000,7800,8000,1317390,1,-1.051138,-7.526519
2024-04-03,7900,8000,7900,8000,1327146,1,-0.023496,-7.550015
2024-04-04,8000,8000,7800,8000,1112154,1,-0.798052,-8.348067
2024-04-05,8000,8000,7800,7900,974311,1,0.197143,-8.150924
2024-04-08,7900,7900,7800,7900,817717,1,-0.541271,-8.692195
2024-04-09,7800,7900,7700,7900,1300250,1,-0.10819,-8.800385
2024-04-10,7900,8200,7800,8100,4682103,1,2.040911,-6.759474
2024-04-11,8000,8200,8000,8200,2687623,1,0.518953,-6.240521
2024-04-12,8200,8200,7900,8200,2499514,1,0.878598,-5.361923
2024-04-15,8100,8100,7800,8000,4056223,1,-1.213829,-6.575752
2024-04-16,8000,8000,7700,7900,2450456,1,-0.539062,-7.114814
2024-04-17,7800,7900,7700,7800,1708191,1,-0.196181,-7.310995
2024-04-19,7800,7800,7500,7500,1419991,1,-0.422791,-7.733786
2024-04-22,7600,7700,7500,7600,1071222,1,-0.327006,-8.060792
2024-04-23,7700,7700,7500,7600,676628,1,-0.148986,-8.209778
2024-04-25,7700,7800,7600,7800,1053983,1,-0.485753,-8.695531
2024-04-26,7800,7800,7600,7700,856832,1,-0.487888,-9.183419
2024-05-02,7700,7800,7600,7700,316222,1,0.0261,-9.157319
2024-05-03,7600,7800,7600,7700,750944,1,0.33113,-8.826189
2024-05-06,7700,7800,7600,7800,727443,1,-0.075437,-8.901626
2024-05-07,7800,7800,7700,7700,254033,1,-0.068255,-8.969881
2024-05-08,7700,7800,7700,7800,1374915,1,-0.467849,-9.43773
2024-05-09,7700,8000,7700,7900,2527280,1,1.081172,-8.356558
2024-05-10,8000,8000,7800,7900,1001991,1,-0.298293,-8.654851
2024-05-13,7800,7900,7700,7700,708253,1,0.142419,-8.512432
2024-05-14,7700,7800,7700,7800,548025,1,0.033401,-8.479031
2024-05-15,7800,7800,7700,7800,1126339,1,-0.758467,-9.237498
2024-05-16,7800,7900,7700,7700,2043183,1,1.135475,-8.102023
2024-05-17,7800,7900,7700,7800,965251,1,-0.016499,-8.118522
2024-05-20,7800,8300,7800,8200,11447105,1,8.561873,0.443351
2024-05-21,8100,9300,8100,9100,68718379,1,56.692611,57.135962
2024-05-22,9100,9300,8500,8500,15769715,1,-3.646809,53.489153
2024-05-23,8600,8700,8300,8500,8082882,1,-0.022964,53.466189
2024-05-24,8600,9000,8400,8600,5527617,1,-0.803845,52.662344
2024-05-27,8700,8700,8400,8600,2376879,1,-0.667425,51.994919
2024-05-28,8500,8600,8300,8500,3561446,1,-1.309696,50.685223
2024-05-29,8500,9100,8400,8800,7527986,1,2.092932,52.778155
2024-05-30,8800,8800,8500,8700,2564341,1,-0.464601,52.313554
2024-05-31,8600,8700,8500,8600,1913126,1,-1.045062,51.268492
2024-06-03,8600,8800,8500,8800,2865689,1,0.854861,52.123353
2024-06-04,8600,8800,8600,8700,2184025,1,-1.174249,50.949104
2024-06-05,8700,8800,8500,8600,2174616,1,-0.42571,50.523394
2024-06-06,8600,8700,8400,8600,2363845,1,-0.574265,49.949129
2024-06-07,8600,8700,8500,8700,2185267,1,0.566745,50.515874
2024-06-10,8700,8800,8600,8700,2468147,1,-0.468337,50.047537
2024-06-11,8600,8800,8500,8600,1809540,1,-0.75282,49.294717
2024-06-12,8600,8700,8500,8700,1970944,1,0.531984,49.826701
2024-06-13,8700,8800,8500,8700,1743768,1,-0.816884,49.009817
2024-06-14,8700,8700,8400,8500,3159498,1,-1.759386,47.250431
2024-06-17,8500,8500,8300,8400,1570280,1,-0.772648,46.477783
2024-06-18,8400,8500,8400,8400,1063813,1,-0.536317,45.941466
2024-06-19,8400,8500,8300,8400,927578,1,0.136772,46.078238
2024-06-20,8500,8500,8300,8400,1234770,1,-0.411316,45.666922
2024-06-21,8300,8500,8200,8300,1068435,1,-0.122717,45.544205
2024-06-24,8400,8400,8100,8200,1766192,1,-1.112683,44.431522
2024-06-25,8200,8300,8100,8200,915849,1,-0.134303,44.297219
2024-06-26,8200,8200,8000,8200,1247241,1,-0.273993,44.023226
2024-06-27,8100,8200,8000,8200,795494,1,-0.073508,43.949718
2024-06-28,8200,8200,8000,8100,965097,1,-0.396417,43.553301
2024-07-01,8100,8100,7900,8000,907384,1,0.109124,43.662425
2024-07-02,8000,8100,7900,8100,695003,1,0.283629,43.946054
2024-07-03,8100,8200,8000,8100,808924,1,0.35954,44.305594
2024-07-04,8100,8200,8000,8100,618796,1,-0.140616,44.164978
2024-07-05,8100,8200,8000,8200,553864,1,0.110118,44.275096
2024-07-08,8100,8200,8000,8200,602355,1,-0.2912,43.983896
2024-07-09,8100,8200,8000,8200,805097,1,-0.2798,43.704096
2024-07-10,8200,8200,8000,8100,564437,1,-0.4635,43.240596
2024-07-11,8100,8200,8000,8200,644888,1,-0.3931,42.847496
2024-07-12,8100,8100,8000,8100,383747,1,0.2374,43.084896
2024-07-15,8100,8200,8000,8100,769622,1,-0.4011,42.683796
2024-07-16,8000,8200,8000,8100,962570,1,-0.2,42.483796
2024-07-17,8100,8500,8100,8300,4622139,1,0.9352,43.418996
2024-07-18,8300,8300,8100,8300,766058,1,0.173,43.591996
2024-07-19,8300,8300,8000,8100,1682032,1,-1.0211,42.570896
2024-07-22,8100,8200,7900,8100,1905705,1,-0.4919,42.078996
2024-07-23,8000,8100,7800,7900,1286074,1,-0.7077,41.371296
