t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,23560,23860,22850,22850,14255094,1,-2.9297,-2.9297
2024-02-16,23100,23180,22930,23180,9502568,1,-1.7481,-4.6778
2024-02-19,23270,23270,22850,23270,11864502,1,-0.8195,-5.4973
2024-02-20,23100,23310,22970,23140,7321603,1,-1.2316,-6.7289
2024-02-21,23100,23440,23020,23270,10257725,1,-0.8396,-7.5685
2024-02-22,23270,23310,23100,23230,7407861,1,-0.5005,-8.069
2024-02-23,23270,23860,22930,22930,25987605,1,1.4114,-6.6576
2024-02-26,22930,23270,22760,23100,9791428,1,0.2998,-6.3578
2024-02-27,23270,23270,22970,23180,12061563,1,-2.9008,-9.2586
2024-02-28,23230,23520,23140,23520,10465608,1,-0.1861,-9.4447
2024-02-29,23600,23730,23270,23520,9960379,1,-2.9846,-12.4293
2024-03-01,23520,23520,23140,23350,10201609,1,-0.8563,-13.2856
2024-03-04,23350,23690,23020,23350,13224034,1,-0.3866,-13.6722
2024-03-05,23350,23520,23140,23480,6339771,1,0.9245,-12.7477
2024-03-06,23520,23650,23140,23180,9799350,1,-1.9726,-14.7203
2024-03-07,23180,23270,23020,23100,10171157,1,-1.5993,-16.3196
2024-03-08,23100,23230,22680,22720,23024715,1,-12.2144,-28.534
2024-03-11,22720,22760,22390,22470,12023089,1,-4.0589,-32.5929
2024-03-12,22390,22550,22340,22470,8318885,1,-2.7157,-35.3086
2024-03-13,22470,23230,22470,23230,8940425,1,2.0129,-33.2957
2024-03-14,23180,23180,22720,22890,8232737,1,-2.4598,-35.7555
2024-03-15,22890,23020,22680,22970,7828640,1,-1.4133,-37.1688
2024-03-18,22850,22970,22430,22600,14127772,1,-3.8934,-41.0622
2024-03-19,22510,22720,22470,22550,7125247,1,-3.3944,-44.4566
2024-03-20,22550,23270,22510,23100,14010312,1,3.4686,-40.988
2024-03-21,23270,23520,23140,23520,12824070,1,2.0051,-38.9829
2024-03-22,23730,24320,23440,23650,22688584,1,-2.1776,-41.1605
2024-03-25,23560,23560,23100,23100,10196791,1,-4.2043,-45.3648
2024-03-26,23180,23480,22970,23480,6287467,1,0.4419,-44.9229
2024-03-27,23480,23560,23180,23520,5962845,1,-0.6422,-45.5651
