t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,17400,17450,17150,17300,1199810,1,-0.3518,-0.3518
2024-02-16,17400,17550,17150,17300,1306613,1,-0.3481,-0.6999
2024-02-19,17350,17350,16900,17200,1716835,1,-0.6149,-1.3148
2024-02-20,17300,17750,17300,17500,2708617,1,0.2272,-1.0876
2024-02-21,17500,17500,17200,17400,878476,1,-0.2288,-1.3164
2024-02-22,17400,17500,17100,17150,1137260,1,-0.4291,-1.7455
2024-02-23,17250,17300,16149,16550,2620174,1,-0.9561,-2.7016
2024-02-26,16600,17300,16500,17300,2081147,1,0.9055,-1.7961
2024-02-27,17350,17650,17150,17400,1598658,1,0.1641,-1.632
2024-02-28,17500,17500,17100,17300,1121093,1,-0.0836,-1.7156
2024-02-29,17400,17800,17300,17450,2740656,1,0.216,-1.4996
2024-03-01,17650,18500,17500,18100,3490695,1,0.8595,-0.6401
2024-03-04,18250,18450,17800,18100,1855453,1,-0.5434,-1.1835
2024-03-05,18100,18800,17700,18800,3115430,1,0.1262,-1.0573
2024-03-06,19000,19400,18600,19100,3844314,1,-0.2468,-1.3041
2024-03-07,19400,20400,19400,20400,4335493,1,-0.204,-1.5081
2024-03-08,21000,21350,20500,21000,5478863,1,0.3871,-1.121
2024-03-11,20800,21600,20500,21200,3088526,1,0.0796,-1.0414
2024-03-12,21200,21250,20500,20900,2898076,1,-0.6261,-1.6675
2024-03-13,21000,21900,20700,21800,3897868,1,0.7728,-0.8947
2024-03-14,22000,22000,21100,21350,3849549,1,-1.3546,-2.2493
2024-03-15,21350,21500,20700,21500,3016910,1,-0.7849,-3.0342
2024-03-18,21600,21650,20000,20150,6766885,1,-0.2301,-3.2643
2024-03-19,20200,20500,19900,20250,2085887,1,0.1527,-3.1116
2024-03-20,20300,20900,20100,20750,1936446,1,0.1849,-2.9267
2024-03-21,21350,21500,20550,20800,2967946,1,-0.6391,-3.5658
2024-03-22,20900,21500,20750,21100,3697260,1,0.3248,-3.241
2024-03-25,21100,21350,20650,20750,1952077,1,-0.7478,-3.9888
2024-03-26,20550,21150,20400,21100,1245585,1,0.1124,-3.8764
2024-03-27,21400,21400,21050,21200,1411477,1,-0.2176,-4.094
2024-03-28,21500,22650,21450,22650,5942894,1,1.9011,-2.1929
2024-03-29,22650,22750,22150,22300,2389889,1,-0.2754,-2.4683
2024-04-01,22300,22500,21700,22150,1968083,1,-0.4477,-2.916
2024-04-02,22000,22300,21750,22300,1879680,1,-0.0693,-2.9853
2024-04-03,22700,23000,21700,21800,3392278,1,-0.5201,-3.5054
2024-04-04,21800,21800,21000,21300,2605917,1,-0.9035,-4.4089
2024-04-05,20800,20900,20500,20500,3103559,1,-0.7868,-5.1957
2024-04-08,20250,20750,20100,20250,2280954,1,-0.4331,-5.6288
2024-04-09,20350,21050,20300,21050,1801842,1,0.4365,-5.1923
2024-04-10,21100,21100,20600,20700,1264565,1,-0.0555,-5.2478
2024-04-11,20200,21000,20200,20950,1435238,1,0.0692,-5.1786
2024-04-12,21200,21700,20850,21650,2278589,1,0.6897,-4.4889
2024-04-15,21700,22450,20150,20150,5477730,1,-0.3592,-4.8481
2024-04-16,20150,20500,18850,20500,4297873,1,-0.1354,-4.9835
2024-04-17,20700,20900,19650,19650,2932285,1,-0.6841,-5.6676
2024-04-19,18650,19350,18300,18300,6263895,1,-1.0165,-6.6841
2024-04-22,18800,19350,18200,19000,2913697,1,0.1547,-6.5294
2024-04-23,19100,19100,17700,17700,3430936,1,-1.2348,-7.7642
2024-04-25,18500,18550,18000,18200,1979933,1,-0.6945,-8.4587
2024-04-26,17900,18450,17900,18000,1709572,1,-0.3561,-8.8148
2024-05-02,18050,18100,17250,17550,2162261,1,-0.5443,-9.3591
2024-05-03,17800,18100,17750,17800,1408734,1,-0.2624,-9.6215
