t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,30750,31350,30750,31150,1800481,1,0.2478,0.2478
2024-02-16,31300,31400,30900,31200,1237209,1,-0.261,-0.0132
2024-02-19,31400,31900,31100,31350,1574417,1,-0.1188,-0.132
2024-02-20,31500,31500,30800,31100,967867,1,-0.3057,-0.4377
2024-02-21,31100,31100,30700,30700,1565963,1,-0.5706,-1.0083
2024-02-22,30800,31400,30650,31050,1671615,1,0.2038,-0.8045
2024-02-23,31200,32000,30950,31050,3666535,1,-0.4202,-1.2247
2024-02-26,31000,33200,31000,33200,5381579,1,0.927,-0.2977
2024-02-27,34000,34500,33300,34500,4342173,1,0.8901,0.5924
2024-02-28,34450,34450,33600,34000,2930167,1,-0.7304,-0.138
2024-02-29,34200,35050,33650,34600,3073804,1,0.5516,0.4136
2024-03-01,34950,34950,34200,34400,1665789,1,-0.4948,-0.0812
2024-03-04,34750,34850,33850,34250,2559182,1,-0.6375,-0.7187
2024-03-05,34250,35400,34050,34800,1893177,1,0.0574,-0.6613
2024-03-06,35000,35100,34050,34600,1864178,1,-0.4687,-1.13
2024-03-07,34550,35200,34400,35200,2175664,1,0.067,-1.063
2024-03-08,35400,35550,34300,34500,2902037,1,-0.7667,-1.8297
2024-03-11,34500,36350,34500,34950,2648332,1,-0.1586,-1.9883
2024-03-12,34900,35600,34250,35100,2103098,1,-0.0977,-2.086
2024-03-13,35500,36700,35150,35800,2665338,1,0.2175,-1.8685
2024-03-14,36100,36100,34750,35250,3341373,1,-1.7131,-3.5816
2024-03-15,35000,35600,34400,35100,2605252,1,-0.6122,-4.1938
2024-03-18,35300,35850,32650,33900,4108015,1,-1.2922,-5.486
2024-03-19,33900,34400,33600,33600,1341932,1,-0.4626,-5.9486
2024-03-20,33900,34200,33550,34000,1386206,1,-0.0278,-5.9764
2024-03-21,34500,35250,34000,34750,2001758,1,-0.0218,-5.9982
2024-03-22,35100,35250,34500,35050,2297001,1,-0.0634,-6.0616
2024-03-25,34850,35500,33800,34100,2332767,1,-0.7228,-6.7844
2024-03-26,33950,34850,33950,34600,1445291,1,-0.1359,-6.9203
2024-03-27,34900,35100,34550,34850,1771966,1,0.0703,-6.85
2024-03-28,35100,35600,35000,35300,3419644,1,-0.2317,-7.0817
