t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,14200,14800,14200,14800,290683,1,0.086,0.086
2024-02-16,14800,14800,14600,14700,314458,1,-0.0181,0.0679
2024-02-19,14650,14800,13800,14500,685489,1,-0.1163,-0.0484
2024-02-20,14750,14750,14400,14400,266137,1,-0.065,-0.1134
2024-02-21,13800,14250,13800,14100,432736,1,-0.2003,-0.3137
2024-02-22,14050,14300,14050,14150,162156,1,-0.0423,-0.356
2024-02-23,14150,14250,13750,13850,679999,1,-0.5651,-0.9211
2024-02-26,13800,14350,13800,14250,271719,1,0.0074,-0.9137
2024-02-27,14300,14450,14100,14300,250306,1,0.0666,-0.8471
2024-02-28,14300,14500,14250,14400,239651,1,0.0298,-0.8173
2024-02-29,14400,14450,14200,14350,206699,1,-0.0356,-0.8529
2024-03-01,14350,14700,14350,14500,256910,1,0.0758,-0.7771
2024-03-04,14450,14950,13500,14700,663915,1,0.1183,-0.6588
2024-03-05,14700,14850,14600,14750,157489,1,-0.0234,-0.6822
2024-03-06,14850,14900,14600,14600,190321,1,-0.0908,-0.773
2024-03-07,14400,14800,14400,14700,284511,1,0.1193,-0.6537
2024-03-08,14800,15000,14600,14650,221484,1,-0.0136,-0.6673
2024-03-11,14900,14900,14400,14500,260299,1,-0.148,-0.8153
2024-03-12,14000,14550,14000,14350,424140,1,-0.0463,-0.8616
2024-03-13,14350,14700,14350,14700,262049,1,0.0888,-0.7728
2024-03-14,14700,15200,14650,15050,654233,1,0.1092,-0.6636
2024-03-15,15050,15500,14950,15400,600784,1,0.0241,-0.6395
2024-03-18,15400,15700,14600,15150,543944,1,-0.0574,-0.6969
2024-03-19,15150,15700,15050,15300,396287,1,-0.0443,-0.7412
2024-03-20,15200,15700,15200,15650,309931,1,0.0598,-0.6814
2024-03-21,16000,16000,15600,15750,370319,1,0.0388,-0.6426
2024-03-22,15850,15850,15600,15700,328140,1,-0.1354,-0.778
2024-03-25,15950,15950,15300,15550,730882,1,-0.4446,-1.2226
2024-03-26,15450,15800,15200,15700,252882,1,0.0446,-1.178
2024-03-27,15950,15950,15650,15650,155283,1,0.0382,-1.1398
2024-03-28,15700,15750,15600,15700,194149,1,-0.0024,-1.1422
2024-03-29,15500,15700,15500,15550,176592,1,-0.0475,-1.1897
2024-04-01,15600,15600,15250,15400,176241,1,-0.0583,-1.248
2024-04-02,15650,15650,15300,15550,136116,1,-0.0083,-1.2563
2024-04-03,15550,15550,15450,15500,192616,1,-0.0601,-1.3164
2024-04-04,15600,15600,15350,15400,220725,1,-0.0638,-1.3802
2024-04-05,15400,15400,15200,15300,226041,1,0.0073,-1.3729
2024-04-08,14900,15300,14900,15250,192568,1,-0.0375,-1.4104
2024-04-09,15350,15500,15200,15500,139240,1,0.0589,-1.3515
2024-04-10,15500,15550,15450,15450,88100,1,-0.0391,-1.3906
2024-04-11,15400,15500,15300,15450,114516,1,-0.0068,-1.3974
2024-04-12,15500,15550,15350,15500,350055,1,-0.107,-1.5044
2024-04-15,15500,15600,14950,15000,267969,1,-0.1133,-1.6177
2024-04-16,14800,15000,14500,15000,405596,1,0.1598,-1.4579
2024-04-17,14850,15050,13950,14500,200521,1,-0.0218,-1.4797
2024-04-19,13500,14000,13500,13500,449102,1,0.1023,-1.3774
2024-04-22,13500,13700,13000,13700,530502,1,0.206,-1.1714
2024-04-23,13050,13800,13050,13350,124474,1,-0.0195,-1.1909
2024-04-25,13700,13700,13500,13650,88800,1,0.0007,-1.1902
2024-04-26,13600,13650,13250,13450,101407,1,0.0198,-1.1704
2024-05-02,13600,13600,13150,13300,53894,1,0.0043,-1.1661
2024-05-03,13650,13750,13250,13500,120015,1,-0.0013,-1.1674
2024-05-06,13500,14100,13500,14100,313703,1,0.2439,-0.9235
2024-05-07,14200,14850,14200,14850,170902,1,0.0747,-0.8488
2024-05-08,15500,15500,14700,15200,542871,1,0.3344,-0.5144
2024-05-09,14400,15200,14400,14600,959914,1,0.2555,-0.2589
2024-05-10,14500,14850,14450,14650,157350,1,-0.0204,-0.2793
2024-05-13,15100,15100,14400,14450,597784,1,0.5329,0.2536
2024-05-14,14400,14500,14300,14450,100286,1,0.0438,0.2974
2024-05-15,14800,15250,14400,15000,232989,1,0.1163,0.4137
2024-05-16,15000,15100,14850,14900,113820,1,-0.0033,0.4104
2024-05-17,15000,15000,14650,14750,111489,1,0.004,0.4144
2024-05-20,14850,14850,14500,14500,224655,1,-0.0504,0.364
2024-05-21,14600,14700,14500,14600,48000,1,-0.0109,0.3531
2024-05-22,14800,15050,14650,14650,160413,1,-0.0352,0.3179
2024-05-23,14450,14550,14300,14400,157844,1,-0.0533,0.2646
2024-05-24,14100,14500,13800,13950,285501,1,-0.1758,0.0888
2024-05-27,14150,14150,13800,13850,54111,1,-0.0214,0.0674
2024-05-28,13850,14000,13700,14000,144828,1,0.0405,0.1079
2024-05-29,14000,14000,13900,13900,73789,1,-0.0084,0.0995
2024-05-30,13850,14000,13700,14000,500046,1,0.33,0.4295
2024-05-31,14100,14400,13900,13900,79541,1,-0.0321,0.3974
2024-06-03,13900,14100,13900,14000,59842,1,-0.0163,0.3811
2024-06-04,14300,14300,13900,13950,66752,1,-0.0313,0.3498
2024-06-05,14250,14250,13900,13950,77177,1,-0.031,0.3188
2024-06-06,14150,14150,13850,13950,74130,1,0.0125,0.3313
2024-06-07,13750,13950,13750,13850,59783,1,-0.0336,0.2977
2024-06-10,13700,13950,13700,13850,68390,1,-0.0103,0.2874
2024-06-11,14000,14000,13700,13850,87911,1,-0.0211,0.2663
2024-06-12,13950,14200,13800,14200,112976,1,0.0427,0.309
2024-06-13,14350,14350,13700,13950,105304,1,-0.0341,0.2749
2024-06-14,14200,14200,13500,13500,112524,1,-0.0207,0.2542
2024-06-17,14000,14000,13100,13300,187232,1,0.0023,0.2565
2024-06-18,13350,13500,13300,13350,65474,1,-0.0086,0.2479
2024-06-19,13400,13400,13200,13300,40232,1,-0.0008,0.2471
2024-06-20,13300,13300,13000,13000,68948,1,-0.0581,0.189
2024-06-21,13200,13200,12800,12800,61348,1,-0.0148,0.1742
2024-06-24,12600,12800,12000,12200,153331,1,-0.0763,0.0979
2024-06-25,12300,13050,12300,13050,61630,1,0.0152,0.1131
2024-06-26,13050,13650,13000,13650,213505,1,0.0678,0.1809
2024-06-27,13850,13850,13000,13150,122700,1,-0.0682,0.1127
2024-06-28,13150,13150,12500,12500,92907,1,-0.052,0.0607
2024-07-01,12500,12550,12300,12450,26938,1,-0.0005,0.0602
2024-07-02,12450,12750,12450,12600,24226,1,0.0022,0.0624
2024-07-03,12600,12900,12600,12800,11847,1,-0.0016,0.0608
2024-07-04,12800,13050,12800,12850,34709,1,-0.0139,0.0469
2024-07-05,12700,12750,12200,12450,71204,1,-0.0449,0.002
2024-07-08,12350,12850,12350,12450,24279,1,-0.013,-0.011
2024-07-09,12450,12750,12450,12650,53535,1,-0.0259,-0.0369
2024-07-10,12800,12800,12450,12600,49931,1,-0.0098,-0.0467
2024-07-11,12800,12800,12550,12650,38671,1,-0.0171,-0.0638
2024-07-12,12650,12650,12400,12450,35601,1,-0.0262,-0.09
2024-07-15,12300,12700,12300,12650,51612,1,-0.0011,-0.0911
2024-07-16,12800,12800,12600,12700,25210,1,0.0058,-0.0853
2024-07-17,12800,12800,12200,12250,29603,1,-0.0112,-0.0965
2024-07-18,12300,12450,12250,12250,25089,1,0.0066,-0.0899
2024-07-19,12500,12500,11400,11400,186079,1,-0.1031,-0.193
2024-07-22,10900,10900,10650,10650,431423,1,-0.1857,-0.3787
