t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,9360,9550,9360,9500,1482734,1,-0.2729,-0.2729
2024-02-16,9500,9820,9500,9820,3932170,1,0.5698,0.2969
2024-02-19,9910,9910,9770,9910,2380505,1,-0.5042,-0.2073
2024-02-20,9910,9950,9820,9910,1952738,1,-0.3889,-0.5962
2024-02-21,9910,9910,9730,9820,1230488,1,-0.3062,-0.9024
2024-02-22,9770,10090,9770,10000,3494281,1,0.7451,-0.1573
2024-02-23,10000,10180,9640,9680,2716297,1,-0.8736,-1.0309
2024-02-26,9680,10320,9680,10320,7443104,1,0.3129,-0.718
2024-02-27,10590,10680,10180,10410,4233296,1,-0.1641,-0.8821
2024-02-28,10500,10500,10090,10270,2528511,1,-0.7678,-1.6499
2024-02-29,10360,10770,10140,10550,4809844,1,0.2139,-1.436
2024-03-01,10640,10640,10410,10640,2266994,1,-0.0606,-1.4966
2024-03-04,10820,10820,10360,10500,2846812,1,-0.8235,-2.3201
2024-03-05,10500,10730,10410,10550,2624598,1,-0.3894,-2.7095
2024-03-06,10450,10550,10230,10230,3287298,1,-1.2365,-3.946
2024-03-07,10230,10410,10230,10320,1898694,1,-0.3483,-4.2943
2024-03-08,10360,10410,10050,10090,2577783,1,-1.0935,-5.3878
2024-03-11,10180,10590,10140,10270,4129446,1,0.5727,-4.8151
2024-03-12,10270,10320,10180,10230,1486178,1,-0.3278,-5.1429
2024-03-13,10270,10590,10270,10410,2906710,1,0.2833,-4.8596
2024-03-14,10500,10730,10500,10640,6123675,1,-0.7127,-5.5723
2024-03-15,10730,10730,10360,10590,3150389,1,-0.7044,-6.2767
2024-03-18,10640,10820,10050,10270,6828689,1,-1.2478,-7.5245
2024-03-19,10320,10500,10140,10360,2103217,1,-0.1453,-7.6698
2024-03-20,10410,10410,10230,10410,1800699,1,-0.2356,-7.9054
2024-03-21,10500,11140,10360,11140,12477248,1,-3.3304,-11.2358
2024-03-22,11270,11320,11050,11180,3552193,1,-0.2578,-11.4936
2024-03-25,11180,11320,10820,10910,3956268,1,-1.5206,-13.0142
2024-03-26,10910,11640,10910,11640,10905707,1,-1.324,-14.3382
2024-03-27,12000,12000,11550,11640,3209386,1,-0.4352,-14.7734
2024-03-28,11680,12140,11640,12140,4839415,1,1.5033,-13.2701
2024-03-29,12140,12140,11770,11860,3171270,1,-0.3022,-13.5723
2024-04-01,11860,11860,11640,11730,3424958,1,-0.7301,-14.3024
2024-04-02,11730,12050,11550,12000,3462021,1,0.2791,-14.0233
2024-04-03,12000,12320,11730,11730,3721413,1,0.2029,-13.8204
2024-04-04,11640,11770,11360,11360,5604431,1,-2.2169,-16.0373
2024-04-05,11270,12140,11180,11820,8579230,1,2.2448,-13.7925
2024-04-08,11820,11910,11550,11590,2515263,1,-0.8373,-14.6298
2024-04-09,11640,11820,11450,11820,3010000,1,-0.2896,-14.9194
2024-04-10,11910,11910,11360,11640,4264277,1,-1.4249,-16.3443
2024-04-11,11360,11550,11360,11500,2592877,1,-0.5681,-16.9124
2024-04-12,11640,12000,11450,11820,4190819,1,0.6741,-16.2383
2024-04-15,11820,11820,11000,11000,4475139,1,-1.0264,-17.2647
2024-04-16,10730,10820,10270,10320,13099136,1,0.1411,-17.1236
2024-04-17,10450,10450,9910,9950,2700719,1,-1.3089,-18.4325
2024-04-19,9550,9910,9450,9550,4193255,1,-0.5426,-18.9751
2024-04-22,9640,9950,9640,9820,2182916,1,0.2837,-18.6914
2024-04-23,9860,9950,9730,9820,1980842,1,-0.3602,-19.0516
2024-04-25,10270,10270,10000,10180,1294132,1,-0.1379,-19.1895
2024-04-26,10050,10140,9910,10050,1354947,1,-0.0204,-19.2099
2024-05-02,10000,10140,9950,10050,808477,1,-0.0082,-19.2181
2024-05-03,10180,10230,10000,10000,1547014,1,-0.4339,-19.652
