t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,9600,9800,9600,9600,296781,1,-0.104793,-0.104793
2024-02-16,9600,9800,9500,9600,344056,1,-0.251966,-0.356759
2024-02-19,9600,9900,9600,9900,641675,1,0.097981,-0.258778
2024-02-20,9900,10200,9900,9900,599154,1,-0.01518,-0.273958
2024-02-21,10000,10100,9800,10000,254251,1,0.086161,-0.187797
2024-02-22,10000,10100,9900,10000,291891,1,-0.054075,-0.241872
2024-02-23,10000,10100,9700,9700,618762,1,-0.218404,-0.460276
2024-02-26,9800,9900,9700,9800,154957,1,0.049345,-0.410931
2024-02-27,9800,9900,9700,9900,357784,1,0.005832,-0.405099
2024-02-28,9900,10000,9800,9900,242833,1,-0.033089,-0.438188
2024-02-29,9900,10000,9700,9900,285493,1,0.002513,-0.435675
2024-03-01,10000,10000,9700,9800,296454,1,-0.030782,-0.466457
2024-03-04,9800,10000,9800,9800,232815,1,0.050969,-0.415488
2024-03-05,9800,9900,9700,9900,149445,1,-0.045317,-0.460805
2024-03-06,9900,9900,9700,9800,345139,1,-0.096701,-0.557506
2024-03-07,9800,9800,9600,9800,217856,1,-0.054452,-0.611958
2024-03-08,9800,9900,9600,9600,276449,1,-0.202449,-0.814407
2024-03-11,9600,9600,9500,9500,154836,1,-0.089966,-0.904373
2024-03-12,9500,9600,9400,9500,158412,1,-0.006402,-0.910775
2024-03-13,9500,9600,9400,9600,237945,1,0.124335,-0.78644
2024-03-14,9700,10000,9600,9800,528574,1,0.003364,-0.783076
2024-03-15,9900,9900,9600,9700,142845,1,0.016947,-0.766129
2024-03-18,9700,9900,9300,9500,422504,1,0.015828,-0.750301
2024-03-19,9500,9600,9500,9500,128000,1,0.027,-0.723301
2024-03-20,9600,9600,9300,9600,93398,1,-0.039988,-0.763289
2024-03-21,9600,9600,9300,9500,353522,1,0.04989,-0.713399
2024-03-22,9500,9700,9400,9600,226516,1,0.048476,-0.664923
2024-03-25,9500,9700,9000,9600,304067,1,-0.168245,-0.833168
2024-03-26,9600,9600,9400,9500,151484,1,0.036916,-0.796252
2024-03-27,9500,9600,9400,9500,200084,1,-0.046476,-0.842728
2024-03-28,9500,9600,9400,9500,246141,1,-0.174541,-1.017269
2024-03-29,9500,9600,9400,9400,126678,1,-0.106078,-1.123347
2024-04-01,9400,9500,9300,9300,373156,1,0.226636,-0.896711
2024-04-02,9400,9400,9200,9400,501199,1,0.082617,-0.814094
2024-04-03,9400,9500,9300,9300,215439,1,-0.104999,-0.919093
2024-04-04,9300,9300,9200,9200,212120,1,-0.105912,-1.025005
2024-04-05,9200,9200,9100,9100,152952,1,-0.103322,-1.128327
2024-04-08,9100,9100,8800,8900,406911,1,0.176257,-0.95207
2024-04-09,8900,8900,8800,8900,159837,1,-0.028109,-0.980179
2024-04-10,8900,9100,8900,9100,100440,1,0.03957,-0.940609
2024-04-11,9100,9100,8900,9000,54899,1,-0.034661,-0.97527
2024-04-12,9000,9000,8200,9000,120636,1,-0.037756,-1.013026
2024-04-15,9000,9000,8400,8500,284669,1,-0.012259,-1.025285
2024-04-16,8500,8500,8100,8200,417398,1,-0.110938,-1.136223
2024-04-17,8200,8300,8100,8100,86968,1,-0.048462,-1.184685
2024-04-19,8100,8100,7800,8000,217948,1,0.054708,-1.129977
2024-04-22,8000,8200,8000,8100,76548,1,0.007068,-1.122909
2024-04-23,8200,8200,7900,8000,93734,1,-0.004914,-1.127823
2024-04-25,8100,8100,7900,8100,173347,1,-0.134947,-1.26277
2024-04-26,8000,8100,8000,8000,86216,1,0.038672,-1.224098
2024-05-02,8100,8100,7900,8100,100940,1,-0.01006,-1.234158
2024-05-03,8100,8100,8000,8000,120491,1,0.052589,-1.181569
2024-05-06,7300,8100,7300,8100,96571,1,0.032419,-1.14915
2024-05-07,8100,8200,8000,8200,173728,1,-0.090734,-1.239884
2024-05-08,8200,8300,8100,8300,92088,1,0.02604,-1.213844
2024-05-09,8300,8300,8000,8100,123626,1,0.035726,-1.178118
2024-05-10,8100,8200,8000,8100,66554,1,-0.021502,-1.19962
2024-05-13,8100,8200,8000,8100,123972,1,-0.00977,-1.20939
2024-05-14,8100,8200,8100,8100,94649,1,-0.030921,-1.240311
2024-05-15,8100,8100,7900,8000,143542,1,-0.040266,-1.280577
2024-05-16,8000,8200,8000,8100,146001,1,-0.006817,-1.287394
2024-05-17,8100,8200,8000,8200,77114,1,0.008474,-1.27892
2024-05-20,8100,8300,8100,8200,142272,1,0.004184,-1.274736
2024-05-21,8200,8400,8200,8400,225591,1,0.036267,-1.238469
2024-05-22,8400,8500,8200,8300,198160,1,-0.071898,-1.310367
2024-05-23,8400,8400,8300,8300,64400,1,-0.018,-1.328367
2024-05-24,8300,8400,8100,8100,236928,1,-0.028554,-1.356921
2024-05-27,8100,8200,8100,8200,103158,1,-0.062558,-1.419479
2024-05-28,8200,8300,8200,8200,116004,1,0.04083,-1.378649
2024-05-29,8200,8400,8100,8300,242646,1,0.028864,-1.349785
2024-05-30,8300,8400,8200,8300,180463,1,-0.106813,-1.456598
