t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,48950,49250,48450,48950,1628521,1,-0.187,-0.187
2024-02-16,49000,49000,48300,48550,1355591,1,-0.0559,-0.2429
2024-02-19,48750,50300,48250,49300,3288060,1,0.1427,-0.1002
2024-02-20,49500,50200,49400,49400,1572592,1,0.2075,0.1073
2024-02-21,49750,49800,48900,49750,1854473,1,-0.3221,-0.2148
2024-02-22,49800,49900,49500,49750,1598960,1,-0.2585,-0.4733
2024-02-23,49800,53200,49300,52000,6948065,1,-1.708,-2.1813
2024-02-26,52800,54500,52000,53600,1536698,1,0.0778,-2.1035
2024-02-27,53700,54000,53000,53000,1744935,1,-0.564,-2.6675
2024-02-28,53200,54800,52300,53900,2346478,1,0.0272,-2.6403
2024-02-29,53900,54000,53000,53000,1340368,1,-0.069,-2.7093
2024-03-01,53300,54300,52400,53500,1248808,1,-0.1034,-2.8127
2024-03-04,53600,54500,52500,53500,2334455,1,0.2487,-2.564
2024-03-05,53500,54400,52900,54400,1203171,1,0.3722,-2.1918
2024-03-06,54000,54800,53500,54400,1587437,1,-0.1711,-2.3629
2024-03-07,54400,54400,53200,53300,2127394,1,0.0154,-2.3475
2024-03-08,53400,53400,49600,51100,2743455,1,-0.7173,-3.0648
2024-03-11,51800,52400,50500,50500,1481676,1,-0.1767,-3.2415
2024-03-12,50600,52100,50500,52000,1212545,1,0.0824,-3.1591
2024-03-13,52200,52600,51800,52600,1399923,1,0.1707,-2.9884
2024-03-15,51600,52800,51000,52200,1435031,1,-0.2549,-3.2433
2024-03-18,52000,52800,49900,52000,1483545,1,0.0014,-3.2419
2024-03-19,52100,52100,51000,51600,766534,1,-0.0977,-3.3396
2024-03-20,51600,53100,50500,53000,3135459,1,1.2028,-2.1368
2024-03-21,53200,53400,52800,53000,1859542,1,0.0831,-2.0537
2024-03-22,53300,56700,53300,54200,4368960,1,1.1144,-0.9393
2024-03-25,54200,55500,52700,53000,1264961,1,-0.3607,-1.3
2024-03-26,53000,53900,53000,53000,1411023,1,-0.2005,-1.5005
2024-03-27,53300,53300,52500,52500,1609580,1,-0.4932,-1.9937
2024-03-28,53200,53900,52500,52600,1360986,1,-0.3375,-2.3312
2024-03-29,53200,53200,52000,52100,1789819,1,-0.6691,-3.0003
2024-04-01,52200,52700,51700,52100,1365330,1,-0.5251,-3.5254
2024-04-02,51900,52400,51500,51900,1578085,1,-0.5926,-4.118
2024-04-03,52000,52300,51000,51000,1497781,1,-0.5471,-4.6651
2024-04-04,51800,51800,51000,51000,1094832,1,-0.3265,-4.9916
2024-04-05,50900,50900,50200,50200,1656504,1,-0.5793,-5.5709
2024-04-08,50200,51600,50000,50800,906777,1,0.1066,-5.4643
2024-04-09,51100,52700,50800,52700,1752434,1,0.5249,-4.9394
2024-04-10,52800,52800,51900,52000,1194800,1,-0.0179,-4.9573
2024-04-11,51500,53400,51300,53000,2278176,1,0.9622,-3.9951
2024-04-12,53000,54500,52800,53400,3378524,1,0.9502,-3.0449
2024-04-15,53300,54500,49700,49700,2543650,1,-0.9312,-3.9761
2024-04-16,49700,51200,49450,50300,2353772,1,-0.3709,-4.347
