t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,21830,22030,21630,21830,268227,1,-0.0134,-0.0134
2024-02-16,21780,22420,21730,22220,776182,1,-0.1319,-0.1453
2024-02-19,22470,23010,22370,22610,906593,1,0.1566,0.0113
2024-02-20,22660,22760,22270,22270,397106,1,-0.2377,-0.2264
2024-02-21,22370,22660,22070,22570,395652,1,-0.1073,-0.3337
2024-02-22,22660,22910,22370,22470,281989,1,-0.0609,-0.3946
2024-02-23,22520,22520,22120,22120,412869,1,-0.1791,-0.5737
2024-02-26,22120,22370,22070,22170,147017,1,-0.0286,-0.6023
2024-02-27,22170,22570,22170,22570,177750,1,-0.0143,-0.6166
2024-02-28,22570,22760,22470,22760,285544,1,-0.0221,-0.6387
2024-02-29,22860,22860,22370,22570,152513,1,-0.0077,-0.6464
2024-03-01,22570,22710,22370,22710,120703,1,0.021,-0.6254
2024-03-04,22660,23200,22610,22910,197873,1,0.0023,-0.6231
2024-03-05,22910,23100,22760,23010,202532,1,-0.016,-0.6391
2024-03-06,23010,23150,22610,22960,156177,1,-0.0856,-0.7247
2024-03-07,22960,23060,22610,22960,301609,1,0.0864,-0.6383
2024-03-08,23010,23500,22710,22960,258062,1,-0.1518,-0.7901
2024-03-11,22960,22960,22570,22710,256131,1,-0.0172,-0.8073
2024-03-12,22810,22810,22570,22710,133924,1,-0.0718,-0.8791
2024-03-13,22710,22860,22570,22760,186028,1,0.0647,-0.8144
2024-03-14,22760,23350,22760,23350,326607,1,0.1323,-0.6821
2024-03-15,23400,24330,23400,23990,452469,1,0.0812,-0.6009
2024-03-18,23940,23990,22960,23350,343207,1,-0.1629,-0.7638
2024-03-19,23100,23300,22760,22960,196781,1,-0.0916,-0.8554
2024-03-20,22910,23250,22910,23250,80748,1,0.0158,-0.8396
2024-03-21,23300,23450,23150,23400,124571,1,-0.0435,-0.8831
2024-03-22,23400,23790,23300,23740,340670,1,0.127,-0.7561
2024-03-25,23890,24530,23740,23840,412229,1,0.2109,-0.5452
2024-03-26,23840,24480,23790,24090,164101,1,0.0285,-0.5167
2024-03-27,24380,24380,23940,24280,152316,1,-0.037,-0.5537
2024-03-28,23940,24330,23840,24140,80394,1,-0.035,-0.5887
2024-03-29,23740,24180,23740,24140,63042,1,-0.0164,-0.6051
2024-04-01,24230,24230,23600,23990,120231,1,-0.0403,-0.6454
2024-04-02,23990,24140,23740,24140,146620,1,0.0186,-0.6268
2024-04-03,23790,24230,23790,23940,48910,1,-0.0092,-0.636
2024-04-04,23890,23940,23600,23790,105639,1,-0.0293,-0.6653
2024-04-05,23640,23690,23400,23400,133245,1,-0.0341,-0.6994
2024-04-08,23100,23300,23060,23100,97753,1,-0.0614,-0.7608
2024-04-09,22810,23300,22810,23300,78963,1,0.0185,-0.7423
2024-04-10,23010,23350,23010,23100,17096,1,0.005,-0.7373
2024-04-11,23100,23250,22760,23100,87610,1,-0.0385,-0.7758
2024-04-12,22910,23250,22810,23200,38039,1,0.0109,-0.7649
2024-04-15,22860,23250,22370,22370,100330,1,-0.0482,-0.8131
2024-04-16,22370,22520,21580,21980,269979,1,-0.1557,-0.9688
2024-04-17,22270,22320,22070,22170,86565,1,-0.0478,-1.0166
2024-04-19,22070,22420,21630,22420,192058,1,-0.0174,-1.034
2024-04-22,22570,22860,22270,22470,146294,1,0.0219,-1.0121
2024-04-23,22470,22660,22220,22570,44671,1,-0.0042,-1.0163
2024-04-25,22810,22810,22520,22570,9726,1,-0.0046,-1.0209
2024-04-26,22520,22610,22520,22570,37320,1,-0.0135,-1.0344
2024-05-02,22570,22660,22470,22570,80328,1,-0.0363,-1.0707
2024-05-03,22570,22660,22420,22570,80117,1,0.0411,-1.0296
2024-05-06,22570,23150,22570,23060,57481,1,0.0222,-1.0074
2024-05-07,23100,23840,22470,23640,170345,1,0.051,-0.9564
2024-05-08,23250,23500,22710,23300,50843,1,-0.0221,-0.9785
2024-05-09,23940,23940,23060,23300,101335,1,-0.0597,-1.0382
2024-05-10,23550,23640,23060,23300,87421,1,-0.0533,-1.0915
2024-05-13,23300,23300,22860,23150,80759,1,-0.0554,-1.1469
2024-05-14,22960,23350,22960,23150,131637,1,-0.0937,-1.2406
2024-05-15,23200,23350,22570,23060,120111,1,-0.0211,-1.2617
2024-05-16,23150,23300,22960,23150,87840,1,-0.0663,-1.328
2024-05-17,23300,23350,22960,23150,25862,1,-0.0099,-1.3379
2024-05-20,23100,24770,23100,24430,1538496,1,0.2058,-1.1321
2024-05-21,24820,24870,24140,24380,382702,1,0.0112,-1.1209
2024-05-22,25070,25070,23640,23990,631931,1,-0.2172,-1.3381
2024-05-23,23640,25660,23640,25660,1365952,1,0.2026,-1.1355
2024-05-24,26390,26490,24870,25510,1149927,1,-0.3846,-1.5201
2024-05-27,25800,26980,25410,26590,965751,1,0.2281,-1.292
2024-05-28,26980,27470,26340,27080,987490,1,0.1395,-1.1525
2024-05-29,27270,27270,26390,26390,573347,1,-0.3558,-1.5083
2024-05-30,26100,26780,25750,26390,714394,1,-0.186,-1.6943
2024-05-31,26690,26690,26000,26100,238897,1,-0.1109,-1.8052
2024-06-03,26490,26490,25950,26200,459142,1,-0.1768,-1.982
2024-06-04,26390,26980,26000,26490,363092,1,-0.0617,-2.0437
