t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,47640,48090,47360,47550,512523,1,-0.1609,-0.1609
2024-02-16,47730,48730,47360,47910,679275,1,0.0843,-0.0766
2024-02-19,48090,49090,47730,49090,1211312,1,0.1451,0.0685
2024-02-20,49910,51180,49180,49180,811394,1,0.1094,0.1779
2024-02-21,49270,49270,48180,48820,817093,1,-0.1566,0.0213
2024-02-22,48640,48640,48000,48000,959945,1,-0.5147,-0.4934
2024-02-23,48180,48640,47180,47180,1076297,1,-0.5098,-1.0032
2024-02-26,47180,49820,46820,49270,1114327,1,0.2075,-0.7957
2024-02-27,49460,50550,49090,49270,712668,1,0.0641,-0.7316
2024-02-28,49360,49460,48270,49000,558684,1,-0.184,-0.9156
2024-02-29,49000,50360,48550,49460,1077332,1,0.1275,-0.7881
2024-03-01,49910,52910,49820,52910,2387760,1,1.0927,0.3046
2024-03-04,54180,54180,52640,52820,597030,1,-0.0694,0.2352
2024-03-05,52820,55460,51460,54000,1271993,1,0.2061,0.4413
2024-03-06,53820,54640,52270,53000,748206,1,-0.2304,0.2109
2024-03-07,52820,54180,52550,53640,925665,1,-0.0308,0.1801
2024-03-08,54460,54460,52360,52360,1104730,1,-0.3816,-0.2015
2024-03-11,52360,53640,51360,52360,806655,1,-0.003,-0.2045
2024-03-12,52550,54460,51910,53270,981787,1,0.1173,-0.0872
2024-03-13,53270,56360,53270,55820,902395,1,0.232,0.1448
2024-03-14,55820,56270,54000,54550,801935,1,-0.1907,-0.0459
2024-03-15,54550,55910,53270,55460,936980,1,-0.2938,-0.3397
2024-03-18,55910,55910,51640,52730,1631210,1,-0.5504,-0.8901
2024-03-19,53460,53460,50460,52270,475886,1,-0.1195,-1.0096
2024-03-20,52270,53460,52270,53460,400618,1,0.1002,-0.9094
2024-03-21,54550,54550,53460,53640,608086,1,-0.0233,-0.9327
2024-03-22,54090,57360,53640,56820,1926328,1,0.4495,-0.4832
2024-03-25,57640,57730,55640,55730,479259,1,-0.0694,-0.5526
2024-03-26,55180,57270,55180,56360,323614,1,0.0241,-0.5285
2024-03-27,57180,57180,56180,56460,392152,1,-0.0301,-0.5586
2024-03-28,57270,59090,56550,58180,574886,1,0.2164,-0.3422
2024-03-29,58180,58180,57090,57460,242453,1,-0.0428,-0.385
2024-04-01,57460,57820,56090,57640,516838,1,-0.1073,-0.4923
2024-04-02,57640,57730,56730,57730,381665,1,-0.0396,-0.5319
2024-04-03,58270,61180,58180,58180,970986,1,0.2425,-0.2894
2024-04-04,59000,59090,57730,58640,491240,1,0.0592,-0.2302
2024-04-05,56360,57910,56180,56730,705964,1,-0.1366,-0.3668
2024-04-08,56000,56640,53730,53730,977319,1,-0.2289,-0.5957
2024-04-09,53730,55550,53360,55360,597012,1,0.0516,-0.5441
2024-04-10,55460,55640,54550,54550,281810,1,-0.1132,-0.6573
2024-04-11,53270,55820,53180,55460,396437,1,-0.0143,-0.6716
2024-04-12,55820,57360,55180,57090,583927,1,0.058,-0.6136
2024-04-15,56550,57730,53180,53180,934875,1,0.004,-0.6096
2024-04-16,53180,53180,49640,51820,1562522,1,-0.3922,-1.0018
2024-04-17,52910,52910,48640,48640,872080,1,-0.419,-1.4208
2024-04-19,46360,48360,45270,45270,2874131,1,-0.3711,-1.7919
2024-04-22,46820,48360,45460,47910,926988,1,0.1233,-1.6686
2024-04-23,47910,48360,45410,46090,990847,1,-0.2748,-1.9434
2024-04-25,47640,47730,46550,47090,776892,1,-0.1768,-2.1202
2024-04-26,45820,47550,45820,46550,1001415,1,-0.1982,-2.3184
2024-05-02,47000,47270,45640,46000,618832,1,-0.278,-2.5964
2024-05-03,47270,47730,46270,46360,855071,1,-0.1277,-2.7241
2024-05-06,47360,49550,46640,49550,1644938,1,-0.0671,-2.7912
2024-05-07,50910,50910,49180,50550,833392,1,0.0198,-2.7714
2024-05-08,49820,51550,49550,50550,1018990,1,-0.1168,-2.8882
2024-05-09,50910,51270,49360,49640,1270300,1,-0.2279,-3.1161
2024-05-10,50000,50640,48360,50460,1171765,1,-0.2372,-3.3533
2024-05-13,50460,51180,49550,50360,831617,1,-0.2282,-3.5815
2024-05-14,50360,51090,49640,50640,650835,1,-0.0668,-3.6483
2024-05-15,51000,53730,50640,52090,1671032,1,0.5398,-3.1085
2024-05-16,53460,53460,52270,52360,839107,1,-0.1185,-3.227
2024-05-17,53000,54000,52000,52910,832006,1,-0.0143,-3.2413
2024-05-20,53460,53640,52730,52730,836117,1,-0.2476,-3.4889
2024-05-21,52360,53460,52180,53460,767525,1,-0.1732,-3.6621
2024-05-22,53640,55360,53640,54180,1366496,1,-0.044,-3.7061
2024-05-23,53730,54460,52730,54460,851561,1,-0.2547,-3.9608
2024-05-24,54360,54360,50910,51910,1717642,1,-0.8041,-4.7649
2024-05-27,52730,52730,50910,52180,574324,1,-0.1324,-4.8973
2024-05-28,52270,54090,52270,53180,588629,1,0.0761,-4.8212
2024-05-29,53180,53820,52730,53000,807406,1,-0.1968,-5.018
2024-05-30,52640,52730,51000,52460,752267,1,-0.1895,-5.2075
2024-05-31,52180,53180,52180,52730,497444,1,-0.0107,-5.2182
2024-06-03,53360,54090,53180,54000,833664,1,0.1739,-5.0443
2024-06-04,54550,55180,53360,53820,982470,1,-0.2434,-5.2877
2024-06-05,54360,54910,53360,53820,756807,1,-0.0069,-5.2946
2024-06-06,53640,54180,52910,53090,660697,1,-0.2417,-5.5363
2024-06-07,53460,53550,52640,53000,378242,1,-0.1552,-5.6915
2024-06-10,52730,54090,52730,53360,576847,1,-0.038,-5.7295
2024-06-11,53460,54910,53090,54910,1262830,1,0.2817,-5.4478
2024-06-12,55090,56550,55000,55270,806382,1,0.0682,-5.3796
2024-06-13,55730,55730,54550,54730,597297,1,-0.1559,-5.5355
2024-06-14,55270,55640,52730,52730,1225687,1,-0.4886,-6.0241
2024-06-17,52550,52730,51910,52090,693529,1,-0.1862,-6.2103
2024-06-18,52640,52640,51820,52270,395513,1,-0.0703,-6.2806
2024-06-19,52270,53180,51910,52180,397103,1,-0.0605,-6.3411
2024-06-20,52180,52640,51550,51640,446445,1,-0.1773,-6.5184
2024-06-21,51360,51820,51000,51180,633015,1,-0.2457,-6.7641
2024-06-24,51270,51550,47640,47640,1654223,1,-0.5177,-7.2818
2024-06-25,47640,48550,47640,48090,364805,1,-0.0195,-7.3013
2024-06-26,48000,48460,47090,47820,379344,1,-0.1663,-7.4676
2024-06-27,47640,47820,47090,47270,329091,1,-0.1248,-7.5924
2024-06-28,47360,47460,44180,46180,556732,1,-0.0623,-7.6547
2024-07-01,46180,47270,45910,47270,361058,1,0.0718,-7.5829
2024-07-02,47640,48180,47460,47730,263517,1,-0.0017,-7.5846
2024-07-03,47730,48090,47460,47910,245310,1,-0.0858,-7.6704
2024-07-04,48550,48550,47730,48090,380313,1,-0.0658,-7.7362
2024-07-05,47820,48270,47460,47550,344524,1,-0.0381,-7.7743
2024-07-08,48180,48180,47270,47640,576751,1,-0.0501,-7.8244
2024-07-09,47850,49750,47850,49500,697984,1,0.1369,-7.6875
2024-07-10,49600,49600,48500,48650,386090,1,-0.2283,-7.9158
2024-07-11,49300,49300,48450,48900,364360,1,-0.053,-7.9688
2024-07-12,49000,49000,48450,48450,293383,1,-0.1301,-8.0989
2024-07-15,48450,49050,48100,48300,155942,1,-0.0844,-8.1833
2024-07-16,48600,49000,48200,48200,320467,1,-0.0631,-8.2464
2024-07-17,48500,48750,46300,46300,645893,1,-0.2415,-8.4879
2024-07-18,46100,47500,46000,47500,343187,1,-0.0722,-8.5601
2024-07-19,47000,47700,46200,46350,354312,1,-0.1205,-8.6806
2024-07-22,45850,46100,43500,44050,762623,1,-0.3458,-9.0264
2024-07-23,44500,44500,41000,41000,592708,1,-0.1823,-9.2087
2024-07-24,40000,42000,40000,42000,667134,1,0.1046,-9.1041
2024-07-25,42000,43050,41300,43000,272444,1,0.0628,-9.0413
2024-07-26,42900,43850,42300,42850,277500,1,-0.0634,-9.1047
