t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,26600,26900,26100,26300,534795,1,0.169483,0.169483
2024-02-16,26300,26500,26200,26300,208601,1,-0.003601,0.165882
2024-02-19,27000,27000,26000,26400,348992,1,0.01637,0.182252
2024-02-20,26400,27000,26400,26700,500854,1,0.092106,0.274358
2024-02-21,26700,26900,26300,26700,254330,1,-0.04511,0.229248
2024-02-22,26700,26700,26400,26400,218550,1,-0.05825,0.170998
2024-02-23,26400,26700,25500,25700,455661,1,-0.229547,-0.058549
2024-02-26,25700,26500,25600,26400,310282,1,0.045178,-0.013371
2024-02-27,26600,26600,26200,26400,281320,1,0.0915,0.078129
2024-02-28,26500,26700,26200,26400,171868,1,-0.044934,0.033195
2024-02-29,26400,27500,26400,27500,1238411,1,0.138233,0.171428
2024-03-01,27500,28500,27500,28200,751688,1,0.129966,0.301394
2024-03-04,28200,29000,28200,28200,506510,1,-0.050034,0.25136
2024-03-05,28000,29200,27700,29000,630872,1,0.149688,0.401048
2024-03-06,29000,31900,28900,31900,1944322,1,0.376858,0.777906
2024-03-07,32000,33600,32000,33000,1395458,1,-0.007094,0.770812
2024-03-08,33000,33700,31900,32299,1001293,1,0.041639,0.812451
2024-03-11,32299,33000,31800,32200,723661,1,-0.075489,0.736962
2024-03-12,32200,33200,32000,32500,878097,1,0.081321,0.818283
2024-03-13,32700,34500,32100,34000,1629973,1,-0.081027,0.737256
2024-03-14,34300,34300,32600,33200,880040,1,-0.145148,0.592108
2024-03-15,33200,33200,31700,32700,1053769,1,0.134277,0.726385
2024-03-18,32700,32800,29800,30700,1275108,1,-0.101138,0.625247
2024-03-19,30800,31800,30700,31300,436422,1,0.054618,0.679865
2024-03-20,31300,31900,30800,31900,486483,1,0.041327,0.721192
2024-03-21,32200,33200,31800,32400,648261,1,-0.019955,0.701237
2024-03-22,32400,33500,31900,32600,747181,1,-0.137027,0.56421
2024-03-25,32700,32800,31400,32200,600220,1,-0.3345,0.22971
2024-03-26,32000,32200,31400,32200,520138,1,0.048492,0.278202
2024-03-27,32200,32700,31500,32000,400350,1,-0.05755,0.220652
2024-03-28,32000,34500,32000,33900,1587624,1,0.152238,0.37289
2024-03-29,34000,34300,33300,33500,461871,1,-0.143707,0.229183
2024-04-01,33500,33600,32600,33100,789288,1,-0.077512,0.151671
2024-04-02,33100,33500,32600,33400,743102,1,0.118876,0.270547
2024-04-03,33400,36700,33400,36700,1918628,1,-0.154758,0.115789
2024-04-04,37000,39700,36000,37900,1140514,1,-0.127034,-0.011245
2024-04-05,37900,39400,34600,37000,909102,1,0.073248,0.062003
2024-04-08,36900,37300,34200,34900,1346653,1,-0.330443,-0.26844
2024-04-09,34900,38300,34900,38000,998094,1,0.283688,0.015248
2024-04-10,38000,38100,37200,37400,481668,1,-0.077998,-0.06275
2024-04-11,37200,38900,36500,38400,907591,1,0.201783,0.139033
2024-04-12,38700,39100,38000,38600,676548,1,-0.005498,0.133535
2024-04-15,38500,38600,34800,34800,1497455,1,0.067805,0.20134
2024-04-16,34500,34900,33200,34800,1309457,1,-0.216755,-0.015415
2024-04-17,34800,35300,32600,32600,767620,1,-0.246522,-0.261937
2024-04-19,32700,33500,30700,32400,1227693,1,0.033315,-0.228622
2024-04-22,33000,35600,33000,35600,1483254,1,0.344104,0.115482
2024-04-23,35700,36200,33900,34500,665209,1,-0.069847,0.045635
2024-04-25,35500,36300,35000,35900,529005,1,-0.121807,-0.076172
2024-04-26,35100,36400,34800,35400,453669,1,-0.051991,-0.128163
2024-05-02,35400,35400,33000,34000,683710,1,0.018508,-0.109655
2024-05-03,34500,35100,34000,34000,602097,1,0.239187,0.129532
2024-05-06,34500,37400,34500,36700,990118,1,0.26753,0.397062
2024-05-07,36600,37400,36100,37400,828907,1,0.076171,0.473233
2024-05-08,37500,38400,36700,38100,1011082,1,0.006548,0.479781
2024-05-09,38000,38200,36800,37100,807656,1,-0.123878,0.355903
2024-05-10,37200,40000,36300,40000,1072266,1,0.370014,0.725917
2024-05-13,40100,40200,38700,39000,1166798,1,-0.077332,0.648585
2024-05-14,39000,39400,38000,38200,1096812,1,-0.097956,0.550629
2024-05-15,38200,40800,38200,40100,1186927,1,0.404625,0.955254
2024-05-16,40100,41100,39400,39500,902960,1,-0.177076,0.778178
