t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,19910,20480,19910,20290,7445165,1,2.432891,2.432891
2024-02-16,19910,21140,19140,20670,10835527,1,1.089225,3.522116
2024-02-19,20570,20760,20380,20670,7077587,1,-1.729991,1.792125
2024-02-20,20480,21140,20480,20860,16036963,1,1.333231,3.125356
2024-02-21,20860,21050,20670,20760,6221578,1,0.498658,3.624014
2024-02-22,20860,20860,20480,20480,6078453,1,-2.221301,1.402713
2024-02-23,20480,20670,20000,20190,10830509,1,-2.249351,-0.846638
2024-02-26,20190,20380,20000,20380,5363479,1,-0.460285,-1.306923
2024-02-27,20290,21430,20290,21240,23002798,1,6.815326,5.508403
2024-02-28,21330,21430,20760,20950,7428209,1,-2.882269,2.626134
2024-02-29,21140,21710,20860,21140,15436421,1,1.937007,4.563141
2024-03-01,21240,21810,21140,21520,18660388,1,1.249184,5.812325
2024-03-04,21810,22190,21430,21520,16513403,1,0.745415,6.55774
2024-03-05,21520,21620,21140,21430,11990493,1,-2.295219,4.262521
2024-03-06,21330,21520,20670,20950,16081020,1,-5.18432,-0.921799
2024-03-07,20760,21240,20670,21240,10001219,1,0.094965,-0.826834
2024-03-08,21240,21430,20670,20670,10704761,1,-3.652523,-4.479357
2024-03-11,20670,20760,20100,20290,7935150,1,-2.964306,-7.443663
2024-03-12,20290,20570,20190,20290,6579942,1,-1.721318,-9.164981
2024-03-13,19140,20670,19140,20670,9901411,1,2.390807,-6.774174
2024-03-14,20670,21140,20570,20950,13709078,1,1.152516,-5.621658
2024-03-15,20950,21710,20760,21050,17736529,1,2.823611,-2.798047
2024-03-18,21050,22670,20950,21810,35310322,1,3.57474,0.776693
2024-03-19,21910,22570,21330,21620,12579375,1,-2.508983,-1.73229
2024-03-20,21620,21810,21330,21520,12165699,1,-0.030465,-1.762755
2024-03-21,21810,22570,21520,22290,32623065,1,5.043221,3.280466
2024-03-22,22380,23140,22290,22480,24151470,1,-0.756858,2.523608
2024-03-25,22570,23140,22100,22290,20331389,1,-1.991085,0.532523
2024-03-26,20100,22570,20100,22480,11675113,1,-0.275363,0.25716
2024-03-27,22570,22670,22100,22480,13286089,1,-2.193399,-1.936239
2024-03-28,22480,22860,22190,22290,9915909,1,-2.343475,-4.279714
2024-03-29,22290,22380,21810,21810,11322713,1,-0.359793,-4.639507
2024-04-01,21710,22380,21620,22000,11328411,1,0.160239,-4.479268
2024-04-02,21050,22670,21050,22570,18008355,1,3.801017,-0.678251
