t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,17730,18590,17640,18360,24591496,1,5.4824,5.4824
2024-02-16,18550,18550,18210,18260,9320408,1,-0.6801,4.8023
2024-02-19,18450,18690,18260,18550,15641354,1,-2.5404,2.2619
2024-02-20,18590,18640,18160,18310,15262368,1,-4.4484,-2.1865
2024-02-21,18310,18400,18020,18310,11092818,1,-2.9174,-5.1039
2024-02-22,18360,18550,18120,18360,9037232,1,-0.2649,-5.3688
2024-02-23,18450,18500,17450,17540,16448134,1,-5.2441,-10.6129
2024-02-26,17540,17690,17300,17540,9298468,1,-1.2564,-11.8693
2024-02-27,17730,17970,17690,17920,8787794,1,1.0208,-10.8485
2024-02-28,17970,18120,17690,17880,8700911,1,-1.9274,-12.7759
2024-02-29,17780,18070,17590,17690,10349860,1,-2.399,-15.1749
2024-03-01,17780,18160,17690,18120,10476090,1,1.4365,-13.7384
2024-03-04,18360,18400,18070,18160,13185174,1,-1.2897,-15.0281
2024-03-05,18360,19020,18310,18640,24002131,1,1.7574,-13.2707
2024-03-06,18740,18790,18070,18160,11151428,1,-4.3107,-17.5814
2024-03-07,18260,18260,18020,18210,10868709,1,-1.8002,-19.3816
2024-03-08,18360,18400,17780,17880,13884997,1,-4.0769,-23.4585
2024-03-11,17880,17970,17450,17490,8461145,1,-3.4603,-26.9188
2024-03-12,17490,17730,17450,17640,8531901,1,1.2367,-25.6821
2024-03-13,17780,18070,17690,18070,7900639,1,1.353,-24.3291
2024-03-14,18310,18310,18020,18070,9688768,1,-1.084,-25.4131
2024-03-15,18070,18460,17920,18120,9425401,1,0.3694,-25.0437
2024-03-18,18120,18750,17730,18560,24523878,1,2.7003,-22.3434
2024-03-19,18950,19340,18700,18750,25263062,1,0.5786,-21.7648
2024-03-20,18650,18900,18460,18700,8806693,1,0.4313,-21.3335
2024-03-21,18950,19240,18650,18950,18054381,1,1.5172,-19.8163
2024-03-22,19290,19340,18700,18900,15230844,1,-2.8539,-22.6702
2024-03-25,19000,19240,18610,18750,13590312,1,-2.0972,-24.7674
2024-03-26,18650,18850,18460,18800,9447316,1,-1.4851,-26.2525
2024-03-27,18950,19190,18850,19050,8975565,1,0.0833,-26.1692
2024-03-28,19240,19240,18800,18850,6438304,1,-1.4638,-27.633
2024-03-29,18750,18900,18610,18650,6524058,1,-1.6034,-29.2364
2024-04-01,18650,18900,18510,18700,8920287,1,-1.1057,-30.3421
2024-04-02,18610,18800,18460,18750,7933491,1,-1.2447,-31.5868
2024-04-03,18850,19140,18610,18610,10633336,1,-1.6792,-33.266
2024-04-04,18610,18700,18260,18310,9967508,1,-3.7495,-37.0155
2024-04-05,18120,18360,18020,18070,11139501,1,-1.3019,-38.3174
2024-04-08,18120,18170,17870,17870,6276479,1,-1.5821,-39.8995
2024-04-09,17920,18070,17780,18020,5940056,1,-0.4065,-40.306
2024-04-10,18170,18220,17920,17920,4237083,1,-0.8199,-41.1259
2024-04-11,17780,17920,17730,17820,4314543,1,0.0899,-41.036
2024-04-12,17920,18070,17870,18070,3622402,1,0.0406,-40.9954
2024-04-15,18070,18120,16850,16850,12638191,1,-4.0773,-45.0727
2024-04-16,16750,16900,15870,16510,10637755,1,-2.7692,-47.8419
2024-04-17,16600,16700,15970,15970,5072740,1,-1.2356,-49.0775
2024-04-19,15530,15770,15140,15240,7900858,1,-1.3011,-50.3786
2024-04-22,15580,15820,15430,15630,3990316,1,0.0111,-50.3675
2024-04-23,15720,15720,15140,15240,3951050,1,-1.8431,-52.2106
2024-04-25,15770,15870,15630,15770,1939300,1,-0.3722,-52.5828
2024-04-26,15630,16020,15580,15720,2949282,1,0.0893,-52.4935
2024-05-02,16260,16410,16020,16260,7745059,1,1.2599,-51.2336
2024-05-03,16460,16560,16210,16260,3703662,1,-0.5527,-51.7863
2024-05-06,16410,16700,16260,16700,6020168,1,1.2044,-50.5819
2024-05-07,16700,16750,16510,16600,3863984,1,-1.1601,-51.742
2024-05-08,16510,16600,16260,16600,4666205,1,-0.2991,-52.0411
2024-05-09,16700,16900,16309,16410,4470338,1,-0.5637,-52.6048
2024-05-10,16510,16560,16260,16410,3447359,1,-0.1327,-52.7375
2024-05-13,16510,16560,16309,16360,2995539,1,-0.8795,-53.617
2024-05-14,16460,16560,16360,16410,2619674,1,-0.1504,-53.7674
2024-05-15,16460,16900,16360,16750,5950569,1,1.041,-52.7264
2024-05-16,16990,16990,16700,16750,3928958,1,-0.5923,-53.3187
2024-05-17,16850,17190,16700,17090,7127285,1,0.7907,-52.528
2024-05-20,17240,17340,16990,17140,6408947,1,-0.5963,-53.1243
2024-05-21,17090,17140,16650,16950,6226125,1,-2.7379,-55.8622
2024-05-22,17040,17240,16850,16900,7010211,1,-0.1242,-55.9864
2024-05-23,16900,17090,16700,17090,5526946,1,-0.1689,-56.1553
2024-05-24,16900,17240,16460,16510,8813084,1,-1.8003,-57.9556
2024-05-27,16600,16650,16460,16560,3693863,1,-1.152,-59.1076
2024-05-28,16700,16900,16700,16800,3935597,1,0.4832,-58.6244
2024-05-29,16850,16950,16600,16600,4544560,1,-1.5302,-60.1546
2024-05-30,16460,17340,16460,16990,9248692,1,0.7301,-59.4245
2024-05-31,17140,17140,16800,16800,2969184,1,-0.5841,-60.0086
2024-06-03,16990,17680,16950,17480,14443753,1,1.7267,-58.2819
2024-06-04,17530,17580,17290,17390,4753837,1,-1.105,-59.3869
2024-06-05,17480,17630,17190,17190,6571829,1,-0.4348,-59.8217
2024-06-06,17340,17430,16950,17090,5012560,1,-1.6503,-61.472
2024-06-07,17140,17290,16990,17090,3506967,1,-1.1,-62.572
2024-06-10,17190,17340,17090,17140,4105974,1,-0.6631,-63.2351
2024-06-11,17290,17290,16900,16950,4686293,1,-1.8384,-65.0735
2024-06-12,16990,17190,16900,17140,3173903,1,-0.5291,-65.6026
2024-06-13,17190,17390,17140,17190,5645496,1,-0.8075,-66.4101
2024-06-14,17140,17430,16900,16900,6875667,1,-2.1954,-68.6055
2024-06-17,16950,16990,16700,16750,5374232,1,-1.1715,-69.777
2024-06-18,17000,17050,16750,16750,3807049,1,-0.1007,-69.8777
2024-06-19,16750,16750,16500,16500,4088270,1,-1.0173,-70.895
2024-06-20,16500,16650,16300,16300,4292082,1,-1.8034,-72.6984
2024-06-21,16300,16500,16200,16200,2728682,1,-0.7818,-73.4802
2024-06-24,16200,16600,16149,16200,5251372,1,0.128,-73.3522
