t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,40500,40700,40000,40700,105807,1,-0.027,-0.027
2024-02-16,40500,40600,40050,40450,122531,1,-0.0548,-0.0818
2024-02-19,40500,40600,39050,40500,180877,1,-0.074,-0.1558
2024-02-20,40350,40450,40100,40450,204243,1,-0.1242,-0.28
2024-02-21,40500,40500,40000,40200,89448,1,-0.0375,-0.3175
2024-02-22,40200,40200,39750,40100,72791,1,-0.0281,-0.3456
2024-02-23,40050,40200,39750,39900,80812,1,-0.0213,-0.3669
2024-02-26,39900,40200,39500,40000,102410,1,-0.0125,-0.3794
2024-02-27,40000,40200,39400,40200,135538,1,-0.0356,-0.415
2024-02-28,40200,40200,39600,40000,177409,1,-0.0589,-0.4739
2024-02-29,40000,40000,37600,39950,347923,1,-0.2643,-0.7382
2024-03-01,39950,41700,39950,41200,261379,1,0.0035,-0.7347
2024-03-04,41100,41100,40800,40800,379701,1,-0.062,-0.7967
2024-03-05,40500,41250,38450,41250,605413,1,-0.3364,-1.1331
2024-03-06,41250,41250,40300,41000,78154,1,-0.0169,-1.15
2024-03-07,40800,40800,40150,40350,114610,1,-0.038,-1.188
2024-03-08,40300,40300,39500,39800,185186,1,-0.1174,-1.3054
2024-03-11,39800,39800,38050,39200,464222,1,-0.2975,-1.6029
2024-03-12,39000,40950,38050,40600,529211,1,0.0004,-1.6025
2024-03-13,40950,42800,40850,41950,387480,1,0.0122,-1.5903
2024-03-14,41950,41950,40500,41650,247783,1,-0.1046,-1.6949
2024-03-15,41650,41650,40000,41500,220250,1,-0.0936,-1.7885
2024-03-18,41450,41450,39700,40950,205589,1,-0.0505,-1.839
2024-03-19,40700,40700,39650,39700,187953,1,-0.0283,-1.8673
2024-03-20,39800,40050,39200,40050,139485,1,-0.0147,-1.882
2024-03-21,40000,40000,38100,39800,1094140,1,-0.9037,-2.7857
2024-03-22,39600,40400,38500,40000,292859,1,-0.1214,-2.9071
2024-03-25,40000,40400,39200,39300,112011,1,-0.0755,-2.9826
2024-03-26,39300,40600,38900,40150,1049669,1,-0.6428,-3.6254
2024-03-27,40150,40250,39600,40150,170110,1,-0.1147,-3.7401
2024-03-28,40000,40450,40000,40450,195428,1,0.0528,-3.6873
2024-03-29,40450,40450,39600,39950,134125,1,-0.0634,-3.7507
2024-04-01,39950,40200,39500,40200,335230,1,0.1703,-3.5804
2024-04-02,40200,40250,39800,40150,216259,1,-0.0215,-3.6019
2024-04-03,40100,42950,40000,42950,988936,1,0.2757,-3.3262
2024-04-04,45000,45950,44850,45950,1959830,1,-0.6536,-3.9798
2024-04-05,45500,49000,45500,47300,853277,1,-0.0914,-4.0712
2024-04-08,46500,49500,44000,45050,1097462,1,-0.4217,-4.4929
2024-04-09,45050,48200,45050,48000,582054,1,0.0277,-4.4652
2024-04-10,48500,49000,47400,48900,720928,1,-0.0279,-4.4931
2024-04-11,48500,48500,47550,48100,334578,1,-0.0088,-4.5019
2024-04-12,48500,49300,47200,49300,601060,1,0.0626,-4.4393
2024-04-15,49500,49500,45850,45850,1205314,1,-0.4171,-4.8564
2024-04-16,45500,45850,42800,45850,866363,1,-0.1209,-4.9773
2024-04-17,45800,46300,43900,44150,683767,1,-0.2066,-5.1839
2024-04-19,43250,43300,41100,41550,1721046,1,-0.7838,-5.9677
2024-04-22,42400,42750,41750,42350,263056,1,-0.0472,-6.0149
2024-04-23,42400,45000,39400,42800,2046883,1,-1.0124,-7.0273
2024-04-25,45300,47000,44600,44600,1276589,1,-0.3193,-7.3466
2024-04-26,44300,45100,43950,44650,503321,1,-0.0505,-7.3971
2024-05-02,45400,46600,44400,46150,1140169,1,0.1501,-7.247
2024-05-03,46200,46600,45100,45100,954514,1,-0.2515,-7.4985
2024-05-06,45400,47000,44500,46850,1301009,1,-0.3012,-7.7997
2024-05-07,47500,49450,47000,48450,952065,1,0.14,-7.6597
2024-05-08,48450,51800,47550,51800,1001969,1,0.184,-7.4757
