t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-05-24,18500,19000,18500,18600,3423,1,0.003223,0.003223
2024-06-17,20000,20000,18800,19000,5346,1,-0.003294,-7.1e-05
2024-07-09,20500,20600,19800,20400,90700,1,-0.0212,-0.021271
2024-07-10,20400,20700,20100,20400,34200,1,-0.0147,-0.035971
2024-07-11,20100,20300,19800,20200,39000,1,0.0031,-0.032871
2024-07-12,20100,20100,19500,20000,27300,1,0.005,-0.027871
2024-07-15,20400,20400,19600,20100,8303,1,0.0012,-0.026671
2024-07-16,20000,20100,19100,20000,13918,1,0.0035,-0.023171
2024-07-17,19700,19700,18500,18500,32630,1,-0.0006,-0.023771
2024-07-18,18300,18300,16900,17500,83105,1,-0.0484,-0.072171
2024-07-19,18400,18400,16100,17500,12007,1,-0.0045,-0.076671
2024-07-22,17500,17500,15500,16100,45702,1,-0.0124,-0.089071
2024-07-23,16700,16800,15900,15900,9104,1,0.0059,-0.083171
2024-07-24,15900,16300,15400,16000,47404,1,0.0183,-0.064871
2024-07-25,16000,16000,15200,15600,11900,1,0.0018,-0.063071
2024-07-26,15600,15600,14100,15500,33700,1,-0.0026,-0.065671
2024-07-29,16400,16400,14700,14700,37500,1,-0.0203,-0.085971
2024-07-30,15100,15400,14800,15000,14300,1,-0.0049,-0.090871
2024-07-31,15300,15300,14600,14600,27500,1,-0.0161,-0.106971
2024-08-01,15200,15200,13900,14300,38400,1,-0.0215,-0.128471
2024-08-02,14800,14800,13900,14100,17800,1,-0.0018,-0.130271
2024-08-05,14000,14300,13000,13000,21000,1,-0.0097,-0.139971
2024-08-06,13400,13400,12500,13400,28100,1,0.003,-0.136971
2024-08-07,13800,14000,13300,13500,18000,1,0.0111,-0.125871
2024-08-08,13500,13900,13200,13200,5200,1,-0.0029,-0.128771
2024-08-09,14000,14000,13600,14000,17400,1,-0.0076,-0.136371
2024-08-12,14400,15200,14100,14900,42600,1,0.0092,-0.127171
