t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,12850,12950,12600,12850,8596,1,-0.0013,-0.1824
2024-02-19,12600,12950,12550,12750,78694,1,-0.0272,-0.1582
2024-02-21,12600,12700,12550,12650,13800,1,-0.0066,-0.2195
2024-02-22,12650,12650,12600,12650,17918,1,0.0057,-0.2147
2024-02-27,12700,13200,12700,13000,108598,1,0.0156,-0.1815
2024-03-05,12800,13000,12800,12900,18133,1,-0.0122,-0.2332
2024-03-06,12900,13100,12900,13100,65045,1,0.0258,-0.6403
2024-03-13,13900,13900,13600,13650,19611,1,-0.0063,-0.2024
2024-03-15,13650,14800,13650,14800,83517,1,0.0375,-0.1449
2024-03-19,14750,15500,14600,14900,166190,1,0.1022,-0.131
2024-03-21,14800,14950,14500,14950,46236,1,-0.004,-0.2235
2024-03-22,14800,15050,14700,14850,38443,1,0.0072,-0.2075
2024-03-27,14800,14800,14500,14600,9813,1,0.0004,-0.1811
2024-03-28,14600,14800,14400,14800,28268,1,-0.0078,-0.6481
2024-04-03,15650,16300,15650,15900,229063,1,0.0252,-0.1197
2024-04-05,15850,16000,15550,15700,114488,1,-0.0547,-0.1961
2024-04-10,16250,16250,15800,16200,104842,1,-0.0828,-0.6661
2024-04-16,15400,16000,15000,16000,35300,1,-0.0078,-0.1141
2024-04-19,15700,15700,14900,15000,52200,1,-0.0105,-0.2129
2024-04-22,14900,15200,14900,15000,24515,1,0.0069,-0.5317
2024-05-03,14800,14900,14550,14900,30318,1,0.025,-0.0947
2024-05-06,14900,15150,14900,15150,27916,1,-0.0039,-0.1825
2024-05-10,14800,14800,14500,14600,8650,1,0.0016,-0.5833
2024-05-13,14600,15000,14350,15000,47610,1,-0.0019,-0.221
2024-05-16,14900,15350,14700,15350,41721,1,0.0008,-0.1063
2024-05-21,15700,16750,15500,16750,234389,1,-0.0169,-0.2204
2024-05-22,17500,17900,17500,17800,293117,1,-0.0685,-0.5386
2024-05-24,17400,17600,16400,16400,120745,1,-0.0191,-0.2069
2024-05-28,16350,17600,16300,17600,111107,1,0.066,-0.1165
2024-05-31,16650,17200,16300,16400,462827,1,-0.2423,-0.1971
2024-06-04,17000,17000,16600,16600,279155,1,-0.1791,-0.4026
2024-06-07,16800,17500,16600,16700,77393,1,0.0289,-0.1786
2024-06-11,16750,16800,16500,16800,70624,1,-0.0532,-0.5849
2024-06-12,16800,16800,16500,16750,77243,1,-0.0453,-0.2035
2024-06-17,15650,16000,15400,15700,126200,1,-0.0737,-0.1878
2024-06-18,15700,15800,15500,15800,56765,1,-0.0249,-0.1414
2024-06-20,15600,15950,15600,15700,41748,1,-0.0122,-0.2191
2024-06-25,15500,15500,14600,15450,14550,1,-0.0124,-0.1071
2024-07-02,15000,15500,15000,15450,47400,1,0.0452,0.0452
2024-07-04,15500,15500,14900,15200,75828,1,-0.0675,-0.4701
2024-07-09,15200,16250,15200,16250,224349,1,0.0503,-0.5978
2024-07-10,16850,16900,15700,16300,336033,1,-0.2737,-0.8715
2024-07-11,15900,16450,15200,15800,891121,1,-0.7805,-1.652
2024-07-12,15400,15750,14700,15000,986612,1,-0.847,-2.499
2024-07-15,15150,15150,14700,14800,90756,1,-0.0447,-2.5437
2024-07-16,14750,14750,13900,14000,791379,1,-0.5423,-3.086
2024-07-17,14050,14050,13400,13700,436674,1,-0.3343,-3.4203
2024-07-18,13850,13850,12950,13000,952455,1,-0.7345,-4.1548
2024-07-19,13050,13700,13050,13450,484556,1,-0.1544,-4.3092
2024-07-22,13900,14350,13600,14350,921807,1,-0.2808,-4.59
2024-07-23,14500,15000,14500,14600,515055,1,-0.0662,-4.6562
2024-07-24,14400,14800,14100,14300,162903,1,-0.026,-4.6822
2024-07-25,14050,14200,13550,13550,449140,1,-0.3712,-5.0534
2024-07-26,14000,14000,13550,13850,479800,1,-0.3882,-5.4416
2024-07-29,13950,14300,13700,13700,192700,1,-0.055,-5.4966
2024-07-30,13650,13950,13200,13200,492900,1,-0.2869,-5.7835
2024-07-31,13300,13700,13250,13600,235400,1,-0.0912,-5.8747
2024-08-01,14050,14050,12800,13200,359100,1,-0.2419,-6.1166
2024-08-02,13200,13300,12900,13100,319600,1,-0.2152,-6.3318
2024-08-05,13000,13100,12350,12350,386200,1,-0.0449,-6.3767
2024-08-06,12500,13000,12500,12850,102500,1,0.029,-6.3477
2024-08-07,13050,13050,12700,12850,137100,1,-0.1095,-6.4572
2024-08-08,12650,12950,12550,12800,142700,1,-0.1135,-6.5707
2024-08-09,12850,12850,12600,12650,95900,1,-0.0779,-6.6486
2024-08-12,12700,12700,12400,12450,109500,1,-0.0488,-6.6974
