t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,66800,67200,66200,67000,1382952,1,0.0781,0.0781
2024-02-16,67500,67500,66300,66300,1190706,1,-0.4422,-0.3641
2024-02-19,66400,66800,66000,66300,1483476,1,-0.36,-0.7241
2024-02-20,66300,69500,66100,68800,4118274,1,1.3394,0.6153
2024-02-21,69000,69400,68100,68700,1628354,1,-0.1056,0.5097
2024-02-22,68600,69700,68600,68900,1820291,1,0.0456,0.5553
2024-02-23,68800,68900,65800,65800,3908204,1,-1.4185,-0.8632
2024-02-26,66000,66300,65000,65600,1958441,1,-0.4108,-1.274
2024-02-27,66200,67300,65500,67300,1796830,1,0.1573,-1.1167
2024-02-28,67500,68200,66600,67200,1686351,1,-0.1141,-1.2308
2024-02-29,67400,67400,66100,66700,1476063,1,-0.5232,-1.754
2024-03-01,66800,69000,66800,69000,4063071,1,1.4847,-0.2693
2024-03-04,71800,73400,71500,72000,3905514,1,0.3648,0.0955
2024-03-05,72000,73500,71100,72900,1903376,1,-0.0214,0.0741
2024-03-06,72700,72800,70200,70600,2158599,1,-0.7577,-0.6836
2024-03-07,70300,71400,70200,70600,2108297,1,-0.2355,-0.9191
2024-03-08,71300,71300,68900,69000,2631098,1,-0.8792,-1.7983
2024-03-11,68800,70700,68600,69200,2605893,1,0.2365,-1.5618
2024-03-12,69500,70900,69000,70800,1808426,1,0.4012,-1.1606
2024-03-13,71400,75700,71200,75700,4740058,1,0.8865,-0.2741
2024-03-14,75700,77700,75700,77000,3250957,1,-0.3554,-0.6295
2024-03-15,77000,78100,75400,76900,2245355,1,-0.3611,-0.9906
2024-03-18,77000,77600,71600,71600,5904564,1,-1.2199,-2.2105
2024-03-19,72500,72500,70100,70300,1892947,1,-0.5512,-2.7617
2024-03-20,71200,71900,70200,71900,1642599,1,0.0309,-2.7308
2024-03-21,72600,72800,71200,71800,2095729,1,-0.086,-2.8168
2024-03-22,72100,72900,71300,71600,2179101,1,-0.6062,-3.423
2024-03-25,71800,73400,71500,72500,1879614,1,-0.1785,-3.6015
2024-03-26,73000,73400,72100,73300,1449804,1,0.1503,-3.4512
2024-03-27,73400,74500,73100,73500,1663195,1,-0.2275,-3.6787
2024-03-28,74500,74500,72300,72700,1230470,1,-0.4366,-4.1153
2024-03-29,73000,74000,72400,73000,1211320,1,0.0197,-4.0956
2024-04-01,73000,73400,70900,71600,2122401,1,-0.6251,-4.7207
2024-04-02,71500,72000,70900,71900,1528821,1,-0.401,-5.1217
2024-04-03,71900,72600,70700,70700,1760601,1,-0.5536,-5.6753
2024-04-04,70400,71000,70000,70400,1084511,1,-0.1218,-5.7971
2024-04-05,70000,72200,69800,70400,1839925,1,-0.2016,-5.9987
2024-04-08,71000,71200,69900,69900,746066,1,-0.1814,-6.1801
2024-04-09,70000,71500,69800,71500,988368,1,0.0795,-6.1006
2024-04-10,71800,71800,70200,70300,788503,1,-0.3234,-6.424
2024-04-11,69500,70100,69500,69600,943516,1,-0.1502,-6.5742
2024-04-12,70000,71500,69500,70900,1083116,1,0.2282,-6.346
2024-04-15,70000,70700,66000,66000,2302540,1,-0.7025,-7.0485
2024-04-16,66100,67000,64000,66000,2004668,1,-0.7382,-7.7867
2024-04-17,66400,66400,64000,64000,784870,1,-0.2041,-7.9908
2024-04-19,62500,63600,61000,61000,1503925,1,-0.2109,-8.2017
2024-04-22,62000,63400,61400,62900,783948,1,0.2132,-7.9885
2024-04-23,62000,62900,62000,62900,651661,1,-0.1118,-8.1003
2024-04-25,65400,65500,63700,65099,682796,1,-0.0015,-8.1018
2024-04-26,66600,67500,66000,66300,1512849,1,0.3436,-7.7582
2024-05-02,66800,66800,65800,66500,436248,1,-0.0512,-7.8094
2024-05-03,66900,67400,65800,66000,607268,1,-0.1302,-7.9396
2024-05-06,66900,67500,66200,67200,1256458,1,0.2958,-7.6438
2024-05-07,67400,69000,67300,68700,1439164,1,0.2541,-7.3897
2024-05-08,68700,68700,67300,68400,727162,1,-0.2347,-7.6244
2024-05-09,68800,70100,67700,68100,1180381,1,-0.0952,-7.7196
2024-05-10,68200,68500,67200,68200,658037,1,-0.1105,-7.8301
2024-05-13,68000,68500,67000,67000,761457,1,-0.3299,-8.16
2024-05-14,67000,67900,66800,67400,642131,1,-0.3402,-8.5002
2024-05-15,67600,69900,67200,68200,2075163,1,0.1166,-8.3836
2024-05-16,68600,69200,67700,68000,1202440,1,-0.4801,-8.8637
2024-05-17,68500,70900,68400,70700,2367789,1,0.7596,-8.1041
2024-05-20,71700,71800,70700,70700,1383057,1,-0.1127,-8.2168
2024-05-21,70700,74200,70100,72900,2784518,1,0.7095,-7.5073
2024-05-22,73000,73200,71500,71800,1496961,1,-0.5382,-8.0455
2024-05-23,71800,73000,71200,73000,1411448,1,-0.0119,-8.0574
2024-05-24,72500,73000,69200,71500,2050792,1,-0.7449,-8.8023
2024-05-27,71000,71700,69600,71300,879553,1,-0.2112,-9.0135
2024-05-28,72400,76000,71300,75200,3621026,1,1.1184,-7.8951
2024-05-29,75200,75300,73100,73800,1873614,1,-0.2391,-8.1342
2024-05-30,73400,73600,70900,72400,2097013,1,-0.5495,-8.6837
2024-05-31,72400,72500,71300,72500,1126443,1,-0.266,-8.9497
2024-06-03,73500,73500,72600,73100,1000680,1,-0.0037,-8.9534
2024-06-04,73500,75400,73000,73000,1667719,1,0.0459,-8.9075
2024-06-05,73300,73400,72300,72300,1418084,1,-0.4298,-9.3373
2024-06-06,72300,72900,71600,72300,1179971,1,-0.1854,-9.5227
2024-06-07,72700,72700,71700,72600,883085,1,-0.04,-9.5627
2024-06-10,73000,74800,72800,74400,1832937,1,0.5625,-9.0002
2024-06-11,74900,76100,73700,74200,2162142,1,-0.0803,-9.0805
2024-06-12,74000,74000,73000,74000,781767,1,-0.071,-9.1515
2024-06-13,74300,75100,73300,73400,1088543,1,-0.3668,-9.5183
2024-06-14,73900,75300,72600,72600,1978900,1,-0.0707,-9.589
2024-06-17,72500,72700,72000,72000,822951,1,-0.235,-9.824
2024-06-18,72500,74600,72300,73500,1374840,1,0.2014,-9.6226
2024-06-19,74000,77900,73700,76300,3997803,1,0.951,-8.6716
2024-06-20,76300,77800,75800,76500,1470814,1,0.4093,-8.2623
2024-06-21,76800,78000,75900,76200,1558178,1,0.0288,-8.2335
2024-06-24,76000,76500,72200,73000,2332422,1,-0.5378,-8.7713
2024-06-25,73500,73700,72200,72600,1130975,1,-0.4039,-9.1752
2024-06-26,73100,73200,72300,73100,1044065,1,-0.1094,-9.2846
2024-06-27,73500,73500,72400,72700,526526,1,-0.09,-9.3746
2024-06-28,72600,72900,70000,70100,1863688,1,-0.9203,-10.2949
2024-07-01,70300,71500,70100,71200,390350,1,-0.0419,-10.3368
2024-07-02,71300,72800,71300,72200,602436,1,0.1113,-10.2255
2024-07-03,72000,72900,72000,72200,614001,1,-0.0477,-10.2732
2024-07-04,72200,72700,72000,72000,597212,1,-0.2518,-10.525
2024-07-05,72100,72400,71500,71800,521904,1,-0.1336,-10.6586
2024-07-08,72400,72700,71700,72700,857466,1,-0.1758,-10.8344
2024-07-09,73300,74800,72600,74300,1472925,1,0.2551,-10.5793
2024-07-10,74400,74500,73000,73000,817660,1,-0.4157,-10.995
2024-07-11,73500,73900,73200,73200,632888,1,-0.1694,-11.1644
2024-07-12,73000,74500,73000,73600,991521,1,0.0017,-11.1627
2024-07-15,73800,74100,72400,73100,555428,1,-0.2013,-11.364
2024-07-16,73600,74600,73100,73800,879025,1,0.0514,-11.3126
2024-07-17,74100,74400,69800,71600,1351649,1,-0.429,-11.7416
2024-07-18,71700,72000,70000,71600,952648,1,-0.3333,-12.0749
2024-07-19,71500,71700,69300,69900,1142631,1,-0.588,-12.6629
2024-07-22,70000,70000,66800,66800,1567676,1,-0.6493,-13.3122
2024-07-23,66800,68000,65500,65500,742956,1,-0.3055,-13.6177
2024-07-24,65000,66500,64200,66500,741679,1,0.0146,-13.6031
2024-07-25,66500,66500,65500,66500,361090,1,-0.1253,-13.7284
2024-07-26,67200,67200,66200,67200,398300,1,-0.0375,-13.7659
2024-07-29,68000,68000,67200,67400,250500,1,0.0399,-13.726
2024-07-30,67500,67900,65600,67200,482700,1,-0.2213,-13.9473
2024-07-31,66800,66900,65000,65000,1154600,1,-0.5208,-14.4681
2024-08-01,65200,66800,64000,64500,1267900,1,-0.5256,-14.9937
2024-08-02,64000,64800,61000,63700,742200,1,-0.1713,-15.165
2024-08-05,62600,63300,59300,59300,1709900,1,-0.5975,-15.7625
2024-08-06,59800,60800,58200,60100,960100,1,0.0866,-15.6759
2024-08-07,61000,61000,59700,60300,432200,1,-0.0651,-15.741
2024-08-08,60000,62700,59900,60500,749300,1,-0.0631,-15.8041
2024-08-09,61300,61500,61000,61300,378700,1,-0.0334,-15.8375
2024-08-12,61900,62000,61200,61700,441600,1,-0.152,-15.9895
