t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,35600,35800,35000,35000,8862589,1,-1.6558,-1.6558
2024-02-16,35300,35300,34650,35250,7518770,1,-1.419,-3.0748
2024-02-19,35100,35500,34500,35400,10690911,1,-1.8598,-4.9346
2024-02-20,35300,35600,34700,35200,6844456,1,-0.3492,-5.2838
2024-02-21,35250,36200,35050,35550,10408441,1,1.0859,-4.1979
2024-02-22,35700,35750,35250,35700,7064441,1,0.2654,-3.9325
2024-02-23,35800,37150,35000,35200,25789026,1,4.3861,0.4536
2024-02-26,35200,35850,35100,35650,6399684,1,0.0886,0.5422
2024-02-27,35700,36300,35450,36150,9073903,1,-0.7765,-0.2343
2024-02-28,36400,36450,35650,35950,9819770,1,-1.9197,-2.154
2024-02-29,36200,36300,35200,35550,12805479,1,-4.2914,-6.4454
2024-03-01,35700,35700,35000,35600,9186740,1,-1.3408,-7.7862
2024-03-04,35600,36900,35150,36000,17584719,1,1.5085,-6.2777
2024-03-05,36000,36450,35750,36450,7386434,1,-0.4782,-6.7559
2024-03-06,36400,36950,35650,36100,11122170,1,-0.7744,-7.5303
2024-03-07,36000,36050,35450,35800,8888544,1,-1.9696,-9.4999
2024-03-08,35800,35850,34500,34500,20836794,1,-7.1593,-16.6592
2024-03-11,34500,34750,33900,34150,7848930,1,-2.9138,-19.573
2024-03-12,34000,34600,33950,34500,6764826,1,-0.909,-20.482
2024-03-13,34600,35150,34200,35150,6146474,1,0.4312,-20.0508
2024-03-14,35200,35200,34200,34450,7015247,1,-1.8767,-21.9275
2024-03-15,34400,35400,33950,34750,9590069,1,0.1632,-21.7643
2024-03-18,34750,35000,32350,33300,11393812,1,-4.3196,-26.0839
2024-03-19,33400,33800,32950,33300,7154001,1,-2.5982,-28.6821
2024-03-20,33200,34500,33000,34350,9490071,1,1.6443,-27.0378
2024-03-21,34600,34900,34050,34900,9091163,1,0.2429,-26.7949
2024-03-22,35100,36400,35000,35700,15970111,1,2.0484,-24.7465
2024-03-25,35500,35700,34500,34700,9583651,1,-3.1528,-27.8993
2024-03-26,34750,35400,34650,35200,3805589,1,0.6804,-27.2189
2024-03-27,35000,35500,34800,35500,5071326,1,-0.9334,-28.1523
2024-03-28,35900,35900,35300,35750,7037993,1,-0.359,-28.5113
2024-03-29,35750,35750,35150,35550,4494235,1,-0.8075,-29.3188
2024-04-01,35400,35400,34750,35000,7923029,1,-1.9934,-31.3122
2024-04-02,34500,35200,34100,35000,6983869,1,-1.5487,-32.8609
2024-04-03,34900,35000,33900,34050,9114136,1,-3.3486,-36.2095
2024-04-04,34200,34300,33500,33550,7109402,1,-1.4479,-37.6574
2024-04-05,33200,33600,33100,33200,9837489,1,-0.2812,-37.9386
2024-04-08,33300,34250,32950,33500,12011667,1,4.217,-33.7216
2024-04-09,33900,34250,33550,34250,5242173,1,0.8407,-32.8809
2024-04-10,34350,34350,33650,33650,4304063,1,-1.135,-34.0159
2024-04-11,33300,33700,33250,33700,4181821,1,0.0245,-33.9914
2024-04-12,33800,36050,33650,35900,23787608,1,7.4486,-26.5428
2024-04-15,35800,36300,33400,33450,29303204,1,-5.7463,-32.2891
2024-04-16,33900,34050,32800,34050,15421515,1,-2.4003,-34.6894
2024-04-17,34250,34250,32650,32700,19099905,1,-7.9725,-42.6619
2024-04-19,32100,32750,31250,31600,13046019,1,-1.5893,-44.2512
