t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,16450,16650,16350,16500,394800,1,-0.1169,-0.1169
2024-02-16,16500,16700,16400,16600,658835,1,-0.0045,-0.1214
2024-02-19,16650,16700,16250,16450,625552,1,-0.2015,-0.3229
2024-02-20,16400,16900,16250,16800,1230977,1,0.1442,-0.1787
2024-02-21,16800,16850,16500,16550,403903,1,-0.1426,-0.3213
2024-02-22,16500,16650,16450,16500,482700,1,-0.1283,-0.4496
2024-02-23,16600,16600,15700,15850,1088693,1,-0.4049,-0.8545
2024-02-26,15850,15950,15650,15900,418078,1,-0.182,-1.0365
2024-02-27,16000,16200,15900,16050,321731,1,-0.0424,-1.0789
2024-02-28,16050,16149,15900,16000,511100,1,-0.2321,-1.311
2024-02-29,16000,16000,15800,15950,494050,1,-0.1942,-1.5052
2024-03-01,15950,16350,15750,16149,460401,1,0.0445,-1.4607
2024-03-04,16400,16400,16100,16250,590941,1,-0.2314,-1.6921
2024-03-05,16400,16500,16000,16149,550954,1,-0.1637,-1.8558
2024-03-06,16100,16149,15700,15800,729101,1,-0.3856,-2.2414
2024-03-07,15750,15950,15550,15750,667200,1,-0.3007,-2.5421
2024-03-08,15900,15900,15500,15750,492363,1,-0.2182,-2.7603
2024-03-11,15800,15800,15450,15450,439300,1,-0.1863,-2.9466
2024-03-12,15500,15700,15300,15550,415657,1,0.0284,-2.9182
2024-03-13,15600,15800,15500,15750,415100,1,0.0021,-2.9161
2024-03-14,15900,15900,15650,15800,535155,1,-0.0365,-2.9526
2024-03-15,15700,16100,15700,15800,486292,1,-0.1608,-3.1134
2024-03-18,15850,15900,14750,15500,664077,1,-0.178,-3.2914
2024-03-19,15750,15750,15350,15550,366300,1,-0.1309,-3.4223
2024-03-20,15500,15850,15500,15850,419165,1,0.0365,-3.3858
2024-03-21,16000,16000,15800,15950,297413,1,0.0336,-3.3522
2024-03-22,16000,16350,15900,16100,1049020,1,-0.1013,-3.4535
2024-03-25,16100,16500,15950,16000,1182306,1,-0.0831,-3.5366
2024-03-26,16000,16100,15850,16050,610141,1,-0.2278,-3.7644
2024-03-27,16050,16200,16000,16050,483015,1,0.0089,-3.7555
2024-03-28,16250,16250,15900,16000,411213,1,-0.1954,-3.9509
2024-03-29,15850,15950,15800,15800,432705,1,-0.2922,-4.2431
2024-04-01,15750,16200,15650,16200,555854,1,-0.0923,-4.3354
2024-04-02,16200,16200,15900,16050,387711,1,-0.0499,-4.3853
2024-04-03,16100,16550,16100,16200,1575030,1,-0.0136,-4.3989
2024-04-04,16100,16300,15950,16200,392203,1,0.0081,-4.3908
2024-04-05,16100,16100,15800,15800,570861,1,-0.0995,-4.4903
2024-04-08,15800,15900,15650,15750,420816,1,-0.0087,-4.499
2024-04-09,15750,15900,15650,15900,334711,1,-0.0615,-4.5605
2024-04-10,15900,16000,15650,15650,264500,1,-0.0598,-4.6203
2024-04-11,15650,15650,15400,15650,298013,1,-0.0186,-4.6389
2024-04-12,15650,15800,15550,15750,432464,1,0.1886,-4.4503
2024-04-15,15800,15800,14650,14650,632772,1,-0.2323,-4.6826
2024-04-16,14600,14650,14050,14400,653044,1,-0.1597,-4.8423
2024-04-17,14650,14650,14150,14150,314507,1,-0.062,-4.9043
2024-04-19,14000,14150,13500,13600,620064,1,-0.0305,-4.9348
2024-04-22,13750,14050,13750,14000,366101,1,0.0534,-4.8814
2024-04-23,14050,14050,13750,13850,288004,1,-0.0219,-4.9033
2024-04-25,14350,14400,14150,14350,243912,1,0.118,-4.7853
2024-04-26,14050,15350,14000,15350,836652,1,-0.053,-4.8383
2024-05-02,15650,15650,15300,15550,435997,1,-0.0566,-4.8949
2024-05-03,15650,15800,15450,15500,354535,1,-0.0225,-4.9174
2024-05-06,15450,15900,15450,15800,421250,1,0.1171,-4.8003
2024-05-07,15900,15900,15600,15800,288151,1,-0.0425,-4.8428
2024-05-08,15700,16450,15600,16149,1127395,1,0.02,-4.8228
2024-05-09,16200,16400,15700,15950,1207312,1,0.0428,-4.78
2024-05-10,16000,16050,15700,15950,344030,1,-0.1596,-4.9396
2024-05-13,15850,16149,15850,16050,912176,1,-0.319,-5.2586
2024-05-14,16050,16250,15900,16100,616151,1,0.2175,-5.0411
2024-05-15,16149,16950,15900,16650,1483509,1,0.3989,-4.6422
2024-05-16,16850,17100,16550,16700,1054968,1,0.0372,-4.605
2024-05-17,16700,16800,16450,16550,1081320,1,-0.2815,-4.8865
2024-05-20,16600,17300,16600,17100,1497831,1,0.1841,-4.7024
2024-05-21,17050,17100,16800,17100,683544,1,-0.0884,-4.7908
2024-05-22,17100,18000,17050,17850,2285388,1,0.6791,-4.1117
2024-05-23,17850,18750,17600,18500,2482025,1,0.5287,-3.583
2024-05-24,18350,18550,17450,17850,1424976,1,0.0462,-3.5368
2024-05-27,17900,18650,17850,18450,1454389,1,0.2078,-3.329
2024-05-28,18600,18800,17850,18100,1593643,1,-0.2727,-3.6017
2024-05-29,18250,18250,17700,17700,1692705,1,0.0002,-3.6015
2024-05-30,17400,18300,17300,18300,2484518,1,-0.0189,-3.6204
2024-05-31,18350,18350,17900,18150,966083,1,-0.3688,-3.9892
2024-06-03,18150,18350,17950,18150,930486,1,-0.3015,-4.2907
2024-06-04,18150,18700,17950,18000,945292,1,-0.218,-4.5087
2024-06-05,18200,18400,17900,18150,1239255,1,0.3077,-4.201
2024-06-06,18250,19200,18200,18400,1512944,1,0.195,-4.006
2024-06-07,18400,18700,18150,18250,735753,1,-0.163,-4.169
2024-06-10,18800,18800,18050,18200,710292,1,0.0919,-4.0771
2024-06-11,18300,18900,18050,18350,1339772,1,-0.1649,-4.242
2024-06-12,18400,18850,18300,18800,921743,1,0.2552,-3.9868
2024-06-13,18950,18950,18450,18450,565723,1,-0.1534,-4.1402
2024-06-14,18350,18600,17200,17200,2679925,1,-1.3412,-5.4814
2024-06-17,17300,17400,17000,17000,1215588,1,0.1166,-5.3648
2024-06-18,17000,17450,17000,17300,550394,1,-0.0066,-5.3714
2024-06-19,17350,17600,17200,17250,547800,1,-0.1302,-5.5016
