t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,96500,97000,95200,95700,147114,1,-0.0552,-0.0552
2024-02-16,95400,97200,94900,97200,258256,1,0.1281,0.0729
2024-02-19,97200,97500,96400,97500,171534,1,0.0163,0.0892
2024-02-20,97700,97800,96000,97000,167303,1,-0.039,0.0502
2024-02-21,97000,97000,95300,96000,247363,1,-0.1143,-0.0641
2024-02-22,96200,99400,96000,99300,378453,1,0.1412,0.0771
2024-02-23,100000,100200,97500,98200,309349,1,-0.0805,-0.0034
2024-02-26,98100,103800,98000,102100,585804,1,0.1892,0.1858
2024-02-27,102100,104000,101600,102200,225353,1,-0.0351,0.1507
2024-02-28,102200,103900,100700,102500,235412,1,0.0099,0.1606
2024-02-29,102500,106000,101900,105000,297317,1,0.0636,0.2242
2024-03-01,106000,106000,104000,105000,205085,1,-0.0523,0.1719
2024-03-04,105500,105600,104000,104100,232265,1,-0.0666,0.1053
2024-03-05,103900,104900,103000,104000,249738,1,-0.0592,0.0461
2024-03-06,104000,107900,103300,104000,474573,1,-0.0695,-0.0234
2024-03-07,104000,106900,104000,106300,299898,1,0.101,0.0776
2024-03-08,106400,107500,105000,105200,170295,1,-0.0636,0.014
2024-03-11,106000,112500,105900,112500,879371,1,-0.3528,-0.3388
2024-03-12,115000,120300,114800,117900,1039270,1,0.0058,-0.333
2024-03-13,120000,123000,117700,119600,506227,1,-0.0007,-0.3337
2024-03-14,119600,121500,116500,117500,886874,1,-0.0503,-0.384
2024-03-15,117500,118800,114300,118500,675201,1,-0.0292,-0.4132
2024-03-18,118500,120000,110500,115700,1067627,1,-0.3157,-0.7289
2024-03-19,116100,120000,115100,118000,276057,1,0.0871,-0.6418
2024-03-20,117600,121000,115000,119100,609581,1,0.2841,-0.3577
2024-03-21,120900,127400,119500,127400,935241,1,0.5086,0.1509
2024-03-22,127400,128800,126100,128300,323696,1,-0.1,0.0509
2024-03-25,131000,131800,127200,130000,299799,1,-0.0333,0.0176
2024-03-26,130000,135000,128000,135000,360078,1,0.1549,0.1725
2024-03-27,135000,143600,133700,142700,560288,1,0.2128,0.3853
2024-03-28,142700,147000,142200,142200,296272,1,-0.0352,0.3501
2024-03-29,142000,142000,133200,138300,686609,1,-0.2165,0.1336
2024-04-01,138000,138000,134000,134500,476516,1,-0.1289,0.0047
2024-04-02,134600,139700,134500,137500,274402,1,0.0468,0.0515
2024-04-03,137500,139600,135000,135000,359202,1,-0.1248,-0.0733
2024-04-04,134000,137100,132200,133500,409758,1,-0.1024,-0.1757
2024-04-05,132000,135800,131600,132200,444957,1,-0.075,-0.2507
2024-04-08,134600,134600,125800,127000,646024,1,-0.1182,-0.3689
2024-04-09,125600,128000,124800,124900,482684,1,-0.1816,-0.5505
2024-04-10,125500,128500,125500,125700,187043,1,-0.0255,-0.576
2024-04-11,124500,124500,121000,122900,611614,1,-0.0222,-0.5982
2024-04-12,122500,127000,122500,125300,153080,1,0.0402,-0.558
2024-04-15,125000,126700,116600,116600,462739,1,-0.1762,-0.7342
2024-04-16,116600,119500,110500,119500,613938,1,0.12,-0.6142
2024-04-17,120000,120800,118000,118700,285183,1,-0.0409,-0.6551
2024-04-19,118600,118600,112000,112200,740521,1,0.0142,-0.6409
2024-04-22,115000,120000,114400,120000,564355,1,0.1395,-0.5014
2024-04-23,120000,121600,116800,118000,246194,1,-0.0945,-0.5959
2024-04-25,125900,129000,122000,122600,671591,1,-0.0933,-0.6892
2024-04-26,122600,126300,121400,124000,405920,1,-0.0171,-0.7063
2024-05-02,124500,127600,122000,127500,456884,1,0.0253,-0.681
2024-05-03,128500,131000,125000,130000,739001,1,-0.1774,-0.8584
2024-05-06,129900,131700,128800,130900,377378,1,-0.0574,-0.9158
2024-05-07,130900,132000,127900,128900,578010,1,-0.2154,-1.1312
2024-05-08,128699,132000,126500,129500,371595,1,0.0241,-1.1071
2024-05-09,129800,133500,129199,130900,395811,1,-0.0726,-1.1797
2024-05-10,130900,130900,127800,128800,275049,1,-0.078,-1.2577
2024-05-13,128699,128800,125000,126100,376757,1,-0.1957,-1.4534
2024-05-14,126500,127200,125300,126500,303726,1,-0.1351,-1.5885
2024-05-15,127200,135300,127000,135300,1127855,1,0.507,-1.0815
2024-05-16,140100,140100,134000,134000,549678,1,-0.1486,-1.2301
2024-05-17,136300,136300,133700,134400,499990,1,-0.0716,-1.3017
2024-05-20,136500,136500,130699,131000,818007,1,-0.473,-1.7747
2024-05-21,131000,133000,128199,129300,636393,1,-0.2673,-2.042
2024-05-22,132000,132000,128699,129100,388207,1,-0.1266,-2.1686
