t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,31300,31300,30800,30900,1702187,1,-0.3733,-0.3733
2024-02-16,30900,31450,30800,31000,1157340,1,-0.0748,-0.4481
2024-02-19,31000,31000,30400,30800,2001107,1,-0.314,-0.7621
2024-02-20,31250,31950,31000,31150,2171089,1,0.1306,-0.6315
2024-02-21,31100,31150,30700,31000,1165012,1,-0.2864,-0.9179
2024-02-22,30950,31000,30750,30800,1087833,1,-0.4034,-1.3213
2024-02-23,30800,31300,29900,29900,2504367,1,-0.6776,-1.9989
2024-02-26,29900,31500,29750,31200,2267149,1,0.7168,-1.2821
2024-02-27,31600,32299,31350,31400,2135878,1,0.3075,-0.9746
2024-02-28,31500,32000,31250,31550,1706536,1,-0.361,-1.3356
2024-02-29,31900,32800,31500,32150,2942970,1,0.2881,-1.0475
2024-03-01,32500,34000,32500,33250,3081525,1,0.4104,-0.6371
2024-03-04,33500,33800,32800,33000,1894545,1,-0.3298,-0.9669
2024-03-05,33000,35300,32299,35300,4747562,1,0.8085,-0.1584
2024-03-06,35750,36500,35600,36400,3359753,1,-0.0856,-0.244
2024-03-07,36500,37900,36050,36200,3088696,1,-0.2713,-0.5153
2024-03-08,36750,37550,35900,36500,3269278,1,0.1719,-0.3434
2024-03-11,36400,37500,35800,37000,2527353,1,0.2837,-0.0597
2024-03-12,37000,37450,36500,36850,2165121,1,-0.475,-0.5347
2024-03-13,37000,39000,36650,38900,2823301,1,0.7607,0.226
2024-03-14,38900,39500,38100,38400,2075464,1,-0.7254,-0.4994
2024-03-15,38400,38700,37200,38000,1957591,1,-0.355,-0.8544
2024-03-18,38400,38400,35350,36000,4207527,1,-1.3219,-2.1763
2024-03-19,36300,37100,36000,36400,902207,1,-0.042,-2.2183
2024-03-20,36100,37350,36100,37350,1531756,1,0.526,-1.6923
2024-03-21,37950,38100,37250,37350,1780329,1,-0.3565,-2.0488
2024-03-22,37600,38750,37300,38050,2607964,1,0.4944,-1.5544
2024-03-25,38900,38900,36600,37300,1927760,1,-0.8178,-2.3722
2024-03-26,37100,37900,36750,37650,906144,1,-0.0557,-2.4279
2024-03-27,37800,38050,37250,37550,1010061,1,-0.4048,-2.8327
2024-03-28,38000,39500,37850,39000,2728341,1,0.5494,-2.2833
2024-03-29,39000,39000,38400,38500,916261,1,-0.2553,-2.5386
2024-04-01,38400,38700,37500,38500,1678490,1,-0.2816,-2.8202
2024-04-02,38000,39500,38000,39500,2274983,1,0.1391,-2.6811
2024-04-03,39700,40700,38700,39250,2279094,1,-0.1228,-2.8039
2024-04-04,38800,39250,38300,38300,1715096,1,-0.1251,-2.929
2024-04-05,37450,37850,36000,36000,2724700,1,-0.5842,-3.5132
2024-04-08,35950,37200,35800,36500,1850966,1,0.141,-3.3722
2024-04-09,36800,38000,36600,38000,1054028,1,0.2351,-3.1371
2024-04-10,38000,38000,37400,37400,1119101,1,-0.3237,-3.4608
2024-04-11,36400,38400,36400,38200,1704849,1,0.4019,-3.0589
2024-04-12,38550,40500,38150,40500,3943317,1,1.2846,-1.7743
