t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,35000,35100,34250,35000,134592,1,0.037,0.037
2024-02-16,34350,35150,34350,35100,191110,1,-0.0849,-0.0479
2024-02-19,35050,35100,35000,35000,93240,1,-0.0698,-0.1177
2024-02-20,34400,35050,34400,35000,108832,1,0.004,-0.1137
2024-02-21,34950,35000,34500,35000,62456,1,0.0429,-0.0708
2024-02-22,34550,35100,34550,34750,37878,1,0.0101,-0.0607
2024-02-23,35150,35800,34800,35200,60410,1,0.0075,-0.0532
2024-02-26,35000,35100,34700,34700,137829,1,0.0839,0.0307
2024-02-27,34700,35500,34700,35100,54565,1,0.0037,0.0344
2024-02-28,35000,35500,34900,35450,60727,1,-0.0175,0.0169
2024-02-29,35400,35450,35000,35400,44040,1,0.0208,0.0377
2024-03-01,35550,35600,35200,35550,110628,1,-0.01,0.0277
2024-03-04,35700,35700,35200,35300,47128,1,-0.0064,0.0213
2024-03-05,35700,35700,35300,35500,45890,1,-0.0237,-0.0024
2024-03-06,35300,35500,35000,35150,48834,1,-0.0394,-0.0418
2024-03-07,35150,35700,35150,35700,60076,1,0.0129,-0.0289
2024-03-08,35700,36100,35200,35700,83620,1,0.0398,0.0109
2024-03-11,35700,37400,35700,36200,122323,1,0.0442,0.0551
2024-03-12,36800,38000,36750,36850,53401,1,0.0141,0.0692
2024-03-13,36850,37500,36850,37050,50452,1,-0.0109,0.0583
2024-03-14,38000,38000,36500,36500,67461,1,-0.03,0.0283
2024-03-15,36700,36700,35800,36000,49378,1,-0.0055,0.0228
2024-03-18,35800,36100,35000,35950,37886,1,-0.0161,0.0067
2024-03-19,36000,36900,36000,36500,45100,1,0.0175,0.0242
2024-03-20,39050,39050,38800,39050,212958,1,-0.1524,-0.1282
2024-03-21,41750,41750,41600,41750,110299,1,-0.043,-0.1712
2024-03-22,44650,44650,41750,42300,113046,1,0.0399,-0.1313
2024-03-25,41100,42100,40600,41500,144523,1,0.0037,-0.1276
2024-03-26,44400,44400,44350,44400,331334,1,0.1203,-0.0073
2024-03-27,47400,47400,44850,44850,176043,1,0.025,0.0177
2024-03-28,44850,45300,44000,44250,82480,1,-0.0416,-0.0239
2024-03-29,44250,45000,44000,44100,45784,1,-0.0016,-0.0255
2024-04-01,44100,44200,42900,43000,70730,1,-0.0473,-0.0728
2024-04-02,43000,43550,42500,43000,64228,1,0.009,-0.0638
2024-04-03,43000,43400,42700,42800,16443,1,-0.0104,-0.0742
2024-04-04,43000,44000,42800,43800,52175,1,0.0232,-0.051
2024-04-05,43500,43600,43000,43500,27472,1,-0.0197,-0.0707
2024-04-08,43500,43700,43000,43050,52870,1,-0.013,-0.0837
2024-04-09,43050,43150,42700,42900,48875,1,-0.0298,-0.1135
2024-04-10,43100,43600,43000,43500,55724,1,0.0009,-0.1126
2024-04-11,43000,43450,42900,43150,66104,1,-0.0169,-0.1295
2024-04-12,43150,43450,42950,43400,38047,1,-0.0087,-0.1382
2024-04-15,43400,46000,42800,42800,80233,1,0.0079,-0.1303
2024-04-16,43000,44600,42800,43500,48203,1,0.0198,-0.1105
2024-04-17,43800,45000,43600,43850,36819,1,0.0057,-0.1048
2024-04-19,43700,43700,41850,42600,66893,1,-0.0294,-0.1342
2024-04-22,42200,42800,42200,42500,38427,1,-0.0162,-0.1504
2024-04-23,42300,43000,42300,42300,24710,1,-0.0162,-0.1666
2024-04-25,42900,43300,42700,42800,12541,1,-0.0056,-0.1722
2024-04-26,42900,42900,42600,42800,16510,1,-0.0058,-0.178
2024-05-02,42800,43500,42800,43500,22909,1,0.0043,-0.1737
2024-05-03,43250,44300,43250,43900,49206,1,0.0119,-0.1618
2024-05-06,44800,45000,44200,44500,58100,1,0.0367,-0.1251
2024-05-07,44950,44950,44000,44300,37681,1,-0.0165,-0.1416
2024-05-08,44450,44450,44000,44350,38600,1,-0.0105,-0.1521
2024-05-09,44100,44350,44000,44100,38156,1,-0.0167,-0.1688
2024-05-10,44350,45900,44000,45500,112652,1,0.0397,-0.1291
2024-05-13,46050,47000,46000,46450,104633,1,-0.0168,-0.1459
2024-05-14,46400,46550,45450,45700,44557,1,-0.0194,-0.1653
2024-05-15,46200,46200,44650,45050,150426,1,-0.0882,-0.2535
2024-05-16,45100,45100,44600,44600,55550,1,-0.0308,-0.2843
2024-05-17,44600,45500,44600,45450,45990,1,0.0134,-0.2709
