t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,24690,24910,24300,24430,10245566,1,-0.3435,-0.3435
2024-02-16,24480,24820,24170,24820,11948056,1,0.6431,0.2996
2024-02-19,24950,25810,24170,25810,13517326,1,0.4655,0.7651
2024-02-20,25590,25640,25160,25550,10418448,1,-0.4543,0.3108
2024-02-21,25550,25980,25120,25640,9118578,1,1.5779,1.8887
2024-02-22,25590,26150,25510,25900,11730217,1,0.1511,2.0398
2024-02-23,25980,26070,24520,24520,13367848,1,-3.833,-1.7932
2024-02-26,24730,25210,24390,25120,11779364,1,3.1308,1.3376
2024-02-27,25340,25640,24820,25550,9890233,1,1.2144,2.552
2024-02-28,25680,26020,25420,25980,12979840,1,1.9955,4.5475
2024-02-29,26070,26070,25340,25720,10771566,1,-0.4346,4.1129
2024-03-01,25810,25900,25380,25550,9047692,1,-0.0825,4.0304
2024-03-04,25460,25550,25080,25290,11734296,1,-1.4067,2.6237
2024-03-05,25380,25680,24990,25590,11642297,1,1.7793,4.403
2024-03-06,25590,25640,24990,24990,7572598,1,-1.2947,3.1083
2024-03-07,25120,25290,24910,25030,9417129,1,1.0164,4.1247
2024-03-08,25120,25590,24780,25290,15215404,1,3.3521,7.4768
2024-03-11,25460,26410,25460,26330,24075851,1,5.9962,13.473
2024-03-12,26450,26540,25940,26410,12798205,1,-0.1696,13.3034
2024-03-13,26540,27530,26280,27530,17145222,1,5.1162,18.4196
2024-03-14,27440,27530,26840,27190,13444840,1,-2.1244,16.2952
2024-03-15,27270,27310,26710,27100,9080516,1,-0.3387,15.9565
2024-03-18,27010,27360,25210,26330,16274611,1,-1.572,14.3845
2024-03-19,26410,26670,25900,26330,8906746,1,1.1652,15.5497
2024-03-20,26410,26930,26150,26670,10102530,1,2.52,18.0697
2024-03-21,26840,27270,26710,27140,11552622,1,3.3746,21.4443
2024-03-22,27270,27530,26970,27140,12662565,1,-0.4333,21.011
2024-03-25,27190,27190,26200,26370,11127767,1,-1.9755,19.0355
2024-03-26,26240,27100,25940,27100,7958271,1,3.0175,22.053
2024-03-27,27140,27360,26930,27270,7627870,1,1.5864,23.6394
2024-03-28,27440,27870,27360,27700,10514508,1,3.3108,26.9502
2024-03-29,27920,28090,27440,27870,10454349,1,0.8566,27.8068
2024-04-01,27870,27920,27310,27530,8170017,1,-1.213,26.5938
2024-04-02,27400,27790,27010,27740,8493536,1,0.48,27.0738
2024-04-03,27790,27870,27140,27490,6826273,1,-1.1195,25.9543
2024-04-04,27920,28860,27700,27870,21202136,1,5.7895,31.7438
2024-04-05,27530,27700,26280,26280,9487847,1,-2.425,29.3188
2024-04-08,26450,26500,25900,26240,9742347,1,0.9348,30.2536
2024-04-09,26240,26500,25510,26410,10862582,1,0.9211,31.1747
2024-04-10,26370,26880,26240,26500,7581879,1,2.4134,33.5881
2024-04-11,26070,26710,25940,26670,8387715,1,3.5806,37.1687
2024-04-12,26840,26930,26450,26580,5275574,1,-0.3369,36.8318
2024-04-15,26580,26580,24730,24730,8389924,1,-2.7434,34.0884
2024-04-16,24600,24650,23190,23570,10398802,1,-2.4387,31.6497
2024-04-17,23830,24170,23530,23790,7649844,1,0.9197,32.5694
2024-04-19,23230,23490,22370,22370,10160905,1,0.6745,33.2439
2024-04-22,22630,23920,22450,23920,10986551,1,6.2007,39.4446
2024-04-23,23830,23920,22540,23230,7204499,1,-2.1352,37.3094
2024-04-25,24130,24130,23440,23830,6433025,1,0.3296,37.639
2024-04-26,23570,24260,23530,24090,7795321,1,2.941,40.58
2024-05-02,24350,24730,24130,24390,7089930,1,0.4603,41.0403
2024-05-03,24520,24650,23920,24000,6655800,1,-0.7227,40.3176
2024-05-06,24170,24910,24130,24820,9789528,1,2.7225,43.0401
2024-05-07,24950,25510,24780,25380,10724711,1,3.0331,46.0732
2024-05-08,25030,25340,24820,25210,7711185,1,-1.2327,44.8405
2024-05-09,25340,25460,24860,24860,6853455,1,-1.2911,43.5494
2024-05-10,25030,26410,24950,26410,16850048,1,5.3011,48.8505
2024-05-13,26410,27310,26150,26840,15444690,1,4.5052,53.3557
2024-05-14,27100,27100,26540,26630,7538112,1,-0.7513,52.6044
2024-05-15,26840,27270,26500,26540,11526190,1,-0.5385,52.0659
2024-05-16,26840,27360,26540,27010,12121060,1,2.392,54.4579
2024-05-17,27440,28860,27360,28730,20405948,1,6.0246,60.4825
2024-05-20,29420,29810,29210,29720,13842926,1,0.7524,61.2349
2024-05-21,29680,30500,29210,30150,12225008,1,2.2289,63.4638
2024-05-22,30370,30370,29470,29550,11757946,1,-2.1488,61.315
2024-05-23,29340,30760,29340,30670,7571144,1,2.1837,63.4987
2024-05-24,30370,31140,28950,29940,11760628,1,-3.5695,59.9292
2024-05-27,29940,30280,29510,29980,4241236,1,-0.9236,59.0056
2024-05-28,30110,30710,29980,30450,5509248,1,0.0749,59.0805
2024-05-29,30710,31310,30200,30200,8066358,1,0.5153,59.5958
2024-05-30,29940,30970,29160,30800,10525813,1,-0.539,59.0568
2024-05-31,30970,31060,30410,30580,3417113,1,-0.6256,58.4312
2024-06-03,30710,30840,30330,30630,4992929,1,-0.7408,57.6904
2024-06-04,30800,31570,30410,30880,7958831,1,0.6374,58.3278
2024-06-05,30970,30970,30280,30280,5989748,1,-2.4104,55.9174
2024-06-06,30370,30540,29510,29980,8215867,1,-2.3267,53.5907
2024-06-07,30240,30670,29980,30410,3699021,1,0.3005,53.8912
2024-06-10,30450,31700,30450,30970,7337408,1,0.6829,54.5741
2024-06-11,30970,31060,30450,30670,3902243,1,-1.1923,53.3818
2024-06-12,30630,30880,30410,30760,2698423,1,-0.0723,53.3095
2024-06-13,30970,31360,30760,31230,5225856,1,-0.2911,53.0184
2024-06-14,31310,31570,30280,30280,7497093,1,-1.959,51.0594
2024-06-17,30200,30370,29720,29770,6562092,1,-1.8331,49.2263
2024-06-18,29980,30840,29940,30370,5217148,1,0.1343,49.3606
2024-06-19,30670,31190,30370,30880,6678538,1,0.2128,49.5734
2024-06-20,31140,31360,30540,31230,6364689,1,-0.7882,48.7852
2024-06-21,31490,32299,31100,31660,13132725,1,0.5897,49.3749
2024-06-24,31400,31570,29770,29980,8314516,1,-4.4048,44.9701
2024-06-25,30070,30200,29510,29850,5697724,1,-0.5909,44.3792
2024-06-26,29940,30970,28860,30970,12244188,1,-0.7083,43.6709
2024-06-27,30800,30880,30240,30280,2541015,1,-0.3238,43.3471
2024-06-28,30500,30540,29250,29250,5164185,1,-1.7895,41.5576
2024-07-01,29250,29850,28910,29680,3522520,1,0.3843,41.9419
2024-07-02,29940,29940,29470,29770,2868961,1,0.341,42.2829
2024-07-03,29900,30150,29640,29640,2920407,1,-0.2442,42.0387
2024-07-04,29770,29770,28990,29340,5671925,1,-1.5115,40.5272
2024-07-05,29340,30330,29340,30330,8148133,1,1.5757,42.1029
2024-07-09,30670,31400,30450,31400,13304677,1,2.7606,44.8635
2024-07-10,31750,32049,30110,30970,11188712,1,-3.1965,41.667
2024-07-11,30970,30970,29720,29720,10865104,1,-3.445,38.222
2024-07-12,29680,29940,29080,29250,9980834,1,-2.5928,35.6292
2024-07-15,30350,30850,29850,30200,5617414,1,-1.3397,34.2895
2024-07-16,30500,30650,29950,30000,2844853,1,-0.6196,33.6699
2024-07-17,30300,30300,27900,28600,5329655,1,-2.1604,31.5095
2024-07-18,28550,29000,27800,28900,5241349,1,-0.3582,31.1513
2024-07-19,28800,28800,28150,28150,2264306,1,-0.7618,30.3895
2024-07-22,28200,28300,26800,26800,5153385,1,-1.5884,28.8011
2024-07-23,26800,27200,24950,24950,6038285,1,-1.581,27.2201
2024-07-24,24800,26500,24650,26500,6644506,1,1.8792,29.0993
2024-07-25,26100,26850,25850,26600,4167946,1,1.1261,30.2254
2024-07-26,26750,28100,26650,28100,6916900,1,1.4216,31.647
2024-07-29,28400,28400,27450,28000,3678000,1,-0.3302,31.3168
2024-07-30,28000,28300,26050,26050,13457500,1,-0.9775,30.3393
2024-07-31,26150,26700,25550,25650,3962400,1,-0.5817,29.7576
2024-08-01,25700,26350,25550,26250,6557900,1,-0.0558,29.7018
2024-08-02,26200,28050,25500,28050,10624100,1,2.8577,32.5595
2024-08-05,27700,28400,26550,27000,8304700,1,-1.8901,30.6694
2024-08-06,27400,28050,26600,27900,7867600,1,1.2091,31.8785
2024-08-07,28000,28000,26900,27650,5271000,1,-1.0582,30.8203
2024-08-08,27600,27800,26300,27000,6174000,1,-0.925,29.8953
2024-08-09,27300,27600,27000,27300,4392600,1,-0.1502,29.7451
2024-08-12,27400,27800,27100,27700,5247900,1,0.8589,30.604
