t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,32650,32650,31980,32270,3341863,1,-0.5212,-0.5212
2024-02-16,32270,32650,31840,32170,5266022,1,0.0497,-0.4715
2024-02-19,32360,33070,31980,32549,6810726,1,0.4997,0.0282
2024-02-20,32840,32840,32119,32500,3990320,1,-1.6135,-1.5853
2024-02-21,32270,32980,32270,32840,5981795,1,0.7379,-0.8474
2024-02-22,32790,33070,32650,32650,3374068,1,-1.0167,-1.8641
2024-02-23,32650,32689,30840,31320,11964923,1,-4.6514,-6.5155
2024-02-26,31360,32409,31130,31930,4770978,1,0.8274,-5.6881
2024-02-27,31980,32270,31740,31930,2661687,1,-0.3038,-5.9919
2024-02-28,32119,33120,32080,32310,7551264,1,0.2121,-5.7798
2024-02-29,32460,32650,31890,32030,3079295,1,-1.1243,-6.9041
2024-03-01,31980,32500,31700,32460,6313937,1,-0.6084,-7.5125
2024-03-04,32740,32840,32409,32500,5773331,1,-1.2955,-8.808
2024-03-05,32549,33120,32500,32650,4852648,1,-0.3506,-9.1586
2024-03-06,32740,32740,32030,32460,4135953,1,-1.0727,-10.2313
2024-03-07,32460,33500,32119,33030,7493929,1,1.6512,-8.5801
2024-03-08,33400,34450,33170,34070,11197245,1,3.3742,-5.2059
2024-03-11,34070,34640,32980,33550,4933801,1,-0.8659,-6.0718
2024-03-12,33640,33930,33030,33220,5742706,1,-1.669,-7.7408
2024-03-13,33690,34830,33220,34500,8411249,1,2.392,-5.3488
2024-03-14,34540,34690,33690,33930,5947748,1,-1.871,-7.2198
2024-03-15,33880,34160,33550,33690,4701482,1,-1.2458,-8.4656
2024-03-18,33740,33970,31790,32360,9162823,1,-2.7226,-11.1882
2024-03-19,32650,32689,32119,32270,3453497,1,-0.8112,-11.9994
2024-03-20,32460,32840,32080,32600,3044379,1,0.4569,-11.5425
2024-03-21,32840,33220,32689,32980,3593365,1,-0.5107,-12.0532
2024-03-22,33360,33400,32740,33220,3884645,1,-0.6523,-12.7055
2024-03-25,33500,33590,32600,32689,3224814,1,-1.0974,-13.8029
2024-03-26,33030,33550,32740,33310,2644524,1,-0.0551,-13.858
2024-03-27,33550,33550,33170,33360,2329919,1,-0.4593,-14.3173
2024-03-28,33550,33880,33220,33740,4662070,1,0.2001,-14.1172
2024-03-29,33880,33970,33310,33360,1896741,1,-0.6486,-14.7658
2024-04-01,33360,33400,32740,32790,4247794,1,-1.8641,-16.6299
2024-04-02,32880,33120,32500,32980,2746909,1,-0.1081,-16.738
2024-04-03,33120,34540,33120,33690,8690671,1,0.7888,-15.9492
2024-04-04,34120,34120,33120,33590,3426365,1,-0.7386,-16.6878
2024-04-05,33260,33500,32549,32549,3190332,1,-1.0683,-17.7561
2024-04-08,32650,32740,31790,31790,3251146,1,-0.8669,-18.623
2024-04-09,31890,32080,31510,32030,2168607,1,-0.0908,-18.7138
2024-04-10,32170,32170,31700,31700,1466697,1,-0.4125,-19.1263
2024-04-11,31510,31790,31130,31700,2108393,1,-0.7483,-19.8746
2024-04-12,31790,31890,31550,31840,1616458,1,-0.2865,-20.1611
2024-04-15,31980,32549,29660,29700,3244989,1,-1.0675,-21.2286
2024-04-16,29890,30080,29130,30040,3526698,1,-0.6845,-21.9131
2024-04-17,30320,30370,29510,29660,1695210,1,-0.4589,-22.372
2024-04-19,29280,29800,28330,28940,3022477,1,-0.4266,-22.7986
2024-04-22,29420,29420,28900,29040,1586164,1,-0.1291,-22.9277
2024-04-23,29130,29370,28470,28560,1890300,1,-0.8833,-23.811
2024-04-25,29230,29420,28900,29090,960564,1,-0.3709,-24.1819
2024-04-26,28610,29510,28610,29130,1925430,1,-0.0804,-24.2623
2024-05-02,29230,30420,29230,30420,3004031,1,0.4678,-23.7945
2024-05-03,30650,30650,29990,30370,1992549,1,-0.3595,-24.154
2024-05-06,30460,31130,30370,31130,2777312,1,0.5186,-23.6354
2024-05-07,31220,32080,31130,31600,4872835,1,0.0024,-23.633
2024-05-08,31320,32840,30890,32409,6825032,1,1.9359,-21.6971
2024-05-09,32880,33120,32220,32460,4237573,1,-0.0147,-21.7118
2024-05-10,32460,33030,31790,32790,3785178,1,0.1531,-21.5587
2024-05-13,33030,33030,32170,32549,2272829,1,-0.5331,-22.0918
2024-05-14,32790,32790,32170,32650,2195278,1,-0.4006,-22.4924
2024-05-15,32840,34450,32500,34350,10756711,1,4.1497,-18.3427
2024-05-16,34640,35260,34260,35210,8561896,1,2.0477,-16.295
2024-05-17,35070,35730,34690,35400,4963670,1,-0.7555,-17.0505
2024-05-20,36060,36060,34970,34970,4193516,1,-0.9164,-17.9669
2024-05-21,34970,36960,34640,36820,10019408,1,1.6805,-16.2864
2024-05-22,37010,37250,36110,36770,4073829,1,-1.3245,-17.6109
2024-05-23,36770,37770,36350,37110,5075902,1,0.103,-17.5079
2024-05-24,36580,36920,34690,35870,9130487,1,-2.6023,-20.1102
2024-05-27,36250,37010,35490,36440,4723015,1,0.9548,-19.1554
2024-05-28,36490,36730,36250,36540,3538451,1,-0.5628,-19.7182
2024-05-29,36730,37340,35730,36060,9378800,1,-1.1742,-20.8924
2024-05-30,35400,35820,34640,35780,10135957,1,-3.2308,-24.1232
2024-05-31,35680,36010,35350,35630,3246508,1,0.1158,-24.0074
2024-06-03,35920,38010,35630,36920,10793791,1,2.5371,-21.4703
2024-06-04,36920,37150,36390,36630,4296274,1,-1.6501,-23.1204
2024-06-05,36820,36920,35820,36060,6107393,1,-1.846,-24.9664
2024-06-06,36060,36770,35870,36390,4201885,1,-0.7775,-25.7439
2024-06-07,36820,37720,36490,37110,9061460,1,1.4687,-24.2752
2024-06-10,37490,37490,36630,36770,3596575,1,-0.8497,-25.1249
2024-06-11,37110,37960,36960,37250,6791682,1,-0.0946,-25.2195
2024-06-12,37530,37820,36730,37440,4159920,1,-1.1207,-26.3402
2024-06-13,37530,37820,36960,37010,4389974,1,-1.235,-27.5752
2024-06-14,37060,37300,35590,35590,9207687,1,-3.3772,-30.9524
2024-06-17,35630,36250,35630,35870,4579865,1,-0.1952,-31.1476
2024-06-18,36060,36730,36060,36490,2922784,1,-0.2136,-31.3612
2024-06-19,36730,38580,36680,37300,9196119,1,1.8559,-29.5053
2024-06-20,37770,37770,36770,37300,3627439,1,-0.7311,-30.2364
2024-06-21,37390,38010,37110,37250,5455769,1,-0.9032,-31.1396
2024-06-24,37000,37450,35400,35750,7071811,1,-2.7455,-33.8851
2024-06-25,35950,36300,35500,36250,2856620,1,-0.4317,-34.3168
2024-06-26,36250,36800,35800,36800,2776328,1,0.3647,-33.9521
2024-06-27,37000,37900,36850,37400,5448071,1,1.0368,-32.9153
2024-06-28,37200,37400,35850,36000,3712498,1,-1.3753,-34.2906
2024-07-01,36100,36650,35800,36600,1836363,1,0.0209,-34.2697
2024-07-02,37200,37750,36900,37050,4763607,1,0.5016,-33.7681
2024-07-03,37400,38600,37000,37500,7878442,1,1.7061,-32.062
2024-07-04,37600,38050,36900,37250,4421912,1,-1.543,-33.605
2024-07-05,37600,38300,37150,37500,4541215,1,-0.3659,-33.9709
2024-07-09,40800,41800,40300,40400,5805646,1,-0.2902,-34.2611
2024-07-10,40400,41300,40100,40700,7621935,1,-0.8196,-35.0807
2024-07-11,41000,41000,39200,39200,9768378,1,-3.1588,-38.2395
2024-07-12,39200,39850,38900,39800,5686151,1,-1.2622,-39.5017
2024-07-15,39900,40250,38800,39400,4205642,1,-1.5952,-41.0969
2024-07-16,39450,39850,39000,39100,3359521,1,-1.3611,-42.458
2024-07-17,39450,39450,36400,37000,10990334,1,-5.6508,-48.1088
2024-07-18,37300,38200,36900,38100,5163154,1,-0.4598,-48.5686
2024-07-19,38000,38000,37100,37300,3147497,1,-1.2888,-49.8574
2024-07-22,37000,37300,35550,36000,6054034,1,-1.3819,-51.2393
2024-07-23,36100,36450,35000,35050,4530359,1,-1.1139,-52.3532
2024-07-24,34650,36250,34100,35750,3733211,1,0.1686,-52.1846
2024-07-25,35600,36050,35400,35750,2144672,1,-0.1033,-52.2879
2024-07-26,36000,36450,35650,36300,2917300,1,-0.5371,-52.825
2024-07-29,36650,38100,36450,37950,7820700,1,1.2483,-51.5767
2024-07-30,38100,38100,37100,37700,3320800,1,-0.5597,-52.1364
2024-07-31,37700,38000,37100,37100,3667800,1,-0.8506,-52.987
2024-08-01,37400,37400,35400,35650,6053400,1,-2.0798,-55.0668
2024-08-02,35500,36850,34800,36850,4117300,1,0.254,-54.8128
2024-08-05,36000,36400,34350,34500,5446100,1,-1.9528,-56.7656
2024-08-06,35150,35600,34550,35500,3177100,1,0.2652,-56.5004
2024-08-07,35500,36450,35100,36200,4118700,1,0.9718,-55.5286
2024-08-08,36000,36400,35300,35700,2845700,1,-0.7157,-56.2443
2024-08-09,36400,36650,35950,36300,3404400,1,0.1648,-56.0795
2024-08-12,36500,37200,36300,36750,3233600,1,0.1136,-55.9659
