t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,10480,10770,10380,10380,425300,1,-0.0501,-0.0501
2024-02-16,10480,10480,10290,10480,960945,1,-0.325145,-0.375245
2024-02-19,10380,10670,10380,10670,1329952,1,0.046132,-0.329113
2024-02-20,9700,10670,9700,10580,528538,1,0.089536,-0.239577
2024-02-21,10480,10670,10480,10670,1039882,1,0.185238,-0.054339
2024-02-22,10670,11160,10580,11060,2376613,1,0.637557,0.583218
2024-02-23,11060,11260,10480,10670,1828901,1,-0.065863,0.517355
2024-02-26,10670,11060,10580,10970,1077845,1,-0.013603,0.503752
2024-02-27,10970,11260,10770,11060,1288454,1,-0.185852,0.3179
2024-02-28,11160,11550,10970,11350,1921463,1,0.250597,0.568497
2024-02-29,11350,11450,11060,11160,1121400,1,-0.233654,0.334843
2024-03-01,11160,11350,11060,11160,690377,1,-0.178951,0.155892
2024-03-04,11160,11840,11160,11640,2681569,1,0.901745,1.057637
2024-03-05,11550,11940,11550,11840,1487067,1,0.416797,1.474434
2024-03-06,11740,12230,11640,12030,2529200,1,0.08967,1.564104
2024-03-07,12030,12320,11840,12130,1619393,1,0.468167,2.032271
2024-03-08,12230,12710,12130,12420,3245252,1,0.200868,2.233139
2024-03-11,12420,12420,12130,12320,1901568,1,-0.646992,1.586147
2024-03-12,12420,13290,12420,13100,3699397,1,-0.705001,0.881146
2024-03-13,13100,13970,13100,13780,2573014,1,0.169484,1.05063
2024-03-14,13970,13970,13100,13290,2316412,1,-0.681906,0.368724
2024-03-15,13200,13390,13000,13290,2515091,1,-0.372445,-0.003721
2024-03-18,12910,13200,12030,12810,4126080,1,-0.402338,-0.406059
2024-03-19,12620,13100,12030,13000,1743644,1,0.253092,-0.152967
2024-03-20,13000,13780,12910,13490,2496838,1,1.116822,0.963855
2024-03-21,13490,14850,13390,14560,4043033,1,0.673207,1.637062
2024-03-22,14650,15820,14460,15530,4187879,1,0.370147,2.007209
2024-03-25,15530,16400,15240,16110,3812312,1,0.759042,2.766251
2024-03-26,16400,16880,15240,15910,3728881,1,0.278891,3.045142
2024-03-27,15910,16110,15040,15530,3524719,1,-0.258899,2.786243
2024-03-28,15620,15720,14940,15620,2685417,1,0.399547,3.18579
2024-03-29,15530,16110,15430,16010,3114746,1,-0.438196,2.747594
2024-04-01,16110,16590,15720,15910,1568760,1,-0.03165,2.715944
2024-04-02,16010,16010,15430,15720,1891091,1,-0.210367,2.505577
2024-04-03,15820,16880,15820,16110,3288481,1,0.675889,3.181466
2024-04-04,15910,16210,15330,15820,2200665,1,-0.589817,2.591649
2024-04-05,15530,15620,14650,14750,2732478,1,-0.415058,2.176591
2024-04-08,14850,15040,13680,13680,2590276,1,-0.711586,1.465005
2024-04-09,13680,14460,13680,14460,1778297,1,-0.451585,1.01342
