t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,96700,97100,95200,95400,1709683,1,-0.6006,-0.6006
2024-02-16,95400,96500,94500,95500,2552192,1,-0.0587,-0.6593
2024-02-19,96100,98600,95200,96600,4082003,1,0.649,-0.0103
2024-02-20,96500,98800,95700,98700,4602357,1,1.0835,1.0732
2024-02-21,101000,103000,99700,101700,5473953,1,1.2752,2.3484
2024-02-22,101700,102800,100700,101200,2844274,1,0.4183,2.7667
2024-02-23,101500,103400,99600,100000,4437703,1,-0.4865,2.2802
2024-02-26,101000,107000,100000,107000,7514826,1,2.0809,4.3611
2024-02-27,109500,111600,108500,111600,4164285,1,0.9824,5.3435
2024-02-28,111700,112400,110200,110500,2786375,1,-0.069,5.2745
2024-02-29,110600,114800,109600,112000,3082256,1,-0.1746,5.0999
2024-03-01,113000,115300,112300,114000,3000834,1,0.2891,5.389
2024-03-04,115500,115500,111700,112100,3932518,1,-1.3049,4.0841
2024-03-05,111500,115500,111500,113400,2855986,1,0.3051,4.3892
2024-03-06,112800,113500,109800,113000,3680762,1,-0.9265,3.4627
2024-03-07,112400,120900,111000,120900,7352805,1,2.4756,5.9383
2024-03-08,122000,122900,118000,119400,2385830,1,-0.2588,5.6795
2024-03-11,119700,122000,117300,118000,2795647,1,-0.3666,5.3129
2024-03-12,118000,120500,117700,118900,2140434,1,-0.1883,5.1246
2024-03-13,120500,127200,119500,127200,3809947,1,1.3148,6.4394
2024-03-14,128900,131500,127100,128199,3451521,1,-0.1753,6.2641
2024-03-15,129400,129400,126000,127000,2513245,1,-0.4593,5.8048
2024-03-18,127500,127500,118200,118200,13275181,1,0.1394,5.9442
2024-03-19,119900,121900,117000,119000,2832711,1,-0.3771,5.5671
2024-03-20,119900,123700,118600,122800,2917499,1,0.8108,6.3779
2024-03-21,124500,124600,119500,123000,2795621,1,-0.3913,5.9866
2024-03-22,123000,124500,121300,123600,2314360,1,-0.5675,5.4191
2024-03-25,123000,123600,118500,120000,2747827,1,-1.045,4.3741
2024-03-26,120000,120700,118200,120700,1832591,1,-0.185,4.1891
2024-03-27,120700,121100,119000,120700,1518328,1,-0.4976,3.6915
2024-03-28,121900,125000,121500,123900,2419853,1,0.3422,4.0337
2024-03-29,123900,124300,122000,123400,1972728,1,-0.1045,3.9292
2024-04-01,122500,122900,120100,120300,2404819,1,-0.5246,3.4046
2024-04-02,119900,122600,118500,122600,2445907,1,0.092,3.4966
2024-04-03,122700,127500,122000,122400,4323642,1,0.4649,3.9615
2024-04-04,122400,123000,121000,122600,1691774,1,0.0169,3.9784
2024-04-05,121000,122500,119600,119700,2242131,1,-0.4569,3.5215
2024-04-08,119800,120400,115500,116000,3272008,1,-0.8106,2.7109
2024-04-09,116000,117600,116000,117000,1165690,1,-0.1143,2.5966
2024-04-10,117600,118400,116500,117900,1441682,1,-0.4317,2.1649
2024-04-11,117000,120500,116700,119900,1524055,1,0.4342,2.5991
2024-04-12,120500,120500,118800,119200,1074816,1,-0.0484,2.5507
2024-04-15,118800,121900,111000,111100,2991512,1,-1.0426,1.5081
2024-04-16,108000,114300,108000,113500,4539581,1,0.4228,1.9309
2024-04-17,114300,114500,111100,111100,1554164,1,-0.3495,1.5814
2024-04-19,109000,112400,107000,108000,3124868,1,-0.1034,1.478
2024-04-22,110000,111000,108100,110000,2057642,1,0.1994,1.6774
2024-04-23,110800,110800,108000,110000,1669865,1,-0.226,1.4514
2024-04-25,116300,116300,114400,116100,1541014,1,-0.2299,1.2215
2024-04-26,114500,120500,114500,118800,3742456,1,0.5716,1.7931
2024-05-02,118800,121000,117000,120200,2361428,1,0.6349,2.428
2024-05-03,121000,122000,118400,119000,2246552,1,-0.4568,1.9712
2024-05-06,120000,123500,119400,122500,2665860,1,0.5817,2.5529
2024-05-07,122700,125600,122500,122500,2727178,1,0.1538,2.7067
2024-05-08,121000,123500,120400,123500,3335119,1,-0.0554,2.6513
2024-05-09,125000,131000,124500,124800,6911580,1,-0.8616,1.7897
2024-05-10,125000,126100,122800,123800,2906353,1,-0.3864,1.4033
2024-05-13,123800,123900,120000,122600,3381219,1,-1.0561,0.3472
2024-05-14,122500,124600,121200,124300,2483515,1,0.0674,0.4146
2024-05-15,125600,126900,123800,126100,3252103,1,0.8056,1.2202
2024-05-16,127000,128300,125600,126000,2990017,1,-0.0381,1.1821
2024-05-17,126000,127600,125500,126200,2190999,1,-0.4782,0.7039
2024-05-20,127800,127800,124600,124600,3421999,1,-1.3715,-0.6676
2024-05-21,124100,127000,123000,126000,2533041,1,0.2687,-0.3989
2024-05-22,126700,127400,123500,125900,2837967,1,-0.7119,-1.1108
2024-05-23,125500,128900,124800,127600,3353488,1,0.4305,-0.6803
2024-05-24,127500,131500,125000,127000,7243273,1,1.1392,0.4589
2024-05-27,126100,127000,124200,126300,2674173,1,-0.7646,-0.3057
2024-05-28,126500,128000,125500,126900,2318716,1,-0.3476,-0.6533
2024-05-29,127100,130500,125500,126600,3945064,1,-0.6934,-1.3467
2024-05-30,125200,125700,122500,125000,4172767,1,-1.2755,-2.6222
2024-05-31,125000,127000,123900,126000,2223038,1,-0.0196,-2.6418
2024-06-03,125100,126500,121500,125400,6352576,1,-0.6543,-3.2961
2024-06-04,126000,126000,123600,124000,2942929,1,-0.5713,-3.8674
2024-06-05,124000,125100,122700,123000,3246838,1,-0.8407,-4.7081
2024-06-06,123600,123600,120500,120900,5442269,1,-2.3954,-7.1035
2024-06-07,120700,123000,120600,121800,1949258,1,-0.1175,-7.221
2024-06-10,121800,122400,121000,121500,1533872,1,-0.2646,-7.4856
2024-06-11,121800,123700,121500,122000,2777963,1,-0.1679,-7.6535
2024-06-12,122000,123200,121700,123200,1768936,1,-0.2311,-7.8846
2024-06-13,123400,123700,122100,123300,1951584,1,-0.3938,-8.2784
2024-06-14,123300,123600,121700,121700,2937883,1,-0.7516,-9.03
2024-06-17,121700,122400,120300,121500,2214569,1,-0.5968,-9.6268
2024-06-18,121600,130000,121000,130000,13599706,1,4.0604,-5.5664
2024-06-19,131500,132000,127700,128199,3766882,1,-0.2443,-5.8107
2024-06-20,128300,132500,128300,130000,5011150,1,0.3246,-5.4861
2024-06-21,130699,134000,130600,131800,4324288,1,0.4427,-5.0434
2024-06-24,132000,132000,124500,124600,8905054,1,-3.2702,-8.3136
2024-06-25,124500,125500,123000,124700,2919467,1,-0.85,-9.1636
2024-06-26,125000,125300,122000,125000,3670059,1,-1.3399,-10.5035
2024-06-27,124200,125000,123100,123800,1689463,1,-0.1899,-10.6934
2024-06-28,124000,124300,120000,122500,3728303,1,-1.3141,-12.0075
2024-07-01,122000,122600,120100,122000,2815376,1,-0.4179,-12.4254
2024-07-02,122000,123600,120500,123300,1193417,1,0.0006,-12.4248
2024-07-03,123400,126500,122900,124800,2823319,1,0.6252,-11.7996
2024-07-04,125300,126300,123900,125000,1751795,1,-0.0631,-11.8627
2024-07-05,125800,126300,123900,125000,1977596,1,-0.0326,-11.8953
2024-07-09,128199,129500,126800,128000,2414796,1,-0.1875,-12.0828
2024-07-10,128000,129800,125300,126500,3316378,1,-0.5602,-12.643
2024-07-11,127000,127500,125300,126200,1843039,1,-0.5341,-13.1771
2024-07-12,125500,126500,124800,125500,1507192,1,-0.4434,-13.6205
2024-07-15,126000,127600,125000,125400,1705584,1,-0.6444,-14.2649
2024-07-16,125400,125900,123800,125400,1674316,1,-0.7269,-14.9918
2024-07-17,125400,125700,120400,123800,3790841,1,-1.8003,-16.7921
2024-07-18,122700,123000,120700,123000,2526478,1,-0.7173,-17.5094
2024-07-19,122600,123000,121300,121300,1382586,1,-0.5022,-18.0116
2024-07-22,121300,121300,113200,114000,6241819,1,-1.0138,-19.0254
2024-07-23,114000,115200,107000,108400,5582415,1,-1.5094,-20.5348
2024-07-24,106500,112400,106500,110000,3115797,1,0.5051,-20.0297
2024-07-25,109700,111000,108700,111000,1172279,1,-0.126,-20.1557
2024-07-26,111400,113900,111000,113200,2595600,1,-0.034,-20.1897
2024-07-29,114000,114400,112700,113000,1096300,1,-0.0624,-20.2521
2024-07-30,113000,113000,110000,112400,1722200,1,-0.4478,-20.6999
2024-07-31,112900,112900,111000,112000,1343300,1,-0.0864,-20.7863
2024-08-01,111600,111900,105300,106000,3156300,1,-1.0628,-21.8491
2024-08-02,103900,108500,102000,107100,3225100,1,0.2229,-21.6262
2024-08-05,104000,106800,100100,101200,3326700,1,-1.0297,-22.6559
2024-08-06,102000,106000,100000,106000,2451500,1,0.5402,-22.1157
2024-08-07,106900,106900,103500,106000,1543800,1,-0.279,-22.3947
2024-08-08,104700,105400,102500,104000,2029500,1,-0.5963,-22.991
2024-08-09,104700,106600,104100,106500,2029400,1,0.203,-22.788
2024-08-12,106500,110500,104400,108600,2477700,1,0.2109,-22.5771
