t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,56300,57900,55700,57500,3448828,1,0.8957,0.8957
2024-02-16,57800,58100,56900,57100,1307563,1,-0.2693,0.6264
2024-02-19,57300,58000,56700,57300,2198889,1,0.2056,0.832
2024-02-20,57600,57600,56200,56200,2189155,1,-0.7085,0.1235
2024-02-21,56300,57100,56000,56600,1579061,1,-0.145,-0.0215
2024-02-22,56600,56600,55500,56000,1827275,1,-0.7059,-0.7274
2024-02-23,56100,56100,53900,54500,3310579,1,-1.5101,-2.2375
2024-02-26,54100,55200,53700,54800,1770834,1,0.1042,-2.1333
2024-02-27,55300,56000,55000,55500,1842294,1,0.1514,-1.9819
2024-02-28,55600,56500,55100,55400,1496546,1,-0.1104,-2.0923
2024-02-29,55900,56400,55000,55800,1844619,1,-0.1851,-2.2774
2024-03-01,55800,59500,55700,59200,7838668,1,2.2607,-0.0167
2024-03-04,60000,60000,59000,59000,1889052,1,-0.1374,-0.1541
2024-03-05,59000,60500,58900,59200,2929623,1,0.2147,0.0606
2024-03-06,59400,59800,57500,57700,3452787,1,-0.8628,-0.8022
2024-03-07,58100,59000,57800,58000,2821738,1,-0.67,-1.4722
2024-03-08,58800,62000,57600,60300,7268489,1,1.2007,-0.2715
2024-03-11,60900,61700,58700,59300,3344866,1,-0.2583,-0.5298
2024-03-12,59200,63400,59200,63400,5714365,1,0.0465,-0.4833
2024-03-13,64300,66500,63500,65900,4077645,1,0.5389,0.0556
2024-03-14,66000,67400,65099,66100,3325188,1,-0.3072,-0.2516
2024-03-15,65900,69900,65600,69000,3449242,1,0.6027,0.3511
2024-03-18,69100,69500,64200,65099,7972707,1,0.2462,0.5973
2024-03-19,66400,66400,64200,64200,2031359,1,-0.294,0.3033
2024-03-20,64099,66500,64099,65800,2814521,1,0.4266,0.7299
2024-03-21,66400,66500,65099,66300,2467968,1,-0.084,0.6459
2024-03-22,66800,68300,65600,67000,2724753,1,-0.0131,0.6328
2024-03-25,67100,67600,64599,64800,2165515,1,-0.9852,-0.3524
2024-03-26,64800,65500,64500,65099,1794083,1,-0.3421,-0.6945
2024-03-27,65099,66800,65099,65600,1762891,1,0.0905,-0.604
2024-03-28,66600,67400,65800,65800,2227095,1,-0.0387,-0.6427
2024-03-29,66800,68500,66100,66100,2731049,1,0.0131,-0.6296
2024-04-01,66200,67000,65500,65700,1425919,1,-0.1997,-0.8293
2024-04-02,65700,67800,64900,67400,2618143,1,0.1958,-0.6335
2024-04-03,67400,68000,65300,65600,2695146,1,-1.055,-1.6885
2024-04-04,65300,66900,65300,65800,2082961,1,0.0132,-1.6753
2024-04-05,65000,65300,63800,63800,2662700,1,-0.7069,-2.3822
2024-04-08,63500,63900,61200,61200,2429622,1,-0.6942,-3.0764
2024-04-09,61500,63000,61000,62500,1910699,1,0.1681,-2.9083
2024-04-10,62900,63400,62000,62000,1041952,1,-0.1347,-3.043
2024-04-11,61100,63400,61100,62800,1562168,1,0.3536,-2.6894
2024-04-12,63500,63600,62600,63600,959818,1,-0.063,-2.7524
2024-04-15,63500,63800,59200,59200,2375643,1,-0.8214,-3.5738
2024-04-16,58500,59000,55900,59000,3349157,1,-0.2791,-3.8529
2024-04-17,59300,59300,55600,55600,1733565,1,-0.5846,-4.4375
2024-04-19,54500,57000,52300,53500,3239085,1,-0.3719,-4.8094
2024-04-22,54600,56500,54300,56500,1817333,1,0.4633,-4.3461
2024-04-23,56600,56800,54800,55000,1507357,1,-0.6533,-4.9994
2024-04-25,58700,59500,57800,58300,1458461,1,-0.0882,-5.0876
2024-04-26,57300,59900,57300,59000,1666184,1,0.3205,-4.7671
2024-05-02,60000,61000,59300,59300,1558200,1,-0.0562,-4.8233
2024-05-03,59500,59800,58800,59000,1417281,1,-0.1158,-4.9391
2024-05-06,59300,61600,59300,61000,1665651,1,0.3175,-4.6216
2024-05-07,61700,61700,60700,61100,1289882,1,-0.093,-4.7146
2024-05-08,60100,63000,59800,61500,2340724,1,-0.1227,-4.8373
2024-05-09,61800,62500,60500,61300,1565414,1,-0.4583,-5.2956
2024-05-10,61500,61500,59700,60400,1847202,1,-0.6281,-5.9237
2024-05-13,61000,61000,59500,59600,1643654,1,-0.6092,-6.5329
2024-05-14,60200,61300,59800,60900,1778653,1,0.2886,-6.2443
2024-05-15,61200,62800,60700,61800,2377126,1,-0.0138,-6.2581
2024-05-16,62900,62900,61400,61800,1961933,1,-0.4741,-6.7322
2024-05-17,62000,64200,61600,64000,3864096,1,0.6769,-6.0553
2024-05-20,64000,64500,63000,64000,2170338,1,-0.4573,-6.5126
2024-05-21,63500,65000,63300,64800,2248599,1,-0.3137,-6.8263
2024-05-22,65099,65099,63100,63800,2166087,1,-0.718,-7.5443
2024-05-23,63600,64200,62800,63900,2018732,1,-0.1018,-7.6461
2024-05-24,63500,65600,60000,63000,4019246,1,-0.4848,-8.1309
2024-05-27,63200,63500,61800,62900,1064119,1,-0.2362,-8.3671
2024-05-28,63200,64800,63100,64500,2495256,1,0.2833,-8.0838
2024-05-29,64599,65000,63100,63600,1881923,1,-0.5225,-8.6063
2024-05-30,62600,63900,61500,63900,2217577,1,-0.2109,-8.8172
2024-05-31,64000,66400,63600,65000,4468736,1,0.4998,-8.3174
2024-06-03,65800,65800,64599,64599,1336576,1,-0.1669,-8.4843
2024-06-04,65000,65200,64300,64400,1576808,1,-0.1547,-8.639
2024-06-05,64500,65099,63600,63600,1605786,1,-0.2312,-8.8702
2024-06-06,63900,64500,63100,63700,1492383,1,-0.0991,-8.9693
2024-06-07,64000,64800,63700,64500,1262174,1,0.1368,-8.8325
2024-06-10,64900,65800,64099,64400,1613086,1,0.0889,-8.7436
2024-06-11,64599,65000,63500,64300,1635244,1,-0.4442,-9.1878
2024-06-12,64500,66500,64200,66000,3333176,1,0.7613,-8.4265
2024-06-13,66600,66600,65300,65500,1094788,1,-0.3962,-8.8227
2024-06-14,65500,66400,63100,63100,2968654,1,-0.6903,-9.513
2024-06-17,63200,63600,61900,62000,2163209,1,-0.7702,-10.2832
2024-06-18,62400,62900,62100,62100,1313905,1,-0.0406,-10.3238
2024-06-19,62100,63200,62000,62500,1217303,1,-0.0541,-10.3779
2024-06-20,62900,63100,62100,62900,1074803,1,-0.2515,-10.6294
2024-06-21,63300,64800,62600,63800,1884355,1,0.2167,-10.4127
2024-06-24,63700,64000,60800,60800,2320606,1,-1.0039,-11.4166
2024-06-25,60800,61700,60200,61100,1491644,1,-0.2363,-11.6529
2024-06-26,61200,62100,60500,61900,719305,1,-0.0608,-11.7137
