t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,27500,27700,27250,27700,16424978,1,0.3986,0.3986
2024-02-16,28000,28400,27800,27850,25687604,1,1.7433,2.1419
2024-02-19,27900,27900,27400,27600,19157373,1,-4.4691,-2.3272
2024-02-20,27700,27950,27400,27500,15940258,1,-1.7722,-4.0994
2024-02-21,27500,27650,27050,27200,20441720,1,-5.4935,-9.5929
2024-02-22,27200,27300,27000,27000,12820100,1,-3.2634,-12.8563
2024-02-23,27100,27100,26000,26150,27793376,1,-9.0467,-21.903
2024-02-26,26200,26550,26000,26450,13356576,1,0.9434,-20.9596
2024-02-27,26600,27350,26450,27350,18917985,1,6.1677,-14.7919
2024-02-28,27500,27500,26850,27000,13617747,1,-3.405,-18.1969
2024-02-29,27100,27800,27000,27300,28072821,1,4.2087,-13.9882
2024-03-01,27500,27700,27300,27550,13417548,1,0.3494,-13.6388
2024-03-04,27950,28800,27950,28100,49288376,1,8.1846,-5.4542
2024-03-05,28150,28300,27700,27850,19136833,1,-5.5621,-11.0163
2024-03-06,27850,27950,27100,27150,23829467,1,-8.041,-19.0573
2024-03-07,27100,27500,26700,27350,28918769,1,-2.9469,-22.0042
2024-03-08,27500,27550,26550,26550,32136467,1,-12.421,-34.4252
2024-03-11,26550,26800,26050,26200,18547476,1,-5.2403,-39.6655
2024-03-12,26250,26650,26100,26350,13978956,1,-0.9055,-40.571
2024-03-13,26550,27000,26350,27000,14825580,1,0.6316,-39.9394
2024-03-14,27300,27800,27000,27500,35289924,1,6.3738,-33.5656
2024-03-15,27650,29000,27550,28500,69906552,1,15.5081,-18.0575
2024-03-18,28900,30450,28800,30450,78958676,1,17.0248,-1.0327
2024-03-19,30950,30950,29900,29900,28348458,1,-3.1,-4.1327
2024-03-20,29850,30800,29550,30400,29510046,1,1.1003,-3.0324
2024-03-21,30900,32100,29900,31700,44830237,1,4.4667,1.4343
2024-03-22,32000,32299,31050,31950,24613567,1,-4.9338,-3.4995
2024-03-25,31850,33000,31700,32000,25557439,1,-0.8286,-4.3281
2024-03-26,31800,32650,31400,31950,17278198,1,-0.0223,-4.3504
2024-03-27,32049,33500,31750,32750,22471890,1,2.9386,-1.4118
2024-03-28,33000,33100,32650,32700,12625296,1,-2.2853,-3.6971
2024-03-29,32700,32800,32049,32200,16893726,1,-2.5814,-6.2785
2024-04-01,32200,33900,32150,33500,26754128,1,4.4366,-1.8419
2024-04-02,33150,33800,32700,33600,18678744,1,-1.9837,-3.8256
2024-04-03,33500,33500,31800,31800,27596680,1,-9.0967,-12.9223
2024-04-04,32200,33400,31700,32200,31937939,1,1.9265,-10.9958
2024-04-05,31750,32950,31600,32000,24880007,1,2.8855,-8.1103
2024-04-08,32000,32650,31800,32100,17981037,1,1.2278,-6.8825
2024-04-09,32150,32950,31800,32950,17307433,1,0.5138,-6.3687
2024-04-10,32950,33100,32299,32299,16986888,1,-4.0665,-10.4352
2024-04-11,31850,33300,31850,33000,22058403,1,4.8169,-5.6183
2024-04-12,33200,33950,33100,33600,23398925,1,1.7927,-3.8256
2024-04-15,33350,33650,31250,31250,35683438,1,-13.6549,-17.4805
2024-04-16,30950,31000,29250,30100,45689448,1,-10.7484,-28.2289
2024-04-17,30300,30450,28800,28800,26646644,1,-9.0109,-37.2398
2024-04-19,28000,29000,27050,27400,38948921,1,-1.6539,-38.8937
2024-04-22,28200,28450,27500,28100,18536622,1,0.4735,-38.4202
