t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,34100,34300,33900,34000,2085097,1,-0.4379,-0.4379
2024-02-16,34000,34350,33850,34100,2531438,1,0.1628,-0.2751
2024-02-19,34150,35500,34000,34950,5089030,1,0.5885,0.3134
2024-02-20,35050,35050,34600,34750,1795465,1,-0.3014,0.012
2024-02-21,34750,35350,34650,35000,3143663,1,-0.3056,-0.2936
2024-02-22,35000,35100,34500,34600,1893652,1,-0.8414,-1.135
2024-02-23,34600,34850,33500,33600,4011425,1,-2.1716,-3.3066
2024-02-26,33800,34500,33350,34250,1816011,1,0.2388,-3.0678
2024-02-27,34350,34600,34200,34550,1813317,1,-0.1615,-3.2293
2024-02-28,34900,35650,34550,34900,5366040,1,0.1673,-3.062
2024-02-29,35300,35300,34600,34750,1756410,1,-0.6286,-3.6906
2024-03-01,34750,35300,34550,35100,2764876,1,-0.2266,-3.9172
2024-03-04,35500,35500,34950,35200,3268278,1,-0.676,-4.5932
2024-03-05,35200,35800,35100,35300,2972088,1,0.4391,-4.1541
2024-03-06,35300,35350,34700,34850,2396938,1,-1.3975,-5.5516
2024-03-07,35000,35950,34700,35400,4299649,1,0.7271,-4.8245
2024-03-08,35500,36200,35250,35500,5499352,1,0.6424,-4.1821
2024-03-11,35600,36300,35300,35950,4380624,1,0.2437,-3.9384
2024-03-12,35950,35950,35450,35500,2795310,1,-0.6606,-4.599
2024-03-13,35700,37450,35500,36800,8413090,1,1.7216,-2.8774
2024-03-14,37000,37000,36200,36400,4982031,1,-1.8597,-4.7371
2024-03-15,36400,36950,35800,36400,3198215,1,-1.021,-5.7581
2024-03-18,36600,36700,34000,34750,7125601,1,-2.4815,-8.2396
2024-03-19,34800,35200,34550,34800,1735564,1,-0.4367,-8.6763
2024-03-20,34850,35150,34750,35150,1420212,1,0.081,-8.5953
2024-03-21,35500,35550,35150,35500,2198253,1,-0.4016,-8.9969
2024-03-22,35600,35750,35150,35500,2543800,1,-0.5089,-9.5058
2024-03-25,35700,36050,35000,35200,2795325,1,-0.5578,-10.0636
2024-03-26,35300,36000,34600,36000,1935634,1,0.288,-9.7756
2024-03-27,36050,36150,35750,35850,1712981,1,0.096,-9.6796
2024-03-28,36000,36550,35650,36250,3378696,1,0.141,-9.5386
2024-03-29,36350,36450,35800,35800,2088945,1,-0.7902,-10.3288
2024-04-01,35900,36100,35300,35550,3237495,1,-0.8604,-11.1892
2024-04-02,35550,35800,35000,35800,2845726,1,-0.3954,-11.5846
2024-04-03,35900,37400,35900,36500,10331943,1,-0.0024,-11.587
2024-04-04,36800,36900,36100,36150,2582490,1,-0.6175,-12.2045
2024-04-05,35900,36100,35400,35400,2740742,1,-0.5164,-12.7209
2024-04-08,35400,35500,34700,34700,3061263,1,-1.2719,-13.9928
2024-04-09,34800,35150,34600,35150,1689415,1,-0.3792,-14.372
2024-04-10,35400,35400,34700,34700,1881670,1,-0.7685,-15.1405
2024-04-11,34450,34700,34300,34450,1797739,1,-0.0413,-15.1818
2024-04-12,34500,34750,34400,34700,1782452,1,0.3333,-14.8485
2024-04-15,34800,35400,32400,32400,3413950,1,-0.5366,-15.3851
2024-04-16,32500,33000,32000,32750,2870109,1,-0.9726,-16.3577
2024-04-17,33000,33150,32500,32500,1431030,1,-0.5464,-16.9041
2024-04-19,32049,32200,31050,31200,2936010,1,-0.6738,-17.5779
2024-04-22,32000,32000,31400,31600,1096783,1,-0.1432,-17.7211
2024-04-23,31600,31950,31150,31300,865581,1,-0.4713,-18.1924
2024-04-25,31950,31950,31250,31250,1760877,1,-1.0635,-19.2559
2024-04-26,31250,31650,31150,31600,1356067,1,-0.1859,-19.4418
2024-05-02,31900,32650,31600,32549,1796391,1,0.2189,-19.2229
2024-05-03,32900,32950,32100,32350,984278,1,-0.264,-19.4869
2024-05-06,32500,33250,32500,33250,1562735,1,0.51,-18.9769
2024-05-07,33400,33950,33200,33550,1916212,1,0.0267,-18.9502
2024-05-08,33150,34400,33000,34100,2625250,1,0.7358,-18.2144
2024-05-09,34400,34600,33750,33900,2594345,1,-0.6278,-18.8422
2024-05-10,33850,33900,33400,33900,1669305,1,-0.551,-19.3932
2024-05-13,33900,33900,33150,33400,1345506,1,-0.4362,-19.8294
2024-05-14,33500,33700,33200,33700,1185282,1,-0.4002,-20.2296
2024-05-15,33950,34800,33750,34700,4025185,1,1.665,-18.5646
2024-05-16,34800,35300,34550,35000,2744468,1,0.2273,-18.3373
2024-05-17,35000,35300,34850,35100,2587790,1,0.0709,-18.2664
2024-05-20,35400,35900,34950,35050,3332998,1,-0.9826,-19.249
2024-05-21,35100,36600,34800,35850,5577781,1,1.4536,-17.7954
2024-05-22,36300,36300,35750,36000,3421850,1,-0.4658,-18.2612
2024-05-23,36000,37300,35800,37000,5438575,1,1.0269,-17.2343
2024-05-24,36650,36850,34900,35550,5485670,1,-2.3164,-19.5507
2024-05-27,35550,36700,35400,36200,2143042,1,0.5058,-19.0449
2024-05-28,36200,36500,36000,36200,2492988,1,-0.2042,-19.2491
2024-05-29,36300,37100,36050,36400,4196399,1,-0.4046,-19.6537
2024-05-30,35900,36300,35550,36000,2582553,1,-0.8039,-20.4576
2024-05-31,35800,36400,35800,36000,1437287,1,0.0167,-20.4409
2024-06-03,36400,38500,36150,38500,13773093,1,-0.1822,-20.6231
2024-06-04,38900,39400,38500,38600,5154952,1,0.0867,-20.5364
2024-06-05,38800,39150,38500,38850,5928795,1,-0.1375,-20.6739
2024-06-06,39000,39200,38000,38500,5551787,1,-1.1102,-21.7841
2024-06-07,38650,39950,38500,38950,5795828,1,0.4213,-21.3628
2024-06-10,38900,39100,38400,38800,3967572,1,-0.8362,-22.199
2024-06-11,39050,39650,38750,39000,5529942,1,0.3919,-21.8071
2024-06-12,39000,39300,38550,38850,3572856,1,-1.3683,-23.1754
2024-06-13,39050,39400,38700,38800,4062725,1,-0.8965,-24.0719
2024-06-14,38800,39200,36800,36800,8171111,1,-2.9639,-27.0358
2024-06-17,36800,37700,36700,37300,4131834,1,-0.2025,-27.2383
2024-06-18,37900,38000,37300,37400,3375969,1,-0.1951,-27.4334
2024-06-19,37500,39050,37450,37750,5527926,1,-0.0354,-27.4688
2024-06-20,37800,38000,36900,37300,3531227,1,-0.9491,-28.4179
2024-06-21,37600,38100,37300,37350,3415159,1,-0.2248,-28.6427
2024-06-24,37200,37500,35500,35650,5454811,1,-2.1321,-30.7748
2024-06-25,35850,36400,35400,36400,2435463,1,0.0765,-30.6983
2024-06-26,36500,36800,35800,36800,2029784,1,-0.0562,-30.7545
2024-06-27,36800,37900,36700,37000,2676820,1,0.104,-30.6505
2024-06-28,37000,37050,35800,36100,2903828,1,-1.0398,-31.6903
2024-07-01,36200,36300,35700,36200,1247660,1,-0.4064,-32.0967
2024-07-02,36500,37200,36400,36400,1656786,1,0.0052,-32.0915
2024-07-03,36800,37450,36400,37050,2436570,1,0.3323,-31.7592
2024-07-04,37300,37350,36450,37000,2018307,1,-0.1358,-31.895
2024-07-05,37050,37700,37050,37450,4337058,1,-0.029,-31.924
2024-07-09,39100,39500,38450,38500,5047666,1,-0.8505,-32.7745
2024-07-10,38700,39150,37950,37950,6045939,1,-1.5126,-34.2871
2024-07-11,38400,38400,37200,37350,4765035,1,-1.8881,-36.1752
2024-07-12,37350,37800,37200,37450,2012620,1,-0.3414,-36.5166
2024-07-15,37600,38050,37400,37550,1728131,1,-0.6185,-37.1351
2024-07-16,37600,37700,37000,37050,2151545,1,-0.9894,-38.1245
2024-07-17,37300,37300,34500,35200,6823726,1,-2.9523,-41.0768
2024-07-18,35500,35900,35100,35900,2463297,1,-0.7393,-41.8161
2024-07-19,35900,36200,35250,35500,1620232,1,-0.6675,-42.4836
2024-07-22,35500,35500,34600,34800,2924811,1,-0.7768,-43.2604
2024-07-23,34850,35200,34550,34550,1666526,1,-0.611,-43.8714
2024-07-24,34300,35400,34000,34800,2400360,1,-0.2348,-44.1062
2024-07-25,34850,35000,34400,35000,664785,1,-0.1201,-44.2263
2024-07-26,34950,35400,34950,35300,908700,1,-0.0888,-44.3151
2024-07-29,35400,36200,35400,35950,2305200,1,0.3861,-43.929
2024-07-30,36100,36100,35350,35450,1123700,1,-0.2976,-44.2266
2024-07-31,35550,35900,35150,35300,1484200,1,-0.2817,-44.5083
2024-08-01,35650,35850,34200,34450,3896300,1,-1.6392,-46.1475
2024-08-02,34200,35000,34000,35000,1593900,1,-0.2465,-46.394
