t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,34600,35000,33500,33950,891380,1,-0.1874,-0.1874
2024-02-16,34150,35300,34100,34950,889771,1,0.0883,-0.0991
2024-02-19,35200,35800,34800,34850,1207075,1,-0.3327,-0.4318
2024-02-20,34800,35000,34250,34650,663238,1,-0.1968,-0.6286
2024-02-21,34800,34950,34300,34900,345619,1,0.0505,-0.5781
2024-02-22,35300,35750,34750,34750,668664,1,-0.0905,-0.6686
2024-02-23,35000,35000,34000,34000,687962,1,-0.182,-0.8506
2024-02-26,34000,34450,33900,34100,491742,1,0.029,-0.8216
2024-02-27,34600,34850,34100,34800,538929,1,-0.0132,-0.8348
2024-02-28,34950,35850,34900,35200,1157831,1,-0.1552,-0.99
2024-02-29,35450,35500,34600,34800,554076,1,-0.0815,-1.0715
2024-03-01,34850,35350,34700,35200,591731,1,-0.0176,-1.0891
2024-03-04,35700,35700,34900,35000,631740,1,-0.1482,-1.2373
2024-03-05,34900,35000,34400,34600,396042,1,-0.167,-1.4043
2024-03-06,34700,34950,34250,34350,386107,1,-0.1158,-1.5201
2024-03-07,34400,34400,33950,34100,643206,1,-0.2265,-1.7466
2024-03-08,34300,34700,33750,34100,503839,1,-0.0353,-1.7819
2024-03-11,34150,35600,34150,34600,913832,1,0.104,-1.6779
2024-03-12,34600,37000,34600,37000,3566284,1,0.2436,-1.4343
2024-03-13,38000,38500,37800,38300,1746551,1,0.1203,-1.314
2024-03-14,38400,40350,38300,39450,2230315,1,-0.1916,-1.5056
2024-03-15,39500,41000,38750,40600,1952078,1,0.1489,-1.3567
2024-03-18,40950,40950,37800,39500,2405494,1,-0.6565,-2.0132
2024-03-19,39750,40850,39100,40000,1221514,1,0.1986,-1.8146
2024-03-20,40000,40050,39200,39700,652938,1,-0.0741,-1.8887
2024-03-21,40000,40900,39700,40450,979831,1,0.1826,-1.7061
2024-03-22,40500,40500,39600,39800,1435807,1,-0.5674,-2.2735
2024-03-25,39900,40600,39250,39550,903507,1,-0.2618,-2.5353
2024-03-26,39600,42300,39400,42300,1844579,1,0.7804,-1.7549
2024-03-27,43000,43400,42350,43400,915982,1,-0.0109,-1.7658
2024-03-28,43600,43600,42450,43000,687230,1,-0.1862,-1.952
2024-03-29,43000,43500,42400,42600,867494,1,-0.123,-2.075
2024-04-01,42400,42950,41900,42450,987164,1,-0.1643,-2.2393
2024-04-02,42400,44150,42000,43950,1305219,1,0.4459,-1.7934
2024-04-03,43900,43900,42500,42650,874082,1,-0.2626,-2.056
2024-04-04,42550,43250,42200,42500,1030776,1,-0.1174,-2.1734
2024-04-05,41950,42400,39550,39550,1925515,1,-0.5175,-2.6909
2024-04-08,39700,40500,39150,39500,869420,1,-0.0914,-2.7823
2024-04-09,40350,40500,39500,40500,632692,1,0.1202,-2.6621
2024-04-10,40550,40600,39950,40000,607016,1,-0.2941,-2.9562
2024-04-11,39250,40150,39250,39700,570579,1,-0.0276,-2.9838
2024-04-12,39700,40300,39600,40300,381556,1,0.0849,-2.8989
2024-04-15,40200,40950,37500,37550,1311584,1,-0.3757,-3.2746
2024-04-16,37550,38050,36300,38050,903337,1,-0.0247,-3.2993
2024-04-17,38050,38150,36500,36500,697398,1,-0.2018,-3.5011
2024-04-19,35800,37000,35100,35600,811917,1,-0.129,-3.6301
2024-04-22,38000,38000,36000,36500,474012,1,0.1636,-3.4665
2024-04-23,36750,36750,35700,35800,435034,1,-0.1146,-3.5811
2024-04-25,37650,37800,36900,37200,360076,1,-0.0569,-3.638
2024-04-26,36850,37700,36850,37200,396958,1,-0.1031,-3.7411
2024-05-02,37700,38550,37600,38250,752758,1,0.0879,-3.6532
2024-05-03,38500,38750,38250,38600,469954,1,-0.0268,-3.68
2024-05-06,38800,39900,38600,39200,585621,1,0.0757,-3.6043
2024-05-07,39250,39800,39100,39350,461922,1,-0.0528,-3.6571
2024-05-08,39200,40200,38600,39700,540853,1,0.0302,-3.6269
