t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,30920,32049,30870,31360,1686021,1,0.0451,0.0451
2024-02-16,32340,32340,31020,31360,845880,1,-0.1296,-0.0845
2024-02-19,31310,31560,30870,31020,828178,1,-0.2052,-0.2897
2024-02-20,30970,31760,30630,30970,1154139,1,-0.4366,-0.7263
2024-02-21,30970,32439,30480,32290,2475247,1,0.5982,-0.1281
2024-02-22,32540,32540,31760,31800,975574,1,-0.3526,-0.4807
2024-02-23,32200,32200,30580,31360,1644999,1,-0.66,-1.1407
2024-02-26,31360,31660,30780,31660,969993,1,-0.0419,-1.1826
2024-02-27,31850,32830,31760,32290,1666885,1,0.2011,-0.9815
2024-02-28,32250,32250,31560,31760,906451,1,-0.3705,-1.352
2024-02-29,31850,32150,31170,32150,744794,1,-0.3431,-1.6951
2024-03-01,32150,32740,31950,32049,901003,1,-0.0375,-1.7326
2024-03-04,32000,32250,31760,31900,963469,1,-0.2691,-2.0017
2024-03-05,31850,31850,31510,31850,781260,1,-0.2784,-2.2801
2024-03-06,31850,32250,31310,31410,703321,1,-0.2671,-2.5472
2024-03-07,31360,32150,31220,31800,876981,1,-0.0933,-2.6405
2024-03-08,31850,34010,31360,33620,4099232,1,1.028,-1.6125
2024-03-11,33620,33810,33080,33230,1360602,1,0.3232,-1.2893
2024-03-12,33080,34700,32780,32780,2603632,1,-0.4052,-1.6945
2024-03-13,32780,34010,31900,33320,4750318,1,-0.456,-2.1505
2024-03-14,33720,33910,32830,33130,1383196,1,-0.3973,-2.5478
2024-03-15,33130,33960,32880,33570,2946169,1,0.2073,-2.3405
2024-03-18,33520,33810,31270,32250,2237188,1,-0.786,-3.1265
2024-03-19,32250,32590,31560,31850,1108429,1,-0.492,-3.6185
2024-03-20,31710,32000,30970,32000,1489620,1,-0.4669,-4.0854
2024-03-21,32000,32439,31760,32340,940209,1,-0.2049,-4.2903
2024-03-22,32740,32740,31610,31710,1649469,1,-0.6172,-4.9075
2024-03-25,31710,31800,31070,31270,1270583,1,-0.6562,-5.5637
2024-03-26,31310,32150,31170,32150,1285022,1,-0.2039,-5.7676
2024-03-27,32150,32250,31800,31950,1006805,1,-0.3502,-6.1178
2024-03-28,32200,32250,31510,31850,753495,1,-0.2886,-6.4064
2024-03-29,32049,33810,31900,32830,4584203,1,0.6038,-5.8026
2024-04-01,32640,33270,32490,32830,1071465,1,-0.1944,-5.997
2024-04-02,32740,35090,32390,35090,5102101,1,1.7892,-4.2078
2024-04-03,35090,35190,33960,33960,2421816,1,-0.4345,-4.6423
2024-04-04,34110,34210,33320,33420,1968587,1,-0.4526,-5.0949
2024-04-05,32880,32980,31120,31120,6670596,1,-3.0417,-8.1366
2024-04-08,30870,30920,29350,29700,2798941,1,-0.7244,-8.861
2024-04-09,29700,30530,29400,30330,1434292,1,-0.0358,-8.8968
2024-04-10,30330,30380,29500,29500,918764,1,-0.4217,-9.3185
2024-04-11,29010,30190,28420,29840,1147927,1,-0.1719,-9.4904
2024-04-12,29990,30190,29550,30190,576892,1,0.0055,-9.4849
2024-04-15,29890,30090,28130,28230,1743614,1,-0.8626,-10.3475
2024-04-16,28230,29210,27640,29060,1880584,1,0.1492,-10.1983
2024-04-17,29210,29500,28620,28770,692580,1,-0.0337,-10.232
2024-04-19,28320,28810,27490,28420,1353336,1,-0.5195,-10.7515
2024-04-22,28810,28910,28420,28670,453400,1,-0.0249,-10.7764
2024-04-23,28420,28720,27980,28470,407086,1,-0.0778,-10.8542
2024-04-25,29600,29600,28520,29110,563731,1,-0.1781,-11.0323
2024-04-26,28670,29260,28670,28860,464848,1,-0.0162,-11.0485
2024-05-02,29400,29700,28910,29450,571548,1,-0.0035,-11.052
2024-05-03,29550,30040,29450,29600,750274,1,-0.1378,-11.1898
2024-05-06,30040,31070,29800,30820,1412116,1,0.4603,-10.7295
2024-05-07,30870,31360,30480,31360,1080118,1,0.1294,-10.6001
2024-05-08,30630,31560,30630,31560,1084070,1,-0.0675,-10.6676
2024-05-09,31610,31800,30970,31270,944842,1,-0.1895,-10.8571
2024-05-10,31270,31310,30730,31270,567822,1,-0.198,-11.0551
2024-05-13,31410,31610,31070,31360,621484,1,-0.1137,-11.1688
2024-05-14,31020,32439,31020,32250,1354764,1,0.2927,-10.8761
2024-05-15,32340,33270,32100,33030,1575373,1,0.3786,-10.4975
2024-05-16,33320,33370,32250,32830,2083467,1,-0.547,-11.0445
2024-05-17,32439,33370,32250,32740,1870049,1,-0.1457,-11.1902
2024-05-20,33320,33320,32340,32830,1052115,1,-0.0002,-11.1904
2024-05-21,32830,33420,32439,33420,1764525,1,0.1838,-11.0066
2024-05-22,34110,34300,32740,32980,2277529,1,-0.5543,-11.5609
2024-05-23,32740,33130,32540,32930,951293,1,-0.0659,-11.6268
2024-05-24,32980,34110,32439,32740,2820972,1,-0.0421,-11.6689
2024-05-27,32780,33860,32340,33320,1121624,1,0.035,-11.6339
2024-05-28,33620,33620,32880,33230,1074558,1,-0.2954,-11.9293
2024-05-29,33620,34010,32439,32830,1944355,1,-0.2775,-12.2068
2024-05-30,32540,33270,31560,33270,1985840,1,-0.5735,-12.7803
2024-05-31,32930,33270,32540,32780,692561,1,-0.0011,-12.7814
2024-06-03,32880,34110,32689,34110,2405282,1,0.3101,-12.4713
2024-06-04,34110,35090,34110,34700,2676749,1,0.4789,-11.9924
2024-06-05,34700,34790,33910,34600,1187875,1,-0.468,-12.4604
2024-06-06,34210,34400,33720,34400,1147805,1,-0.2756,-12.736
2024-06-07,34500,34500,33960,34400,685595,1,0.0843,-12.6517
2024-06-10,34400,35500,34150,35350,1790817,1,0.4153,-12.2364
2024-06-11,35550,35550,34700,35100,781585,1,-0.0669,-12.3033
2024-06-12,34700,35100,34450,35100,797089,1,-0.0706,-12.3739
2024-06-13,35200,35200,34650,34850,754137,1,-0.0315,-12.4054
2024-06-14,34850,34850,33800,34200,1569741,1,-0.6519,-13.0573
2024-06-17,33900,34000,33300,33300,844441,1,-0.3377,-13.395
2024-06-18,33300,34000,33300,33800,378129,1,0.0202,-13.3748
2024-06-19,33800,34000,33300,33800,329494,1,-0.1418,-13.5166
2024-06-20,33600,34500,33600,34000,526797,1,0.0024,-13.5142
2024-06-21,34000,34500,33800,34350,438331,1,-0.0326,-13.5468
2024-06-24,34500,35450,33950,34950,2404545,1,0.6324,-12.9144
2024-06-25,35000,35300,34650,35000,576545,1,-0.0941,-13.0085
2024-06-26,35150,37450,35100,37450,6778345,1,0.2567,-12.7518
2024-06-27,37900,38150,36600,36600,1478351,1,0.1842,-12.5676
2024-06-28,36300,36950,34050,34050,6158347,1,-0.4813,-13.0489
2024-07-01,33750,34500,33150,34200,1786975,1,-0.5118,-13.5607
2024-07-02,34200,34500,33900,34200,865101,1,-0.1552,-13.7159
2024-07-03,34150,35100,34050,35000,1757406,1,0.336,-13.3799
2024-07-04,35000,36100,34600,36000,2136918,1,0.3905,-12.9894
2024-07-05,35650,36000,35300,36000,1096106,1,-0.1098,-13.0992
2024-07-09,36350,37100,36350,36500,1524911,1,0.1939,-12.9053
2024-07-10,36600,36900,35750,36000,1136017,1,-0.4635,-13.3688
2024-07-11,35900,36000,35150,36000,1349389,1,-0.7518,-14.1206
2024-07-12,35950,36350,35200,35800,764296,1,-0.0341,-14.1547
2024-07-15,36000,36800,36000,36500,823366,1,-0.0186,-14.1733
2024-07-16,36500,36700,35600,36200,837635,1,-0.3688,-14.5421
2024-07-17,36200,36200,33700,33850,1966873,1,-1.0176,-15.5597
2024-07-18,33950,35500,33950,35500,1317910,1,0.0251,-15.5346
2024-07-19,35500,35750,34700,35400,705737,1,-0.179,-15.7136
2024-07-22,35300,35300,34000,34350,960974,1,-0.1613,-15.8749
2024-07-23,34550,34600,33050,34000,884827,1,-0.5341,-16.409
2024-07-24,33550,34400,32900,34350,862893,1,-0.1904,-16.5994
2024-07-25,34200,34450,33750,34450,292286,1,-0.0137,-16.6131
2024-07-26,34500,34550,34250,34500,242500,1,-0.0204,-16.6335
2024-07-29,34500,34950,34450,34750,446100,1,0.0441,-16.5894
2024-07-30,34750,35400,34650,35000,779000,1,0.118,-16.4714
2024-07-31,34850,35100,34050,34900,478600,1,-0.1576,-16.629
2024-08-01,34900,34900,32950,33800,943800,1,-0.5789,-17.2079
2024-08-02,33000,33900,33000,33900,499000,1,-0.2315,-17.4394
2024-08-05,33200,33400,31700,31850,902100,1,-0.4041,-17.8435
2024-08-06,31900,32500,31250,32299,417500,1,0.0046,-17.8389
2024-08-07,32650,32700,31900,32100,289400,1,-0.0007,-17.8396
2024-08-08,32100,32299,31500,32000,313300,1,-0.0595,-17.8991
2024-08-09,32100,33050,32049,32950,348400,1,0.131,-17.7681
