t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-16,4800,4850,4750,4850,1147474,1,-0.284,-5.6425
2024-02-19,4870,4950,4840,4930,1237433,1,0.1056,-7.6083
2024-02-20,4930,4970,4870,4920,718893,1,-0.2502,-1.6709
2024-02-21,4950,4950,4830,4850,881602,1,-0.2952,-6.4577
2024-02-23,4980,4980,4700,4750,1251099,1,-0.4458,-3.8547
2024-02-26,4740,4790,4730,4760,956267,1,-0.2148,-2.6294
2024-02-28,4770,4800,4720,4740,768167,1,-0.3031,-6.7634
2024-02-29,4730,4760,4700,4720,1374746,1,-0.2897,-1.1683
2024-03-01,4720,4790,4700,4780,951491,1,-0.1283,-2.0621
2024-03-04,4780,4880,4780,4800,983705,1,-0.2721,-4.2331
2024-03-06,4810,4880,4790,4820,1436113,1,-0.061,-6.4603
2024-03-07,4840,4840,4790,4830,785252,1,-0.1248,-0.4658
2024-03-08,4840,4860,4750,4760,1125267,1,-0.282,-2.4146
2024-03-11,4740,4760,4670,4690,789022,1,-0.4037,-4.3972
2024-03-12,4660,4710,4650,4660,693475,1,-0.246,-1.2815
2024-03-13,4680,4750,4660,4700,657285,1,0.0365,-6.4963
2024-03-14,4710,4750,4660,4700,842637,1,-0.2032,-3.1797
2024-03-18,4750,4900,4650,4790,1678585,1,0.3592,-4.2643
2024-03-19,4880,4880,4730,4750,689895,1,-0.1423,-7.7506
2024-03-20,4750,4800,4700,4730,663542,1,-0.0239,-1.6948
2024-03-21,4760,4880,4750,4880,1869506,1,0.2389,-6.1625
2024-03-25,4890,5140,4800,5030,2885540,1,0.5278,-1.2126
2024-03-26,4980,5080,4960,5040,1253996,1,-0.1128,-2.7422
2024-03-28,5060,5120,4940,4980,1798020,1,-0.3604,-7.1238
2024-03-29,4990,4990,4830,4870,1491960,1,-0.2753,-0.8786
2024-04-01,4880,5000,4860,4910,807722,1,-0.0456,-1.7404
2024-04-02,4960,4960,4850,4950,927311,1,-0.102,-3.0091
2024-04-04,4850,4860,4750,4760,1581809,1,-0.3239,-1.6054
2024-04-05,4720,4940,4690,4800,1810062,1,0.0345,-6.5328
2024-04-08,4820,4830,4750,4760,424272,1,-0.0398,-1.4674
2024-04-09,4760,4800,4670,4730,797741,1,-0.2254,-5.7243
2024-04-10,4750,4780,4680,4690,830381,1,-0.26,-6.7563
2024-04-11,4690,4690,4600,4640,789396,1,-0.1375,-0.6033
2024-04-12,4640,4660,4350,4400,3720350,1,-0.6735,-4.9066
2024-04-15,4400,4400,4100,4100,2620146,1,-1.2192,-5.5641
