t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,18600,18800,18450,18700,6617465,1,1.0543,1.0543
2024-02-16,18800,19200,18800,18950,13950890,1,1.1717,2.226
2024-02-19,19050,19050,18700,18800,7337970,1,-1.2289,0.9971
2024-02-20,18900,19100,18700,18950,14052998,1,1.3765,2.3736
2024-02-21,19050,19050,18700,18750,7743917,1,-1.648,0.7256
2024-02-22,18850,18850,18500,18500,7652766,1,-3.1344,-2.4088
2024-02-23,18500,18600,18000,18050,14315852,1,-5.4606,-7.8694
2024-02-26,18100,18150,17650,17850,9103867,1,-1.8319,-9.7013
2024-02-27,18000,18300,17800,18200,11256298,1,1.9443,-7.757
2024-02-28,18300,18350,18000,18050,6991057,1,-2.0632,-9.8202
2024-02-29,18150,18400,18050,18250,13445107,1,0.3576,-9.4626
2024-03-01,18300,18500,18150,18450,9357305,1,0.9687,-8.4939
2024-03-04,18600,18950,18600,18650,15827577,1,4.2561,-4.2378
2024-03-05,18700,18700,18400,18550,8084566,1,-2.673,-6.9108
2024-03-06,18500,18550,18100,18150,10456836,1,-3.945,-10.8558
2024-03-07,18150,18400,18000,18350,10828169,1,-1.972,-12.8278
2024-03-08,18350,18450,18000,18050,15195088,1,-6.984,-19.8118
2024-03-11,18050,18100,17750,17750,9533074,1,-3.2954,-23.1072
2024-03-12,17500,17800,17300,17500,12977093,1,-3.2971,-26.4043
2024-03-13,17500,18200,17500,18150,10319640,1,0.0783,-26.326
2024-03-14,18200,18400,17900,18100,12210401,1,-1.3771,-27.7031
2024-03-15,18100,18850,18100,18300,29154991,1,2.1425,-25.5606
2024-03-18,18450,19300,18200,19000,36229129,1,5.9138,-19.6468
2024-03-19,19200,19300,18500,18500,11656444,1,-1.0624,-20.7092
2024-03-20,18600,18800,18350,18750,12382663,1,0.4897,-20.2195
2024-03-21,18950,19550,18650,19500,38173516,1,12.5535,-7.666
2024-03-22,19800,19850,19300,19850,30581479,1,1.3449,-6.3211
2024-03-25,20050,20450,19450,19700,33235912,1,-0.3462,-6.6673
