t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,14470,14660,13890,13990,697401,1,-0.405367,-0.405367
2024-02-16,14080,14470,13990,14180,1017075,1,-0.168863,-0.57423
2024-02-19,14080,14370,13990,14270,426240,1,-0.101058,-0.675288
2024-02-20,14370,14370,13890,14080,803994,1,-0.367268,-1.042556
2024-02-21,14080,14370,13990,14180,647208,1,-0.0625,-1.105056
2024-02-22,14270,14760,14180,14370,718666,1,0.13528,-0.969776
2024-02-23,14470,14560,13500,13500,978812,1,-0.06489,-1.034666
2024-02-26,13700,13990,13310,13790,714673,1,0.071245,-0.963421
2024-02-27,13790,13890,13600,13890,409613,1,-0.004613,-0.968034
2024-02-28,13890,14080,13700,13790,644002,1,-0.076618,-1.044652
2024-02-29,13990,13990,13210,13500,679673,1,-0.073979,-1.118631
2024-03-01,13500,13700,13210,13600,478996,1,-0.004936,-1.123567
2024-03-04,13600,13790,13410,13500,570419,1,0.178653,-0.944914
2024-03-05,13500,13990,13410,13990,1062552,1,0.250128,-0.694786
2024-03-06,13990,13990,13500,13700,646001,1,-0.091913,-0.786699
2024-03-07,13600,14270,13600,14180,974789,1,0.314553,-0.472146
2024-03-08,14270,14370,13700,14370,736748,1,-0.074592,-0.546738
2024-03-11,14370,14370,13700,13700,429812,1,-0.057592,-0.60433
2024-03-12,13700,13890,13500,13500,714916,1,0.020864,-0.583466
2024-03-13,13600,13790,13600,13790,409848,1,0.078688,-0.504778
2024-03-14,13790,14370,13600,13890,847620,1,-0.09925,-0.604028
2024-03-15,13890,13990,13700,13890,389241,1,-0.082187,-0.686215
2024-03-18,13890,13990,12920,13120,797578,1,-0.096838,-0.783053
2024-03-19,13310,13310,13020,13210,357908,1,-0.058126,-0.841179
2024-03-20,13210,13310,13020,13210,387674,1,-0.089726,-0.930905
2024-03-21,13310,13700,13310,13600,593727,1,0.067931,-0.862974
2024-03-22,13600,13600,13310,13410,352002,1,-0.091824,-0.954798
2024-03-25,13410,13500,13120,13210,206808,1,-0.07569,-1.030488
2024-03-26,13210,13210,13020,13210,341985,1,-0.159099,-1.189587
2024-03-27,13210,13990,13210,13990,927561,1,0.193363,-0.996224
2024-03-28,14080,14180,13700,13790,354333,1,-0.074311,-1.070535
2024-03-29,13790,13990,13600,13790,374407,1,-0.101305,-1.17184
2024-04-01,13700,13790,13500,13500,260289,1,-0.053515,-1.225355
2024-04-02,13500,13890,13410,13890,352912,1,0.09831,-1.127045
2024-04-03,13890,14470,13700,13700,918427,1,0.071361,-1.055684
2024-04-04,13790,13790,13410,13500,380283,1,-0.031041,-1.086725
2024-04-05,13500,13990,13210,13410,717695,1,0.089305,-0.99742
2024-04-08,13410,13600,13210,13210,246632,1,-0.128506,-1.125926
2024-04-09,13310,13500,13310,13500,222750,1,0.14035,-0.985576
2024-04-10,13500,13500,13310,13310,316197,1,-0.149597,-1.135173
2024-04-11,13210,13500,13020,13500,283933,1,0.040283,-1.09489
2024-04-12,13500,13600,13410,13600,108643,1,-0.006957,-1.101847
2024-04-15,13600,13600,12250,12250,650588,1,0.083254,-1.018593
2024-04-16,12250,12630,12150,12350,454765,1,0.044111,-0.974482
2024-04-17,12440,12630,12350,12350,300844,1,-0.14699,-1.121472
2024-04-19,12350,12540,12150,12250,252282,1,-0.011078,-1.13255
2024-04-22,12250,12350,12060,12250,275494,1,0.02987,-1.10268
2024-04-23,12250,12250,11670,11770,308208,1,0.025692,-1.076988
2024-04-25,12060,12060,11860,11960,193146,1,0.021858,-1.05513
2024-04-26,11960,12060,11770,11860,278184,1,0.010902,-1.044228
2024-05-02,11770,11860,11570,11770,128401,1,-0.017999,-1.062227
2024-05-03,11770,11860,11670,11860,183937,1,0.019687,-1.04254
2024-05-06,11960,12060,11860,12060,245701,1,-0.058101,-1.100641
2024-05-07,12060,12150,12060,12150,136480,1,0.014152,-1.086489
2024-05-08,12150,12350,11960,12350,209620,1,0.05422,-1.032269
2024-05-09,12350,12540,12150,12250,224284,1,-0.02737,-1.059639
2024-05-10,12440,12440,12150,12350,113819,1,-0.014819,-1.074458
2024-05-13,12350,12350,12060,12150,137606,1,-0.029802,-1.10426
2024-05-14,12150,12250,12060,12150,87900,1,0.0333,-1.07096
2024-05-15,12150,12540,12150,12350,168493,1,0.026437,-1.044523
2024-05-16,12440,12540,12350,12440,165871,1,-0.011761,-1.056284
2024-05-17,12350,12440,12250,12350,220451,1,0.003033,-1.053251
2024-05-20,12440,12830,12440,12830,556605,1,0.126583,-0.926668
2024-05-21,12830,13410,12730,13310,790283,1,0.126519,-0.800149
2024-05-22,13410,13700,13310,13410,964678,1,-0.109526,-0.909675
2024-05-23,13410,13500,13120,13310,385045,1,-0.110839,-1.020514
2024-05-24,13310,13410,12630,12830,691816,1,-0.38304,-1.403554
2024-05-27,12920,13120,12830,13120,241841,1,0.001007,-1.402547
2024-05-28,13120,13410,13020,13120,438427,1,0.104129,-1.298418
2024-05-29,13210,13410,13120,13120,397513,1,0.043307,-1.255111
2024-05-30,13120,13120,12830,13020,359501,1,-0.012899,-1.26801
2024-05-31,13020,13210,13020,13120,274638,1,-0.013732,-1.281742
2024-06-03,13210,13310,13120,13210,295012,1,-0.067786,-1.349528
2024-06-04,13310,13310,13020,13120,295108,1,-0.055098,-1.404626
2024-06-05,13120,13120,12830,12830,524369,1,-0.172897,-1.577523
2024-06-06,13020,13020,12730,12830,315980,1,-0.060708,-1.638231
2024-06-07,12920,13700,12730,13410,1059434,1,0.224492,-1.413739
2024-06-10,13500,14660,13500,14660,2598356,1,1.081886,-0.331853
2024-06-11,15140,15340,14370,14760,1389210,1,-0.204154,-0.536007
2024-06-12,14760,14850,14180,14470,842052,1,-0.044466,-0.580473
2024-06-13,14470,14950,14180,14760,1216672,1,0.100764,-0.479709
2024-06-14,14850,14850,13890,13890,1064018,1,-0.33819,-0.817899
2024-06-17,13500,14370,13500,14080,594790,1,-0.151958,-0.969857
2024-06-18,14180,14370,13790,13790,399512,1,0.03831,-0.931547
2024-06-19,12440,13990,12440,13700,588267,1,-0.086427,-1.017974
2024-06-20,13790,13990,13310,13600,521238,1,-0.136998,-1.154972
2024-06-21,13600,14080,13500,13890,559605,1,-0.107789,-1.262761
2024-06-24,13890,14180,13210,13310,823674,1,-0.15278,-1.415541
2024-06-25,13410,13990,13210,13600,450371,1,-0.010831,-1.426372
2024-06-26,13900,13900,13400,13500,231206,1,0.028052,-1.39832
2024-06-27,13500,13500,13200,13300,286554,1,-0.091554,-1.489874
2024-06-28,13400,13600,12900,12900,343127,1,-0.182479,-1.672353
2024-07-01,12900,13200,12700,13000,194052,1,-0.000348,-1.672701
2024-07-02,13000,13100,12900,13000,266559,1,-0.051507,-1.724208
2024-07-03,13000,13300,13000,13100,223946,1,-0.022854,-1.747062
2024-07-04,13200,13200,12900,13000,323621,1,-0.074603,-1.821665
2024-07-05,13000,13500,13000,13200,482460,1,-0.006846,-1.828511
2024-07-09,13400,13400,13200,13200,409495,1,-0.1261,-1.954611
2024-07-10,13300,13400,13100,13100,491818,1,-0.1381,-2.092711
2024-07-11,13100,13400,12900,13000,298009,1,-0.136,-2.228711
2024-07-12,13000,13100,12900,13000,221411,1,-0.111,-2.339711
2024-07-15,13000,13100,12900,12900,139725,1,-0.0794,-2.419111
2024-07-16,13000,13200,12900,13000,424742,1,-0.0561,-2.475211
2024-07-17,13000,13200,12300,12500,461696,1,-0.1885,-2.663711
2024-07-18,12600,12600,12300,12600,399278,1,-0.1564,-2.820111
2024-07-19,12600,12700,12300,12300,258246,1,-0.0699,-2.890011
2024-07-22,12300,12500,11800,12100,282427,1,-0.1043,-2.994311
2024-07-23,12100,12200,11600,11800,234300,1,-0.1802,-3.174511
2024-07-24,11800,12000,11500,12000,188220,1,-0.0124,-3.186911
2024-07-25,12000,12000,11800,11900,74101,1,-0.006,-3.192911
2024-07-26,12000,12100,11900,12000,76400,1,-0.0297,-3.222611
2024-07-29,12100,12300,12100,12200,65800,1,-0.0095,-3.232111
2024-07-30,12200,12400,12100,12300,324100,1,-0.1478,-3.379911
2024-07-31,12300,12500,12300,12400,254400,1,-0.0268,-3.406711
