t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,18850,19250,18700,19000,19257647,1,3.1022,3.1022
2024-02-16,19100,19150,18750,18850,11009468,1,-1.6308,1.4714
2024-02-19,18950,18950,18600,18800,12463197,1,-3.7328,-2.2614
2024-02-20,18900,18950,18600,18650,15676143,1,-2.5496,-4.811
2024-02-21,18750,18950,18600,18800,15014576,1,-0.2417,-5.0527
2024-02-22,18800,18900,18650,18700,10577650,1,-0.1052,-5.1579
2024-02-23,18700,19100,18350,18350,33973650,1,-3.7457,-8.9036
2024-02-26,18350,18450,18000,18150,14077887,1,-1.0447,-9.9483
2024-02-27,18200,18300,17950,18200,18157117,1,-5.9972,-15.9455
2024-02-28,18300,18400,18150,18300,9091255,1,-0.643,-16.5885
2024-02-29,18400,18450,18050,18100,9710211,1,-4.3032,-20.8917
2024-03-01,18200,18250,18050,18250,9290949,1,-2.501,-23.3927
2024-03-04,18300,18400,18200,18300,11748088,1,-2.6768,-26.0695
2024-03-05,18300,18350,18150,18300,6063485,1,-1.5417,-27.6112
2024-03-06,18200,18400,18050,18050,11768628,1,-3.0219,-30.6331
2024-03-07,18050,18150,17950,18150,12529837,1,-2.9185,-33.5516
2024-03-08,18200,18250,17700,17700,19475886,1,-7.8205,-41.3721
2024-03-11,17700,18300,17700,17950,13733740,1,2.8838,-38.4883
2024-03-12,18000,18200,18000,18150,9118246,1,0.6082,-37.8801
2024-03-13,18200,18250,17950,18150,15276386,1,-0.1117,-37.9918
2024-03-14,18200,18200,17900,17950,9974938,1,-3.6347,-41.6265
2024-03-15,17950,18300,17850,17850,30802755,1,10.0891,-31.5374
2024-03-18,17900,18400,17700,18400,30585147,1,6.2731,-25.2643
2024-03-19,18450,19000,18300,18600,32206349,1,-1.233,-26.4973
2024-03-20,18600,18700,18300,18500,8957309,1,-1.3371,-27.8344
2024-03-21,18550,18650,18050,18200,25817466,1,-7.2792,-35.1136
2024-03-22,18300,18700,18200,18400,19834375,1,0.2752,-34.8384
2024-03-25,18500,18600,18300,18450,11718057,1,-2.3286,-37.167
2024-03-26,18300,18750,18300,18650,12435772,1,0.6876,-36.4794
2024-03-27,18650,18850,18500,18600,13621801,1,-3.9988,-40.4782
2024-03-28,18750,18750,18450,18500,16056724,1,-0.2689,-40.7471
2024-03-29,18500,18600,18350,18400,5075444,1,-0.8836,-41.6307
2024-04-01,18350,18500,18150,18200,15320559,1,-2.2021,-43.8328
2024-04-02,18200,18350,18050,18200,7537788,1,-0.4339,-44.2667
2024-04-03,18200,18250,18050,18050,8252752,1,-2.7604,-47.0271
2024-04-04,18050,18150,17900,17900,7032527,1,-2.4476,-49.4747
2024-04-05,17850,17950,17750,17800,8932862,1,-3.6764,-53.1511
2024-04-08,17900,17950,17700,17700,7013674,1,-2.4373,-55.5884
2024-04-09,17850,18000,17700,17950,6282087,1,-0.187,-55.7754
2024-04-10,17950,18150,17900,17950,10903701,1,-2.483,-58.2584
2024-04-11,17900,18250,17750,18150,11287935,1,1.6537,-56.6047
2024-04-12,18200,18250,18050,18150,4549765,1,0.9696,-55.6351
2024-04-15,18000,18250,17000,17000,10058449,1,-3.7382,-59.3733
2024-04-16,17000,17200,16600,16950,13287122,1,-3.997,-63.3703
2024-04-17,17200,17200,16800,16850,8585917,1,-1.9014,-65.2717
2024-04-19,16700,16850,16250,16500,9155131,1,-2.0715,-67.3432
2024-04-22,16700,17250,16600,17200,10409845,1,2.3323,-65.0109
2024-04-23,17150,17650,17050,17350,11717642,1,0.5011,-64.5098
2024-04-25,17650,17950,17550,17950,7252077,1,-1.7612,-66.271
2024-04-26,17900,18100,17700,17950,6320997,1,0.4779,-65.7931
2024-05-02,17950,17950,17650,17750,3025000,1,-0.4428,-66.2359
2024-05-03,17800,17800,17600,17600,2382868,1,-0.6278,-66.8637
2024-05-06,17600,17950,17600,17950,5192690,1,1.7562,-65.1075
2024-05-07,17950,18150,17750,17750,8125252,1,1.3624,-63.7451
2024-05-08,17800,18400,17800,18000,13183944,1,5.7953,-57.9498
2024-05-09,18100,18100,17750,17800,3555871,1,-1.0775,-59.0273
2024-05-10,17850,17900,17550,17650,3002926,1,-0.9168,-59.9441
2024-05-13,17800,17800,17600,17700,3130568,1,-1.2572,-61.2013
2024-05-14,17800,17800,17600,17650,3867842,1,-1.0901,-62.2914
2024-05-15,17650,17850,17600,17650,4311415,1,-0.5395,-62.8309
2024-05-16,17800,17950,17650,17800,4931367,1,-0.1117,-62.9426
2024-05-17,17900,17900,17700,17750,4860011,1,-1.1093,-64.0519
2024-05-20,17900,18700,17850,18500,26593570,1,7.6175,-56.4344
2024-05-21,18550,18900,18450,18450,12039882,1,0.1411,-56.2933
2024-05-22,18650,18650,18200,18200,11293498,1,-3.1716,-59.4649
2024-05-23,18300,18500,18150,18500,8022245,1,0.0127,-59.4522
2024-05-24,18450,18550,17850,17900,11037180,1,-3.6845,-63.1367
2024-05-27,18000,18850,17900,18800,23323907,1,-0.5326,-63.6693
2024-05-28,18900,18950,18550,18750,13686010,1,-1.975,-65.6443
2024-05-29,18750,19700,18600,19650,33146633,1,5.7148,-59.9295
2024-05-30,19400,19750,19300,19700,13585908,1,0.1299,-59.7996
2024-05-31,19800,20450,19650,19950,20081120,1,1.9042,-57.8954
2024-06-03,20100,20100,19650,19800,12463167,1,-2.4933,-60.3887
2024-06-04,19750,19900,19500,19500,11183806,1,-3.5809,-63.9696
2024-06-05,19500,19950,19500,19500,11880516,1,-1.0864,-65.056
2024-06-06,19550,19850,19350,19500,8744562,1,-1.303,-66.359
2024-06-07,19700,19900,19550,19800,8911698,1,-0.5345,-66.8935
2024-06-10,19750,19900,19400,19550,7673729,1,-2.1808,-69.0743
2024-06-11,19500,19700,18900,18950,15344277,1,-5.7886,-74.8629
2024-06-12,19000,19300,18800,19200,9146559,1,-0.2887,-75.1516
2024-06-13,19250,19350,19050,19100,5092135,1,-0.612,-75.7636
2024-06-14,19200,19450,18500,18500,8462012,1,-2.352,-78.1156
2024-06-17,18650,18900,18400,18700,6187141,1,-1.2786,-79.3942
2024-06-18,18850,19100,18500,18500,6838674,1,-2.0757,-81.4699
2024-06-19,18600,18900,18400,18750,5209856,1,-1.3135,-82.7834
2024-06-20,18750,18900,18450,18550,4939725,1,-1.9319,-84.7153
2024-06-21,18550,18850,18500,18550,5617427,1,-0.5092,-85.2245
2024-06-24,18550,18700,18050,18200,6241859,1,-3.1608,-88.3853
2024-06-25,18200,18350,18100,18300,3698814,1,-0.5065,-88.8918
2024-06-26,18250,18350,18100,18250,2669592,1,-0.6155,-89.5073
2024-06-27,18300,18450,18200,18350,2711067,1,-0.3055,-89.8128
2024-06-28,18450,18900,18200,18900,6179151,1,-0.6345,-90.4473
2024-07-01,18500,18600,18300,18500,2542313,1,-0.7053,-91.1526
2024-07-02,18550,18900,18400,18900,5330110,1,1.3639,-89.7887
2024-07-03,19000,19400,18950,19200,10062601,1,1.7845,-88.0042
2024-07-04,19200,19350,19050,19050,9359584,1,1.6861,-86.3181
2024-07-05,19400,19400,19050,19050,24983889,1,10.7372,-75.5809
2024-07-08,19050,19150,18800,18800,9118328,1,-1.953,-77.5339
2024-07-09,18950,19050,18850,18900,10097780,1,-0.9688,-78.5027
2024-07-10,19100,19400,19100,19100,21657677,1,-6.0656,-84.5683
2024-07-11,19150,19300,19050,19150,21179293,1,-1.2672,-85.8355
2024-07-12,18600,19200,18600,18950,9524701,1,-1.6719,-87.5074
2024-07-15,19050,19050,18850,18950,2957194,1,-0.7195,-88.2269
2024-07-16,19000,19000,18750,18750,3339920,1,-1.4967,-89.7236
2024-07-17,18900,19050,18550,18550,5984934,1,-1.5442,-91.2678
2024-07-18,18600,18850,18500,18750,10293980,1,-1.1451,-92.4129
2024-07-19,18750,18850,18550,18600,9092349,1,1.8443,-90.5686
2024-07-22,18600,18700,18250,18350,4571147,1,-1.7788,-92.3474
2024-07-23,18500,18500,17900,17950,5507523,1,-2.5056,-94.853
2024-07-24,17950,18300,17850,18300,3480444,1,-0.5019,-95.3549
2024-07-25,18300,18350,18150,18300,1211426,1,-0.0666,-95.4215
2024-07-26,18300,18500,18200,18450,2212500,1,0.2434,-95.1781
2024-07-29,18550,18550,18250,18250,2072700,1,-1.0578,-96.2359
2024-07-30,18250,18400,18200,18250,2110400,1,-0.0524,-96.2883
2024-07-31,18400,18400,18200,18200,4044100,1,-0.5819,-96.8702
2024-08-01,18250,18300,17850,18000,5016400,1,-1.4452,-98.3154
2024-08-02,17950,18050,17750,18050,2737800,1,0.1163,-98.1991
2024-08-05,18000,18800,17750,18100,8137000,1,0.2102,-97.9889
2024-08-06,18050,18400,17850,18400,1699300,1,-0.2355,-98.2244
2024-08-07,18400,18400,18100,18400,1098500,1,-0.4556,-98.68
2024-08-08,18300,18550,18150,18350,11307500,1,-0.4168,-99.0968
2024-08-09,18300,18450,18300,18350,5532800,1,-0.5256,-99.6224
2024-08-12,18400,18950,18350,18850,5269000,1,0.3006,-99.3218
