t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,21900,22000,21550,21550,413027,1,-0.153,-0.153
2024-02-16,21700,22050,21500,21700,685626,1,-0.0638,-0.2168
2024-02-19,21600,21700,21450,21550,486170,1,-0.2805,-0.4973
2024-02-20,21500,21600,21050,21150,933327,1,-0.3906,-0.8879
2024-02-21,21200,21950,21200,21500,564333,1,-0.1281,-1.016
2024-02-22,21500,21700,21400,21400,382469,1,-0.0893,-1.1053
2024-02-23,21400,21600,20200,20900,710906,1,-0.3774,-1.4827
2024-02-26,20900,21600,20500,21600,526931,1,-0.0207,-1.5034
2024-02-27,21900,22600,21700,22350,2130513,1,0.3215,-1.1819
2024-02-28,22550,22550,21850,22200,625100,1,-0.2737,-1.4556
2024-02-29,22200,22400,21600,21700,833850,1,-0.4532,-1.9088
2024-03-01,21700,22900,21500,22600,1387288,1,0.1684,-1.7404
2024-03-04,22900,22900,22300,22400,811516,1,-0.3236,-2.064
2024-03-05,22350,22400,21950,22000,901527,1,-0.3236,-2.3876
2024-03-06,21900,22100,21450,21650,772275,1,-0.2748,-2.6624
2024-03-07,21650,22100,21100,21650,717389,1,-0.1445,-2.8069
2024-03-08,21600,22450,21550,21800,1044721,1,-0.1733,-2.9802
2024-03-11,21800,22750,21800,22300,1481169,1,0.093,-2.8872
2024-03-12,22550,23850,22400,23850,2089498,1,0.3993,-2.4879
2024-03-13,24200,24950,23950,24250,3120085,1,-0.4733,-2.9612
2024-03-14,24350,24450,23200,23200,2559270,1,-0.9371,-3.8983
2024-03-15,23300,23850,23050,23850,1733358,1,-0.2628,-4.1611
2024-03-18,23700,24350,22400,23400,3593391,1,-0.4415,-4.6026
2024-03-19,23400,24400,23050,23900,1407738,1,0.1597,-4.4429
2024-03-20,24050,24050,23600,23700,499201,1,-0.1265,-4.5694
2024-03-21,23850,24000,23600,23600,1294424,1,-0.3254,-4.8948
2024-03-22,23700,24000,23300,23450,1194173,1,-0.3268,-5.2216
2024-03-25,23300,23550,22800,23050,1213386,1,-0.7999,-6.0215
