t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-10,14800,14900,14500,14500,5080264,1,-1.2555,-1.2555
2024-07-11,14600,14700,14400,14400,3339096,1,-0.7249,-1.9804
2024-07-12,14450,14450,14150,14150,3590694,1,-1.4405,-3.4209
2024-07-15,14150,14300,14050,14150,2723874,1,-0.6542,-4.0751
2024-07-16,14150,14600,14150,14150,4977057,1,0.2716,-3.8035
2024-07-17,14300,14300,13550,13850,8038493,1,-2.4129,-6.2164
2024-07-18,13850,13950,13600,13950,5019639,1,-1.0857,-7.3021
2024-07-19,14050,14050,13500,13500,5340287,1,-2.1866,-9.4887
2024-07-22,13500,13500,12650,12950,11171498,1,-2.8093,-12.298
2024-07-23,12950,13100,12850,12900,6127622,1,-0.6042,-12.9022
2024-07-24,12650,13200,12650,13150,4677745,1,-0.685,-13.5872
2024-07-25,13200,13200,12900,13000,2250916,1,-0.431,-14.0182
2024-07-26,13150,13150,12950,13100,1930800,1,-0.3563,-14.3745
2024-07-29,13200,13250,13050,13100,2239700,1,-0.4176,-14.7921
2024-07-30,13050,13100,12700,12700,5067600,1,-1.0915,-15.8836
2024-07-31,12800,13050,12750,12900,2443000,1,-0.2661,-16.1497
2024-08-01,12900,12950,12000,12000,7480000,1,-3.0704,-19.2201
2024-08-02,12000,12250,11650,12200,6446700,1,0.6609,-18.5592
2024-08-05,11800,12000,11350,11350,7976800,1,-3.276,-21.8352
2024-08-06,11350,11600,11050,11550,5422900,1,-0.428,-22.2632
2024-08-07,11550,11600,11350,11450,1973700,1,-0.3184,-22.5816
2024-08-08,11500,11900,11400,11650,4131900,1,-0.4747,-23.0563
2024-08-09,11700,11800,11550,11750,2673000,1,-0.3861,-23.4424
2024-08-12,11650,11850,11650,11750,2161700,1,-0.176,-23.6184
