t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,4450,4500,4430,4500,84951,1,-0.0206,-0.4704
2024-02-20,4500,4540,4470,4470,170560,1,0.0502,-0.4498
2024-02-23,4510,4530,4400,4510,111812,1,-0.0951,-0.1193
2024-02-26,4510,4520,4450,4510,92235,1,0.0246,-0.1794
2024-02-29,4660,4660,4600,4600,90476,1,-0.0302,-0.3558
2024-03-01,4580,4620,4560,4600,113359,1,-0.0576,-0.231
2024-03-04,4600,4740,4550,4740,310112,1,0.0671,-0.1183
2024-03-07,4610,4650,4500,4650,157934,1,-0.0365,-0.3917
2024-03-08,4600,4650,4500,4530,277790,1,-0.0959,-0.2353
2024-03-11,4530,4580,4460,4480,81415,1,-0.0473,-0.1679
2024-03-12,4480,4490,4420,4420,79702,1,-0.0339,-0.4371
2024-03-14,4530,4530,4440,4530,123400,1,-0.0907,-0.3254
2024-03-15,4530,4540,4500,4540,61749,1,-0.028,-0.4984
2024-03-18,4550,4600,4460,4540,133884,1,-0.0217,-0.1451
2024-03-20,4550,4550,4480,4550,57703,1,0.0236,-0.5
2024-03-25,4550,4600,4500,4560,54148,1,-0.0127,-0.2869
2024-03-26,4560,4560,4490,4550,31689,1,0.016,-0.204
2024-03-29,4520,4560,4480,4480,101454,1,0.0006,-0.3552
2024-04-01,4550,4620,4460,4530,62223,1,0.0512,-0.2742
2024-04-02,4500,4560,4500,4540,28755,1,0.0088,-0.2347
2024-04-03,4500,4540,4480,4530,58069,1,-0.0322,-0.5306
2024-04-04,4500,4500,4460,4480,29041,1,-0.0175,-0.4546
2024-04-08,4490,4500,4470,4470,16182,1,-0.0011,-0.2863
2024-04-11,4410,4470,4380,4400,52811,1,-0.0115,-0.4032
2024-04-12,4410,4440,4380,4440,21829,1,-0.0002,-0.1185
2024-04-17,4110,4200,4100,4110,29000,1,-0.0215,-0.1666
2024-04-23,3930,4100,3930,4090,26100,1,-0.0132,-0.3041
2024-04-25,4140,4140,3900,4050,31803,1,0.011,-0.22
2024-04-26,4050,4080,3770,4000,45575,1,0.0017,-0.2852
2024-05-02,4010,4059,3900,4059,29660,1,-0.0082,-0.2435
2024-05-03,4059,4070,4010,4059,49611,1,0.0066,-0.524
2024-05-07,4120,4140,3900,4140,23716,1,-0.0175,-0.1854
2024-05-08,4100,4140,4070,4140,24159,1,-0.0181,-0.3044
2024-05-14,4130,4140,4070,4110,64611,1,0.0225,-0.276
2024-05-17,4080,4110,4059,4100,51546,1,-0.0156,-0.1822
2024-05-20,4059,4130,4059,4100,78222,1,0.0137,-0.1039
2024-05-23,4190,4200,4130,4130,57508,1,-0.0215,-0.3256
2024-05-29,4050,4100,4040,4070,76570,1,-0.0013,-0.1206
2024-05-30,4090,4090,4050,4070,67410,1,0.0244,-0.155
2024-06-03,4070,4100,4070,4100,75001,1,0.0094,-0.1394
2024-06-05,4120,4150,4100,4120,52797,1,-0.0293,-0.5236
2024-06-06,4100,4120,4080,4120,36600,1,-0.01,-0.0242
2024-06-10,4400,4400,4230,4240,55409,1,-0.0149,-0.2909
2024-06-13,4270,4270,4140,4150,45811,1,-0.0195,-0.1234
2024-06-19,4120,4120,4080,4100,34200,1,-0.0111,-0.4657
2024-06-21,4150,4160,4080,4100,43500,1,0.0009,-0.1176
2024-06-24,4100,4140,4080,4080,62600,1,0.0088,-0.1734
2024-06-27,4100,4100,4070,4070,8903,1,0.0059,-0.2985
2024-06-28,4070,4070,4000,4000,35300,1,-0.0142,-0.0142
2024-07-03,4050,4100,4019,4050,13721,1,0.0062,-0.1488
2024-07-05,4070,4070,4000,4000,32210,1,-0.0286,-0.4943
2024-07-09,4000,4070,4000,4059,42418,1,0.0134,-0.5106
2024-07-10,4059,4090,4010,4050,11822,1,0.0029,-0.5077
2024-07-11,4040,4040,4010,4040,33001,1,0.0178,-0.4899
2024-07-12,4040,4040,4000,4000,7900,1,0.0006,-0.4893
2024-07-15,3960,4050,3960,4000,13453,1,-0.0081,-0.4974
2024-07-16,4050,4050,3980,4000,83614,1,-0.0554,-0.5528
2024-07-17,4010,4010,3830,3830,88470,1,-0.0244,-0.5772
2024-07-18,3730,3990,3730,3930,80501,1,-0.0185,-0.5957
2024-07-19,3940,3950,3860,3860,30200,1,-0.0021,-0.5978
2024-07-22,3860,3890,3740,3790,34741,1,0.0179,-0.5799
2024-07-23,3790,3850,3570,3700,27003,1,-0.0167,-0.5966
2024-07-24,3730,3830,3700,3700,21010,1,-0.0037,-0.6003
2024-07-25,3710,3800,3660,3680,45828,1,-0.0252,-0.6255
2024-07-26,3700,3750,3630,3750,56100,1,0.0267,-0.5988
2024-07-29,3740,3770,3720,3750,31500,1,-0.0014,-0.6002
2024-07-30,3750,3780,3700,3700,23600,1,0.002,-0.5982
2024-07-31,3700,3700,3670,3700,32800,1,0.0205,-0.5777
2024-08-01,3630,3650,3550,3600,99100,1,-0.0029,-0.5806
2024-08-02,3600,3600,3400,3460,66600,1,0.0026,-0.578
2024-08-05,3230,3490,3230,3230,34100,1,-0.0111,-0.5891
2024-08-06,3390,3390,3130,3290,72800,1,-0.0266,-0.6157
2024-08-07,3210,3370,3210,3270,24200,1,-0.0025,-0.6182
2024-08-08,3270,3270,3160,3260,43600,1,-0.021,-0.6392
2024-08-09,3260,3380,3210,3380,49600,1,0.0146,-0.6246
2024-08-12,3380,3380,3360,3380,20800,1,0.0099,-0.6147
