t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,14100,14550,14050,14450,2905055,1,0.5703,0.5703
2024-02-16,14450,14550,14350,14500,1974927,1,-0.4496,0.1207
2024-02-19,14550,14790,14450,14790,3518951,1,1.0084,1.1291
2024-02-20,14890,14890,14500,14550,2106578,1,-0.571,0.5581
2024-02-21,14550,14600,14300,14500,1860137,1,-0.7596,-0.2015
2024-02-22,14550,14840,14500,14600,2936993,1,0.088,-0.1135
2024-02-23,14600,14650,13950,14050,3377597,1,-1.1492,-1.2627
2024-02-26,14050,14100,13750,14100,2225593,1,-0.847,-2.1097
2024-02-27,14200,14350,14100,14200,1419685,1,-0.2869,-2.3966
2024-02-28,14300,14350,14100,14200,1240988,1,-0.4471,-2.8437
2024-02-29,14200,14300,14000,14150,1698033,1,-0.3276,-3.1713
2024-03-01,14250,14600,14000,14550,4119150,1,0.786,-2.3853
2024-03-04,14800,14800,14450,14600,2887189,1,-0.8041,-3.1894
2024-03-05,14700,15400,14600,15400,9744917,1,2.3749,-0.8145
2024-03-06,15450,15450,14900,14950,3580938,1,-0.946,-1.7605
2024-03-07,14950,15150,14800,15100,3569571,1,-0.0932,-1.8537
2024-03-08,15100,15650,14950,15300,8560159,1,1.6533,-0.2004
2024-03-11,15300,15850,15150,15450,4698301,1,-0.327,-0.5274
2024-03-12,15300,15850,15250,15550,5445250,1,0.9671,0.4397
2024-03-13,15650,16149,15600,15600,6435918,1,0.4002,0.8399
2024-03-14,15650,16300,15500,16250,6249355,1,1.5278,2.3677
2024-03-15,16200,16500,15900,16400,4140843,1,0.5881,2.9558
2024-03-18,16350,16500,15300,15950,5928405,1,-1.3687,1.5871
2024-03-19,15950,16100,15500,15500,2345988,1,-0.9997,0.5874
2024-03-20,15550,16200,15500,16200,2312667,1,0.4839,1.0713
2024-03-21,16300,16400,15950,16050,3324714,1,-0.6112,0.4601
2024-03-22,16300,16450,15950,16250,4418802,1,-0.3834,0.0767
2024-03-25,16200,16800,16100,16550,5278046,1,0.9192,0.9959
2024-03-26,16500,16600,16350,16550,1347977,1,-0.2032,0.7927
2024-03-27,16750,16850,16450,16600,2063481,1,0.292,1.0847
2024-03-28,16700,16700,16400,16500,1406188,1,-0.0202,1.0645
2024-03-29,16500,16650,16350,16600,1507294,1,-0.2883,0.7762
2024-04-01,16650,17100,16600,16900,2732666,1,0.6865,1.4627
2024-04-02,16950,16950,16600,16700,1905916,1,-0.3282,1.1345
2024-04-03,16600,16900,15800,16000,3371706,1,-1.5105,-0.376
2024-04-04,16000,16000,15500,15600,2355700,1,-0.7898,-1.1658
2024-04-05,15500,16000,15250,15600,1259875,1,-0.1028,-1.2686
2024-04-08,15800,15950,15600,15650,1072468,1,-0.2765,-1.5451
