t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-09,102000,103000,98700,101600,283885,1,-0.0837,-0.0837
2024-07-10,100200,102200,99400,102100,194353,1,0.017,-0.0667
2024-07-11,102000,105500,101800,102700,120610,1,-0.0131,-0.0798
2024-07-12,102900,102900,101000,101100,89606,1,-0.0381,-0.1179
2024-07-15,101500,101500,100000,100000,97044,1,-0.0173,-0.1352
2024-07-16,100000,100800,95500,96000,286893,1,-0.0967,-0.2319
2024-07-17,97100,97100,89000,92400,331750,1,-0.0159,-0.2478
2024-07-18,91500,91800,86000,91500,193410,1,0.0157,-0.2321
2024-07-19,91000,91000,88000,88000,61065,1,-0.0213,-0.2534
2024-07-22,88100,90700,85000,90700,140419,1,-0.0273,-0.2807
2024-07-23,89000,92000,88000,88700,107455,1,-0.0045,-0.2852
2024-07-24,88700,90500,85000,89100,102601,1,0.0149,-0.2703
2024-07-25,87500,90000,86000,90000,82184,1,0.0029,-0.2674
2024-07-26,90500,92700,88300,92500,119600,1,0.0408,-0.2266
2024-07-29,92900,97000,92400,96900,181000,1,0.0455,-0.1811
2024-07-30,98500,98500,94200,94400,58000,1,-0.0232,-0.2043
2024-07-31,95600,95600,93200,95300,87800,1,-0.0082,-0.2125
2024-08-01,94000,96400,90000,94800,208600,1,0.0228,-0.1897
2024-08-02,94800,95000,91600,95000,62300,1,-0.0193,-0.209
2024-08-05,91700,91700,86100,86100,122600,1,-0.0233,-0.2323
2024-08-06,86100,91000,86000,89000,125700,1,0.0368,-0.1955
2024-08-07,89000,89000,87500,88200,15500,1,-0.0005,-0.196
2024-08-08,87000,88000,85000,86500,52300,1,-0.0334,-0.2294
2024-08-09,87500,89900,87300,89700,55800,1,0.0151,-0.2143
2024-08-12,89100,91700,89100,91600,85100,1,0.0093,-0.205
