t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,90850,91110,89640,89810,2254547,1,-0.3657,-0.3657
2024-02-16,89810,90760,89640,90760,2070089,1,-0.0529,-0.4186
2024-02-19,91110,92410,90680,90680,2037643,1,0.0498,-0.3688
2024-02-20,90850,90850,89810,90070,1848111,1,-0.4994,-0.8682
2024-02-21,89810,92320,89380,91460,3141692,1,-0.102,-0.9702
2024-02-22,91460,91540,90330,90330,1722092,1,-0.397,-1.3672
2024-02-23,91110,92150,89210,89730,4108378,1,-0.6895,-2.0567
2024-02-26,89730,93270,89380,93270,4472548,1,1.2008,-0.8559
2024-02-27,93700,94560,92750,93180,2807162,1,-0.511,-1.3669
2024-02-28,93270,93700,91800,93700,3466729,1,-0.6167,-1.9836
2024-02-29,93440,94480,93010,94130,2829302,1,-0.0393,-2.0229
2024-03-01,94310,96210,94220,95690,4028406,1,0.7973,-1.2256
2024-03-04,95860,96550,95690,96210,3092985,1,-0.2714,-1.497
2024-03-05,96210,96210,94910,95600,3390992,1,-1.2324,-2.7294
2024-03-06,95000,95340,93610,94220,3710122,1,-1.4145,-4.1439
2024-03-07,94220,98360,93440,96120,4044840,1,0.2588,-3.8851
2024-03-08,96120,97240,94560,95000,3122548,1,-1.1682,-5.0533
2024-03-11,95000,98020,95000,95000,3389872,1,0.0032,-5.0501
2024-03-12,95000,98020,95000,96640,2912964,1,0.1009,-4.9492
2024-03-13,97410,101040,96720,101040,5125138,1,1.7448,-3.2044
2024-03-14,102340,102340,99920,101040,3472473,1,-0.8502,-4.0546
2024-03-15,100870,100870,98880,100180,3846741,1,-0.6422,-4.6968
2024-03-18,100000,100000,95950,97590,5898676,1,-1.4386,-6.1354
2024-03-19,97590,97590,95950,96720,3324749,1,-1.2898,-7.4252
2024-03-20,96980,99310,95950,98880,3483551,1,-0.13,-7.5552
2024-03-21,99490,100350,98970,100350,3762372,1,0.6606,-6.8946
2024-03-22,100440,100440,98880,99230,2420313,1,-0.8484,-7.743
2024-03-25,98540,99400,98280,98450,2799669,1,-0.8053,-8.5483
2024-03-26,98450,99750,98100,99310,1696761,1,0.3583,-8.19
2024-03-27,99050,99570,98540,99490,1323812,1,0.0564,-8.1336
2024-03-28,100090,101390,99570,101130,2808951,1,0.5597,-7.5739
2024-03-29,100520,101210,100180,100610,1346605,1,-0.1477,-7.7216
2024-04-01,100180,101560,99490,100870,1980689,1,-0.0554,-7.777
2024-04-02,99660,101040,99660,101040,2289100,1,0.0222,-7.7548
2024-04-03,100260,101040,99400,99400,2555654,1,-0.9255,-8.6803
2024-04-04,99310,100000,98450,98450,2369065,1,-0.295,-8.9753
2024-04-05,97670,99050,97240,98190,2764447,1,-0.4702,-9.4455
2024-04-08,98190,98190,97240,97240,1957677,1,-0.4785,-9.924
2024-04-09,97240,97760,97160,97590,1437679,1,-0.1989,-10.1229
2024-04-10,98020,99830,97850,98280,1795600,1,0.3394,-9.7835
2024-04-11,98020,99660,97850,99230,1553032,1,0.0977,-9.6858
2024-04-12,100090,100090,98710,99750,1371708,1,0.0986,-9.5872
2024-04-15,99750,99830,96290,96380,3709209,1,-1.1391,-10.7263
2024-04-16,96720,97760,96290,97590,3651849,1,0.2519,-10.4744
2024-04-17,97670,97670,96380,96550,1949454,1,-0.7092,-11.1836
2024-04-19,95430,96030,94130,94130,5373515,1,-0.443,-11.6266
2024-04-22,95000,96210,94050,95260,2403688,1,0.0676,-11.559
2024-04-23,95770,97850,94910,96980,4041971,1,-0.3348,-11.8938
2024-04-25,105790,110540,105270,106400,5718864,1,-0.5995,-12.4933
2024-04-26,106220,108300,105530,106400,3402188,1,-0.0915,-12.5848
2024-05-02,106910,111400,106650,109940,3477702,1,0.6948,-11.89
2024-05-03,110630,110890,108470,108730,3199400,1,-0.612,-12.502
2024-05-06,109250,110200,107520,110200,2710850,1,-0.0336,-12.5356
2024-05-07,110540,113650,109850,113390,3130425,1,0.5043,-12.0313
2024-05-08,112350,113130,111660,113130,3024432,1,-0.6768,-12.7081
2024-05-09,112790,114690,112270,112530,2208946,1,-0.0663,-12.7744
2024-05-10,113390,114170,111580,113130,3797696,1,-0.7394,-13.5138
2024-05-13,113390,113560,111230,112010,1857811,1,-0.3901,-13.9039
2024-05-14,112270,113740,111920,112700,2309312,1,0.2648,-13.6391
2024-05-15,113560,116150,113390,115810,3659473,1,0.8161,-12.823
2024-05-16,117100,118570,115900,116930,3128143,1,0.5147,-12.3083
2024-05-17,116930,117450,115460,116150,2314616,1,-0.6533,-12.9616
2024-05-20,116760,117540,114860,114860,2020789,1,-0.5855,-13.5471
2024-05-21,115720,117450,115290,117450,3478265,1,-0.1847,-13.7318
2024-05-22,119090,120640,117540,119180,4522916,1,0.3625,-13.3693
2024-05-23,118740,119000,116590,118740,3630410,1,-0.5535,-13.9228
2024-05-24,119180,119180,112790,113910,13398023,1,-3.9899,-17.9127
2024-05-27,114860,115290,112790,114690,5172903,1,0.0036,-17.9091
2024-05-28,115720,118310,114950,118310,4632228,1,0.9374,-16.9717
2024-05-29,118400,119350,116410,117190,5844515,1,-0.9424,-17.9141
2024-05-30,115550,116590,113910,116590,7273584,1,-1.8907,-19.8048
2024-05-31,116590,118140,115550,116240,2639516,1,-0.3195,-20.1243
2024-06-03,116590,118830,116330,118230,7782256,1,2.1082,-18.0161
2024-06-04,120040,120300,119000,120130,7019713,1,0.6693,-17.3468
2024-06-05,120900,125140,120640,120990,6336780,1,0.4532,-16.8936
2024-06-06,121160,122370,119870,120560,5222139,1,-1.1326,-18.0262
2024-06-07,121770,122630,121340,122630,3762372,1,-0.3786,-18.4048
2024-06-10,123930,125220,123490,124360,3785656,1,-0.129,-18.5338
2024-06-11,124620,126520,123580,126520,6340276,1,-0.1478,-18.6816
2024-06-12,127900,132700,127800,132000,11246768,1,0.8204,-17.8612
2024-06-13,133700,133800,130000,130000,8167546,1,-2.0179,-19.8791
2024-06-14,130100,132600,129000,131000,6425220,1,-0.2005,-20.0796
2024-06-17,131000,131400,128500,128800,4890848,1,-1.5402,-21.6198
2024-06-18,128800,129699,128000,128000,6694763,1,-2.0392,-23.659
2024-06-19,128000,132800,126600,131500,9684926,1,-0.0168,-23.6758
2024-06-20,133000,135700,131800,133300,10482529,1,3.6733,-20.0025
2024-06-21,133900,136100,133300,136100,7663338,1,0.7489,-19.2536
2024-06-24,135000,135500,132000,132100,13202385,1,-1.3934,-20.647
2024-06-25,131000,131100,128600,130000,13723703,1,0.143,-20.504
2024-06-26,131000,131800,129400,131800,7158131,1,-0.6016,-21.1056
2024-06-27,131300,134100,130800,132800,6409612,1,0.8484,-20.2572
2024-06-28,132800,132800,130400,130500,6641381,1,-0.7412,-20.9984
2024-07-01,130400,130400,128500,128600,6386361,1,-1.0514,-22.0498
2024-07-02,128600,132100,127500,128000,6735345,1,0.3163,-21.7335
2024-07-03,130500,132800,130100,131000,7642345,1,2.5049,-19.2286
2024-07-04,132100,135800,132100,135800,8129152,1,2.1155,-17.1131
2024-07-05,136100,139700,136100,138700,7807749,1,1.4853,-15.6278
2024-07-08,138500,139600,137500,139600,5876745,1,-0.2054,-15.8332
2024-07-09,139100,139300,136000,137500,9689262,1,-1.376,-17.2092
2024-07-10,136000,137000,134000,134000,6309470,1,-2.3473,-19.5565
2024-07-11,134100,135400,132500,133000,6857179,1,-1.5848,-21.1413
2024-07-12,132200,136000,132200,133800,3562395,1,-0.4478,-21.5891
2024-07-15,133500,134800,132300,132700,3074934,1,-1.0706,-22.6597
2024-07-16,133600,134500,132300,134000,4007693,1,-0.4514,-23.1111
2024-07-17,134000,134100,129900,131900,6980219,1,-2.2764,-25.3875
2024-07-18,131400,131400,127800,127900,10828773,1,-3.4362,-28.8237
2024-07-19,128600,129300,126000,126000,6581002,1,-1.8326,-30.6563
2024-07-22,126000,126000,123200,124100,6242427,1,-0.4115,-31.0678
2024-07-23,124900,127500,124800,125500,5323805,1,-0.3482,-31.416
2024-07-24,125500,126600,124000,126000,4160841,1,-0.2335,-31.6495
