t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-09,183000,183000,179100,181900,651496,1,-0.1947,-0.1947
2024-07-10,181800,181800,178500,179500,562755,1,-0.1941,-0.3888
2024-07-11,177300,179400,177000,179000,467306,1,-0.0868,-0.4756
2024-07-12,177500,178000,175200,175500,612966,1,-0.2423,-0.7179
2024-07-15,175500,175500,172000,173000,678020,1,-0.1902,-0.9081
2024-07-16,173000,175500,172000,175500,339474,1,-0.0023,-0.9104
2024-07-17,174300,175500,170200,173800,400867,1,-0.1337,-1.0441
2024-07-18,173700,174000,170700,174000,470349,1,-0.0931,-1.1372
2024-07-19,174000,177000,172900,176000,308354,1,0.0463,-1.0909
2024-07-22,175800,175900,170800,175900,518692,1,0.0282,-1.0627
2024-07-23,176000,176200,171500,174100,394042,1,-0.0504,-1.1131
2024-07-24,174000,174000,164300,174000,774001,1,-0.1278,-1.2409
2024-07-25,166200,172600,166200,172000,280668,1,0.0581,-1.1828
2024-07-26,171300,171900,169000,169100,231000,1,-0.1072,-1.29
2024-07-29,170000,170500,167100,169900,315000,1,-0.1221,-1.4121
2024-07-30,169000,169300,167100,169300,309700,1,-0.1441,-1.5562
2024-07-31,169100,173000,169100,172800,397800,1,0.0243,-1.5319
2024-08-01,172600,172800,167500,170000,501700,1,-0.0944,-1.6263
2024-08-02,165700,169900,164000,169900,471800,1,-0.0352,-1.6615
2024-08-05,165200,166400,162500,162500,722400,1,-0.1935,-1.855
2024-08-06,163000,168000,160500,166900,880200,1,0.0421,-1.8129
2024-08-07,166800,168600,163900,168600,260200,1,0.0072,-1.8057
2024-08-08,166000,169500,166000,169500,327200,1,-0.0529,-1.8586
2024-08-09,169000,173000,168100,172900,627500,1,-0.1455,-2.0041
2024-08-12,172900,174800,171500,173800,445200,1,-0.1174,-2.1215
