t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-08,43000,43000,42150,42400,1896965,1,-0.4026,-0.4026
2024-07-09,42550,43900,42050,43750,3557413,1,0.1686,-0.234
2024-07-10,44000,44050,43050,43050,1579538,1,-0.4817,-0.7157
2024-07-11,43100,43800,42900,43350,1914484,1,-0.0924,-0.8081
2024-07-12,42850,43500,42750,42850,1247159,1,-0.41,-1.2181
2024-07-15,43600,43600,42400,42600,1064236,1,-0.2717,-1.4898
2024-07-16,42600,43100,42300,42500,1468833,1,-0.1502,-1.64
2024-07-17,42450,42700,40000,40500,2518671,1,-0.7853,-2.4253
2024-07-18,40500,40950,39300,40800,2407445,1,-0.6725,-3.0978
2024-07-19,40850,41000,39450,39450,1944834,1,-0.4435,-3.5413
2024-07-22,39450,39900,38000,38350,3208860,1,-0.1649,-3.7062
2024-07-23,38500,38950,36500,36500,1941782,1,-0.5595,-4.2657
2024-07-24,36000,38500,36000,38300,2955569,1,0.6817,-3.584
2024-07-25,38000,38600,37350,38300,1483050,1,-0.2977,-3.8817
2024-07-26,38300,38600,37950,38100,940400,1,-0.2748,-4.1565
2024-07-29,38100,38550,38000,38150,1373600,1,-0.207,-4.3635
2024-07-30,37850,38100,37000,37150,1517000,1,-0.495,-4.8585
2024-07-31,37700,38000,36750,37200,1266800,1,-0.294,-5.1525
2024-08-01,37500,37500,34600,34650,3125800,1,-1.1608,-6.3133
2024-08-02,34050,37050,33750,37050,3461200,1,1.0183,-5.295
2024-08-05,36500,38450,36000,37100,4517200,1,-0.0313,-5.3263
2024-08-06,38000,39650,37050,39600,5078500,1,1.6067,-3.7196
2024-08-07,39800,39800,38600,39600,2527200,1,-0.402,-4.1216
2024-08-08,39000,39600,37600,38400,3603300,1,-1.289,-5.4106
2024-08-09,38950,41050,38700,41050,5525600,1,1.5062,-3.9044
2024-08-12,40800,41700,40500,41400,2234800,1,-0.1529,-4.0573
