t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-08,14550,15400,14550,15400,3092699,1,-0.1413,-0.1413
2024-07-09,16000,16000,15550,15800,2254554,1,0.1252,-0.0161
2024-07-10,15950,16450,15650,16050,3301566,1,0.6142,0.5981
2024-07-11,16300,16300,15950,16050,1256407,1,-0.3056,0.2925
2024-07-12,16050,16650,15700,16550,2452634,1,0.2448,0.5373
2024-07-15,16950,17200,16750,16950,2445133,1,0.0644,0.6017
2024-07-16,17100,17150,16700,16900,1707809,1,-0.2601,0.3416
2024-07-17,17000,17050,15750,15750,5621513,1,-3.3141,-2.9725
2024-07-18,15750,16250,15550,16250,2689283,1,-0.1805,-3.153
2024-07-19,16200,16300,15500,15850,1525143,1,-0.6068,-3.7598
2024-07-22,15600,15950,14950,15050,2302487,1,-0.8997,-4.6595
2024-07-23,15100,15250,14200,14300,2221000,1,-0.8363,-5.4958
2024-07-24,14250,15100,14100,15050,1683236,1,0.095,-5.4008
2024-07-25,15000,15050,14750,14900,1039063,1,-0.0395,-5.4403
2024-07-26,14750,15400,14750,15250,1184600,1,0.0656,-5.3747
2024-07-29,15450,15450,15000,15250,691300,1,-0.0579,-5.4326
2024-07-30,15250,15750,14850,15200,1388400,1,-0.2918,-5.7244
2024-07-31,15000,15150,14700,14900,1547400,1,-0.5495,-6.2739
2024-08-01,14900,15000,14150,14250,1797000,1,-0.8405,-7.1144
2024-08-02,13950,14600,13900,14600,1220500,1,-0.3387,-7.4531
2024-08-05,14350,14400,13600,13600,2111100,1,-0.8174,-8.2705
2024-08-06,14200,14200,13650,13950,936900,1,-0.1176,-8.3881
2024-08-07,14050,14050,13600,13850,435900,1,-0.0148,-8.4029
2024-08-08,13900,14150,13700,13850,583200,1,-0.0683,-8.4712
2024-08-09,13950,14200,13850,14050,555400,1,-0.0153,-8.4865
2024-08-12,14050,14100,13850,14100,565700,1,-0.0283,-8.5148
