t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-08,22850,23100,22750,22800,8879546,1,0.407,0.407
2024-07-09,22950,23700,22900,23700,19194749,1,6.9126,7.3196
2024-07-10,23700,23800,23350,23350,6635193,1,-2.3016,5.018
2024-07-11,23650,23650,23200,23200,6543286,1,-1.2956,3.7224
2024-07-12,23300,23350,22900,23000,7333382,1,-1.8114,1.911
2024-07-15,23200,23500,22850,23500,8935746,1,-2.3118,-0.4008
2024-07-16,23800,24100,23000,23000,21087997,1,-1.1531,-1.5539
2024-07-17,23300,23300,21400,22100,13172321,1,-3.376,-4.9299
2024-07-18,22400,22700,21900,22700,10648831,1,-2.0215,-6.9514
2024-07-19,22700,22800,22050,22100,9858350,1,-3.8438,-10.7952
2024-07-22,22000,22450,21950,22100,9486410,1,-1.0665,-11.8617
2024-07-23,22300,22350,21850,21850,8866472,1,-4.3971,-16.2588
2024-07-24,21650,22500,21600,22500,10239822,1,0.2262,-16.0326
2024-07-25,22600,22600,22100,22400,5307041,1,-0.1541,-16.1867
2024-07-26,22600,22600,22300,22600,4889200,1,-0.6283,-16.815
2024-07-29,22700,22750,22550,22550,6796900,1,-2.021,-18.836
2024-07-30,22950,23050,22500,22750,14253100,1,-1.3816,-20.2176
2024-07-31,22900,23050,22550,22750,11478800,1,-0.2102,-20.4278
2024-08-01,22900,22900,21500,21500,14355700,1,-4.966,-25.3938
2024-08-02,21200,21600,20900,21500,8968600,1,-1.9395,-27.3333
2024-08-05,21400,21950,20300,20300,12780800,1,-4.0394,-31.3727
2024-08-06,20700,20950,20350,20850,4807400,1,0.2296,-31.1431
2024-08-07,21000,21200,20850,21050,5020300,1,0.0078,-31.1353
2024-08-08,21000,21150,20500,20800,7171900,1,-2.241,-33.3763
2024-08-09,20950,21450,20850,21450,5646200,1,0.5648,-32.8115
2024-08-12,21950,22050,21400,21500,12012000,1,-2.1611,-34.9726
