t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,28900,30800,28800,30800,1172689,1,0.1119,0.1119
2024-02-16,30200,31950,30200,31000,1078236,1,-0.1753,-0.0634
2024-02-19,31000,31950,30800,30950,613671,1,-0.2314,-0.2948
2024-02-20,30650,31400,30650,31350,898648,1,-0.0881,-0.3829
2024-02-21,31700,31750,30900,31450,831475,1,-0.0619,-0.4448
2024-02-22,31500,32500,31100,32500,1253535,1,0.0663,-0.3785
2024-02-23,32500,32750,31100,31400,1074132,1,-0.2395,-0.618
2024-02-26,31400,32000,31100,32000,1012706,1,-0.0983,-0.7163
2024-02-27,32200,32549,31550,32400,1245052,1,-0.0471,-0.7634
2024-02-28,32400,32400,31550,32100,794414,1,-0.0553,-0.8187
2024-02-29,32350,32350,31200,31950,965781,1,-0.3055,-1.1242
2024-03-01,31700,32000,31300,31950,667342,1,-0.0749,-1.1991
2024-03-04,31900,33000,31900,32800,1633276,1,0.0874,-1.1117
2024-03-05,32700,33000,32299,32800,755763,1,-0.0415,-1.1532
2024-03-06,32700,32700,31700,32000,620895,1,-0.2647,-1.4179
2024-03-07,32000,32800,31650,32450,1420423,1,0.0802,-1.3377
2024-03-08,32900,33000,31450,31600,1300396,1,-0.5549,-1.8926
2024-03-11,31500,32000,30850,31400,690326,1,-0.1762,-2.0688
2024-03-12,31400,32500,30600,32400,1436823,1,0.1573,-1.9115
2024-03-13,32650,34650,32500,34650,3255049,1,0.4041,-1.5074
2024-03-14,35000,37050,35000,36350,2136110,1,0.2528,-1.2546
2024-03-15,36050,38300,35500,38300,2272543,1,0.4637,-0.7909
2024-03-18,38500,39050,35650,38000,2858057,1,-0.3592,-1.1501
2024-03-19,37700,38000,36550,37000,1512093,1,-0.3621,-1.5122
2024-03-20,36550,37750,36200,37600,1073633,1,-0.0727,-1.5849
2024-03-21,37900,38200,37350,38150,1931888,1,0.2096,-1.3753
2024-03-22,38600,38650,37600,38000,1186095,1,-0.3948,-1.7701
2024-03-25,38150,38150,35950,36250,1508067,1,-0.8495,-2.6196
2024-03-26,36250,37350,36200,37000,796602,1,0.113,-2.5066
2024-03-27,37000,38200,36800,38000,1235780,1,0.0563,-2.4503
2024-03-28,38000,39500,37500,39500,1764464,1,0.3742,-2.0761
2024-03-29,39500,39500,38400,38550,1219948,1,-0.1754,-2.2515
2024-04-01,38400,38400,37150,37750,1275345,1,-0.2293,-2.4808
2024-04-02,37500,38450,37100,38450,1005261,1,0.0656,-2.4152
2024-04-03,38450,38450,37450,37500,1441586,1,-0.4744,-2.8896
2024-04-04,37500,37500,36500,37400,1021740,1,-0.1991,-3.0887
2024-04-05,37000,37200,36150,36200,919355,1,-0.2239,-3.3126
2024-04-08,36200,36300,33700,33700,2560325,1,-0.9246,-4.2372
