t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,68170,68560,67390,67680,744942,1,-0.0333,-0.0333
2024-02-16,67680,68070,67390,67970,966744,1,0.0987,0.0654
2024-02-19,68260,69430,68260,68850,2038941,1,0.0008,0.0662
2024-02-20,69140,70110,68360,70110,1487369,1,0.3597,0.4259
2024-02-21,70020,70020,69040,69820,960535,1,0.0602,0.4861
2024-02-22,70020,70110,68750,69430,507471,1,-0.143,0.3431
2024-02-23,70020,70020,67680,67970,1136963,1,-0.4908,-0.1477
2024-02-26,68170,72550,67680,72160,3256322,1,0.9468,0.7991
2024-02-27,73230,73230,71870,72160,1800898,1,0.0193,0.8184
2024-02-28,72350,74300,72060,73040,1998664,1,-0.1167,0.7017
2024-02-29,73420,74010,72060,74010,1597761,1,-0.0101,0.6916
2024-03-01,74400,79070,73230,78390,2991817,1,1.1212,1.8128
2024-03-04,79460,79460,77420,78290,2142420,1,0.0301,1.8429
2024-03-05,78290,78290,77030,77900,1572674,1,0.051,1.8939
2024-03-06,77710,77710,75470,76740,2201415,1,-0.6508,1.2431
2024-03-07,76740,78200,75960,77900,2343589,1,0.375,1.6181
2024-03-08,77900,78590,76150,76250,2474412,1,-0.0506,1.5675
2024-03-11,76440,76640,73810,75570,2381204,1,-0.9224,0.6451
2024-03-12,75570,77810,74980,76350,1870355,1,0.4276,1.0727
2024-03-13,77220,80140,76740,78490,2527605,1,0.3419,1.4146
2024-03-14,79560,80050,78100,78490,1815606,1,0.0505,1.4651
2024-03-15,78200,78390,77220,77900,1794924,1,-0.1967,1.2684
2024-03-18,77610,77610,72740,75860,3036602,1,-0.6091,0.6593
2024-03-19,75080,75960,74010,74980,1983479,1,-0.6261,0.0332
2024-03-20,74980,76540,74300,75960,2052338,1,0.0378,0.071
2024-03-21,77510,77510,75570,76350,1022710,1,-0.2788,-0.2078
2024-03-22,76930,77120,75660,76540,1198833,1,-0.1544,-0.3622
2024-03-25,76830,77510,75570,76050,1315130,1,-0.136,-0.4982
2024-03-26,75960,76930,75660,76830,824745,1,0.1244,-0.3738
2024-03-27,77220,78880,76350,77900,1633544,1,0.3423,-0.0315
2024-03-28,78780,78780,77030,77900,806204,1,-0.1683,-0.1998
2024-03-29,78100,78100,77220,77610,671317,1,0.019,-0.1808
2024-04-01,77420,78880,76930,77420,1179727,1,0.0215,-0.1593
2024-04-02,78100,78100,77030,78100,836548,1,0.0267,-0.1326
2024-04-03,78100,81120,77510,78390,2769758,1,0.2408,0.1082
2024-04-04,78880,78880,77220,77710,742470,1,-0.037,0.0712
2024-04-05,77220,77510,75960,75960,1263113,1,-0.2815,-0.2103
2024-04-08,76050,76640,74980,75470,909669,1,-0.281,-0.4913
2024-04-09,76250,76540,75370,76540,650121,1,0.0985,-0.3928
2024-04-10,76640,77810,76250,76930,902206,1,0.0741,-0.3187
2024-04-11,75470,77220,75470,77220,644525,1,0.0335,-0.2852
2024-04-12,78000,80240,77420,79560,2691067,1,0.5337,0.2485
2024-04-15,78980,80140,74980,76250,1962697,1,-0.2174,0.0311
2024-04-16,76250,76930,74590,76350,2020997,1,-0.3526,-0.3215
2024-04-17,76930,79170,76830,78390,3456860,1,0.359,0.0375
2024-04-19,77900,78680,76350,77900,1665237,1,0.0794,0.1169
2024-04-22,78880,78880,77420,77710,865182,1,-0.1462,-0.0293
2024-04-23,78390,78390,75660,76930,1653204,1,-0.861,-0.8903
2024-04-25,79360,79360,78000,79270,1285414,1,0.042,-0.8483
2024-04-26,79270,84230,78680,81990,5626362,1,2.1625,1.3142
2024-05-02,82580,82580,81120,81990,1654622,1,-0.493,0.8212
2024-05-03,82770,83260,80340,83260,4047102,1,-0.4141,0.4071
2024-05-06,83070,83070,81510,81990,1675786,1,-0.3642,0.0429
2024-05-07,82090,85210,81120,82480,2710611,1,-0.6415,-0.5986
2024-05-08,81800,83650,81310,82680,1889590,1,-0.6866,-1.2852
2024-05-09,82680,84040,82090,82090,2113540,1,-0.5236,-1.8088
2024-05-10,83260,83260,81210,81410,1528567,1,-0.5266,-2.3354
2024-05-13,81990,81990,79360,79950,2525433,1,-1.0931,-3.4285
2024-05-14,80240,81210,79560,80140,1191163,1,-0.2232,-3.6517
2024-05-15,80730,81510,80050,80830,1561475,1,-0.0135,-3.6652
2024-05-16,81510,83070,81210,82190,2154207,1,0.126,-3.5392
2024-05-17,82480,83160,81900,82580,1475789,1,-0.3256,-3.8648
2024-05-20,83070,83260,81700,81700,1643147,1,-0.375,-4.2398
2024-05-21,81600,83070,80920,83070,1674276,1,0.0658,-4.174
2024-05-22,83750,84040,81310,81800,1683327,1,-0.5535,-4.7275
2024-05-23,81600,83260,81310,83260,1531563,1,-0.1664,-4.8939
2024-05-24,82770,82870,79360,81310,2197368,1,-0.8991,-5.793
2024-05-27,81310,81310,80340,80730,925649,1,-0.0372,-5.8302
2024-05-28,80830,81800,80530,81020,1617831,1,-0.2567,-6.0869
2024-05-29,81020,82290,79850,80440,1487371,1,-0.4767,-6.5636
2024-05-30,79950,82290,79850,80730,2862506,1,-0.2419,-6.8055
2024-05-31,81120,82090,81120,81600,1135573,1,-0.2066,-7.0121
2024-06-03,82290,82290,80830,81120,1670389,1,-0.156,-7.1681
2024-06-04,81600,83260,81020,82290,2562207,1,0.0994,-7.0687
2024-06-05,82770,82970,81800,81800,1703617,1,-0.2018,-7.2705
2024-06-06,82680,82680,79950,81800,1852780,1,-0.5568,-7.8273
2024-06-07,81800,82770,80730,81210,2037578,1,-0.4336,-8.2609
2024-06-10,81800,85500,81800,84620,3775627,1,1.0018,-7.2591
2024-06-11,84720,85010,82870,83750,1905910,1,-0.5438,-7.8029
2024-06-12,83260,83650,82090,83450,1713241,1,-0.4497,-8.2526
2024-06-13,83550,83550,82480,82770,1023015,1,-0.2749,-8.5275
2024-06-14,82580,83550,80830,80830,2065658,1,-0.8116,-9.3391
2024-06-17,80920,82680,80830,81600,1105696,1,-0.1767,-9.5158
2024-06-18,81800,81900,81410,81410,857542,1,-0.292,-9.8078
2024-06-19,81410,82770,81210,81310,1355685,1,-0.3378,-10.1456
2024-06-20,81310,81700,80920,81020,1000353,1,-0.3281,-10.4737
2024-06-21,81310,82290,81120,81210,977476,1,-0.1852,-10.6589
2024-06-24,80920,81510,79750,79850,1929978,1,-0.6362,-11.2951
2024-06-25,79850,81990,79660,80830,1089789,1,-0.0034,-11.2985
2024-06-26,80830,82290,79850,81800,2136632,1,-0.8776,-12.1761
2024-06-27,81310,81310,80340,81210,986959,1,0.1271,-12.049
2024-06-28,81410,81990,80340,80830,1658955,1,-0.075,-12.124
2024-07-01,80830,80830,79660,79850,1184150,1,-0.2209,-12.3449
2024-07-02,79950,80920,79360,79360,1464706,1,-0.6029,-12.9478
2024-07-03,79460,80240,79270,80050,1200162,1,0.0895,-12.8583
2024-07-04,80530,80630,79850,79850,726692,1,-0.1491,-13.0074
2024-07-05,80630,81410,79850,81410,1862264,1,0.447,-12.5604
2024-07-09,81900,83160,80920,82770,2351193,1,0.3807,-12.1797
2024-07-10,82870,82970,81800,81900,1232526,1,-0.3727,-12.5524
2024-07-11,81990,82480,81510,81510,782318,1,-0.2708,-12.8232
2024-07-12,81600,82090,81020,81800,1043875,1,-0.1743,-12.9975
2024-07-15,82500,82500,81200,81300,850503,1,-0.3477,-13.3452
