t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-08,35350,36500,35100,36500,6639629,1,1.3929,1.3929
2024-07-09,37400,38500,37150,38000,8139491,1,0.8201,2.213
2024-07-10,38150,38300,37000,37000,5597548,1,-0.7321,1.4809
2024-07-11,37500,37800,36650,36950,3803036,1,-0.295,1.1859
2024-07-12,36950,38200,36700,37900,5395224,1,0.3555,1.5414
2024-07-15,37900,39000,37600,38500,4634143,1,0.8579,2.3993
2024-07-16,38500,38750,37800,38200,3258070,1,-0.7283,1.671
2024-07-17,38200,38200,35550,35550,10721086,1,-3.2484,-1.5774
2024-07-18,35550,36450,34800,36050,3849734,1,-0.1264,-1.7038
2024-07-19,36050,36050,34450,34500,5134806,1,-2.0416,-3.7454
2024-07-22,34000,34100,32600,32750,6235952,1,-1.2218,-4.9672
2024-07-23,33000,33450,30600,30600,3979857,1,-0.8574,-5.8246
2024-07-24,30600,32700,30100,32700,5007335,1,0.6185,-5.2061
2024-07-25,32700,33050,32049,33000,1940394,1,-0.4487,-5.6548
2024-07-26,33050,33850,32900,33100,2930200,1,-0.2127,-5.8675
2024-07-29,33500,33500,33100,33500,2070300,1,-0.4571,-6.3246
2024-07-30,33700,33800,32500,33250,2018800,1,-0.5796,-6.9042
2024-07-31,33250,33750,32850,33000,2859400,1,-0.7079,-7.6121
2024-08-01,33200,33250,30950,31400,3734300,1,-1.593,-9.2051
2024-08-02,30700,32400,30700,32350,2308900,1,0.1582,-9.0469
2024-08-05,31700,32299,30100,30100,4195100,1,-1.3602,-10.4071
2024-08-06,31300,31750,30400,31350,3084900,1,0.6669,-9.7402
2024-08-07,31500,32650,31300,32549,4143000,1,0.0838,-9.6564
2024-08-08,32100,32800,31650,31900,3006900,1,-0.4387,-10.0951
2024-08-09,32600,32800,32250,32500,2928100,1,0.7477,-9.3474
2024-08-12,32549,33450,32400,33200,2727400,1,0.5065,-8.8409
