t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,13550,13750,13150,13450,13830574,1,-2.9629,-2.9629
2024-02-16,13500,13550,12600,12750,30645318,1,-11.0415,-14.0044
2024-02-19,12750,13200,12300,13000,19613934,1,-0.808,-14.8124
2024-02-20,13000,13100,12550,12600,11198493,1,-3.4752,-18.2876
2024-02-21,12600,12950,12550,12800,9165723,1,0.1467,-18.1409
2024-02-22,12700,13100,12600,12600,12961999,1,-1.5243,-19.6652
2024-02-23,12650,12800,12200,12200,13339803,1,-5.3601,-25.0253
2024-02-26,12250,12650,12100,12600,12001717,1,1.2101,-23.8152
2024-02-27,12700,12950,12500,12650,8438955,1,-0.4303,-24.2455
2024-02-28,12800,12850,12500,12550,8035101,1,-0.058,-24.3035
2024-02-29,12600,12800,12250,12800,16404041,1,-0.3672,-24.6707
2024-03-01,12850,12900,12650,12700,6680068,1,-0.0985,-24.7692
2024-03-04,12750,13050,12600,12800,16457987,1,3.8189,-20.9503
2024-03-05,12900,13200,12600,13200,25917428,1,9.8493,-11.101
2024-03-06,13300,13300,12850,12900,10763783,1,-1.6371,-12.7381
2024-03-07,12900,13150,12800,12950,12929724,1,-2.8166,-15.5547
2024-03-08,12950,13050,12450,12550,21635635,1,-6.5948,-22.1495
2024-03-11,12600,12600,12200,12200,17679504,1,-5.0622,-27.2117
2024-03-12,12150,12600,12100,12400,14823532,1,2.3147,-24.897
2024-03-13,12500,12550,12300,12450,8592843,1,-1.779,-26.676
2024-03-14,12550,12800,12300,12500,16444100,1,-1.9367,-28.6127
2024-03-15,12500,12550,12300,12300,9093756,1,-2.5412,-31.1539
2024-03-18,12300,12400,11450,11750,27902982,1,-9.0872,-40.2411
2024-03-19,11750,12000,11650,11850,6461862,1,-1.383,-41.6241
2024-03-20,11950,12650,11750,12650,27186829,1,10.1762,-31.4479
2024-03-21,12850,12850,12600,12700,10428439,1,-0.541,-31.9889
2024-03-22,12750,12800,12350,12450,12501687,1,-4.0549,-36.0438
2024-03-25,12500,12600,12350,12450,8917562,1,-1.4505,-37.4943
2024-03-26,12400,12800,12300,12600,7382507,1,0.7835,-36.7108
2024-03-27,12650,12650,12450,12550,4121646,1,-1.8779,-38.5887
2024-03-28,12550,13050,12550,12950,22879640,1,8.2601,-30.3286
2024-03-29,12850,13200,12750,13050,14471715,1,0.8782,-29.4504
2024-04-01,13050,13100,12650,12650,13132685,1,-2.7624,-32.2128
