t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,35650,36090,34830,34960,3099169,1,-0.8766,-0.8766
2024-02-16,34780,36040,34780,36040,3540793,1,0.4035,-0.4731
2024-02-19,36040,36780,35700,35910,2723464,1,-0.3007,-0.7738
2024-02-20,36090,36090,35350,35960,2827049,1,-0.7399,-1.5137
2024-02-21,36130,36700,35570,35870,2842615,1,-0.2399,-1.7536
2024-02-22,35870,36260,35780,35910,1615670,1,-0.104,-1.8576
2024-02-23,35960,36870,35220,35220,4622905,1,-0.3372,-2.1948
2024-02-26,35260,37390,35130,37130,4839303,1,1.3276,-0.8672
2024-02-27,37390,37390,36870,37130,2111390,1,-0.3072,-1.1744
2024-02-28,37310,37830,36830,37130,2675939,1,-0.3998,-1.5742
2024-02-29,37390,37570,35960,36480,5067359,1,-1.8468,-3.421
2024-03-01,36480,37830,36220,37310,4342102,1,0.5222,-2.8988
2024-03-04,37480,38000,36910,36960,2487688,1,-0.5986,-3.4974
2024-03-05,37040,37350,36520,37310,2525931,1,-0.3541,-3.8515
2024-03-06,36960,37220,36310,36570,2202455,1,-0.8781,-4.7296
2024-03-07,36520,36830,36260,36610,2072011,1,-0.545,-5.2746
2024-03-08,36610,37390,36180,36830,3730420,1,-0.0313,-5.3059
2024-03-11,36830,37570,36310,36740,3763622,1,-0.0966,-5.4025
2024-03-12,36740,38260,36520,37960,7591060,1,1.5951,-3.8074
2024-03-13,38180,39050,37780,38440,3419612,1,0.1839,-3.6235
2024-03-14,38520,39960,38260,39130,5020112,1,0.3819,-3.2416
2024-03-15,38780,38910,37870,38440,3805292,1,-1.0108,-4.2524
2024-03-18,38390,38440,35830,36700,5849254,1,-2.5149,-6.7673
2024-03-19,36780,37570,36520,36700,1187885,1,-0.2277,-6.995
2024-03-20,36780,37350,36440,37310,1392215,1,0.2011,-6.7939
2024-03-21,37390,37700,37260,37480,1988989,1,-0.238,-7.0319
2024-03-22,37740,38130,37220,37390,2651777,1,-0.5875,-7.6194
2024-03-25,37220,37480,36700,36910,2772905,1,-1.2754,-8.8948
2024-03-26,36700,37390,36520,37180,1454565,1,-0.1022,-8.997
2024-03-27,37480,38130,37180,37870,2656406,1,0.3878,-8.6092
2024-03-28,38220,38220,37570,37870,1563408,1,-0.4599,-9.0691
2024-03-29,37830,37870,37180,37310,1769198,1,-0.9492,-10.0183
2024-04-01,36960,37390,36870,37130,1486188,1,-0.5383,-10.5566
2024-04-02,36960,37740,36740,37740,1966419,1,-0.0048,-10.5614
2024-04-03,37570,38610,37570,37570,4289234,1,-0.0775,-10.6389
2024-04-04,37480,37650,36960,37040,1720588,1,-0.5822,-11.2211
2024-04-05,36520,36910,36090,36090,2444590,1,-0.6976,-11.9187
2024-04-08,36090,36440,35570,35570,1967850,1,-0.7421,-12.6608
2024-04-09,35650,36090,35260,36040,1169076,1,-0.2248,-12.8856
2024-04-10,36520,36520,35780,35780,726868,1,-0.2118,-13.0974
2024-04-11,35390,35650,35260,35650,1345587,1,-0.3394,-13.4368
2024-04-12,36000,36390,35650,36220,1155191,1,-0.0064,-13.4432
2024-04-15,36180,36260,33700,33700,2557595,1,-1.1036,-14.5468
2024-04-16,33700,33740,32259,33260,2876353,1,-0.4534,-15.0002
2024-04-17,33390,33830,33180,33350,1603087,1,-0.1941,-15.1943
2024-04-19,32960,33650,32610,33090,2187269,1,0.2531,-14.9412
2024-04-22,33480,34390,33390,34390,1735405,1,0.6208,-14.3204
2024-04-23,34390,34700,33960,34480,1474377,1,-0.0791,-14.3995
2024-04-25,35220,35520,34910,35480,844137,1,0.011,-14.3885
2024-04-26,35090,36040,34870,35830,1637504,1,0.5153,-13.8732
2024-05-02,35830,35830,34780,35260,852721,1,-0.1617,-14.0349
2024-05-03,35260,35570,34780,34870,1307892,1,-0.3369,-14.3718
2024-05-06,35480,36960,35130,36960,3110597,1,1.2461,-13.1257
