t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,26330,26330,25710,25860,6292925,1,-2.3667,-2.3667
2024-02-16,25900,26140,25710,25810,6883635,1,-1.5393,-3.906
2024-02-19,25810,25860,25380,25660,10755421,1,-3.1382,-7.0442
2024-02-20,25860,26050,25570,25660,7356966,1,-0.3811,-7.4253
2024-02-21,25620,25760,25380,25710,6733702,1,-1.4191,-8.8444
2024-02-22,25660,25710,25420,25420,4811476,1,-0.9113,-9.7557
2024-02-23,25570,26000,25180,25330,13405167,1,-0.9785,-10.7342
2024-02-26,25520,27100,25470,27100,31999431,1,11.6657,0.9315
2024-02-27,27290,27630,27000,27100,8414802,1,0.4034,1.3349
2024-02-28,27150,27580,26670,27290,12629471,1,-0.5669,0.768
2024-02-29,27480,27630,26670,26760,16334977,1,-3.0762,-2.3082
2024-03-01,27150,27770,26910,27100,9266314,1,0.262,-2.0462
2024-03-04,27480,27720,27100,27290,8880191,1,0.565,-1.4812
2024-03-05,27200,27870,26960,27770,9814244,1,2.4044,0.9232
2024-03-06,27670,27870,27050,27340,7542821,1,-1.6653,-0.7421
2024-03-07,27200,27960,27200,27770,10510503,1,-0.1977,-0.9398
2024-03-08,27960,28110,27100,27100,11272618,1,-4.1603,-5.1001
2024-03-11,27150,27150,26330,26620,8421299,1,-2.2954,-7.3955
2024-03-12,26620,26960,26330,26860,7018659,1,-1.4859,-8.8814
2024-03-13,26960,27870,26720,27820,10747061,1,2.1182,-6.7632
2024-03-14,28010,28110,27200,27440,12702406,1,-3.708,-10.4712
2024-03-15,27290,27390,26810,27100,10767587,1,-3.5904,-14.0616
2024-03-18,27150,27240,25380,25950,16190321,1,-3.9069,-17.9685
2024-03-19,26000,26380,25900,26240,3957289,1,-0.1974,-18.1659
2024-03-20,26290,26760,26000,26760,6136297,1,0.2909,-17.875
2024-03-21,27150,27480,26960,27050,9362539,1,1.6552,-16.2198
2024-03-22,27240,27720,27100,27390,11757621,1,0.6465,-15.5733
2024-03-25,27480,27630,26810,26910,8079340,1,-2.5195,-18.0928
2024-03-26,26720,27390,26530,27100,6668830,1,-0.1913,-18.2841
2024-03-27,27390,27770,27100,27770,7478030,1,0.5034,-17.7807
2024-03-28,28250,28780,28150,28780,17341807,1,4.8869,-12.8938
2024-03-29,28730,28780,28250,28250,7328654,1,-0.8812,-13.775
2024-04-01,28250,28730,27770,28490,9569680,1,-1.0904,-14.8654
