t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,22720,22860,22330,22720,6882170,1,0.0167,0.0167
2024-02-16,22670,22720,22280,22380,6116225,1,-1.5074,-1.4907
2024-02-19,22380,22430,22040,22430,6621330,1,-0.0782,-1.5689
2024-02-20,22380,22720,22090,22670,6845279,1,0.631,-0.9379
2024-02-21,22620,22810,22280,22570,6165942,1,-0.4696,-1.4075
2024-02-22,22570,22570,22000,22000,7168640,1,-1.3157,-2.7232
2024-02-23,22000,22140,21610,21610,7481573,1,0.1099,-2.6133
2024-02-26,21610,22000,21560,21800,5607504,1,3.2128,0.5995
2024-02-27,21800,22090,21660,21800,6316270,1,0.1949,0.7944
2024-02-28,21800,22280,21800,22280,6191898,1,1.5961,2.3905
2024-02-29,22280,22480,22240,22380,6026614,1,1.7948,4.1853
2024-03-01,22380,22430,22040,22380,6107711,1,0.9927,5.178
2024-03-04,22380,22430,22190,22380,5919766,1,1.5069,6.6849
2024-03-05,22380,22570,22090,22570,6843383,1,1.5325,8.2174
2024-03-06,22430,22570,22040,22520,4534879,1,0.7122,8.9296
2024-03-07,22190,22480,22190,22240,5643237,1,0.2344,9.164
2024-03-08,22240,22240,21850,22090,6186277,1,-1.1853,7.9787
2024-03-11,22090,22240,21850,22190,6434293,1,0.9769,8.9556
2024-03-12,22140,22140,21560,22040,6584251,1,-0.5033,8.4523
2024-03-13,22040,22280,21710,22190,6351175,1,1.4803,9.9326
2024-03-14,22240,22240,21850,22040,5687855,1,1.5031,11.4357
2024-03-15,21900,22190,21760,22090,5972716,1,1.5597,12.9954
2024-03-18,22090,22140,21420,21420,6627021,1,1.3788,14.3742
2024-03-19,21420,21470,20700,21470,8888588,1,-0.4017,13.9725
2024-03-20,21520,21900,20940,21710,6223709,1,1.477,15.4495
2024-03-21,21760,22960,21660,22960,11197599,1,6.804,22.2535
2024-03-22,22960,23000,22720,22860,6535355,1,0.9798,23.2333
2024-03-25,22860,22860,22430,22620,6287224,1,-0.4249,22.8084
2024-03-26,22570,23240,22480,23240,7239046,1,2.6181,25.4265
2024-03-27,23340,23530,23000,23200,5712594,1,0.2571,25.6836
2024-03-28,23050,23290,23050,23290,5405974,1,0.3075,25.9911
2024-03-29,23340,23340,22860,23150,6437514,1,-0.0968,25.8943
2024-04-01,23150,23200,22720,23050,6008060,1,1.5685,27.4628
2024-04-02,22760,23000,22570,22960,5776739,1,-0.2396,27.2232
2024-04-03,22910,22960,22430,22480,6573694,1,-2.1684,25.0548
2024-04-04,22480,22860,22430,22430,6109725,1,0.4508,25.5056
2024-04-05,22380,22760,22280,22430,6318477,1,-0.6747,24.8309
2024-04-08,22430,23050,22380,22960,8079483,1,-0.9691,23.8618
2024-04-09,22960,23100,22760,23000,5819042,1,0.2793,24.1411
2024-04-10,23050,23100,22670,23000,6267643,1,-0.241,23.9001
2024-04-11,22760,23050,22570,23050,5639310,1,0.4719,24.372
2024-04-12,23050,23440,22720,23340,8525161,1,2.0057,26.3777
2024-04-15,23290,23390,22380,22570,9743888,1,-1.4146,24.9631
2024-04-16,22570,22720,22090,22570,7198387,1,-1.3263,23.6368
2024-04-17,22620,22620,21520,22090,8716612,1,-1.5671,22.0697
2024-04-19,21800,21850,21030,21370,9471307,1,0.694,22.7637
2024-04-22,21420,21760,21320,21520,8546451,1,2.4684,25.2321
2024-04-23,21320,21560,20750,21320,8712619,1,-1.9571,23.275
2024-04-25,21520,21760,21370,21610,7368721,1,2.1931,25.4681
2024-04-26,21610,22670,21470,22670,9979313,1,3.5204,28.9885
2024-05-02,22670,22720,22430,22720,6125078,1,-0.3815,28.607
2024-05-03,22720,23480,22720,23480,11393983,1,0.0323,28.6393
2024-05-06,23530,23530,22910,23340,9086749,1,-1.0377,27.6016
2024-05-07,23440,23440,22910,23340,6998687,1,0.3391,27.9407
2024-05-08,23290,23340,22910,23150,6260999,1,0.3013,28.242
2024-05-09,23150,23240,22620,22760,7126009,1,-0.0263,28.2157
2024-05-10,22810,22860,22480,22760,6755071,1,0.0679,28.2836
2024-05-13,22760,22810,22330,22330,6529690,1,-0.0678,28.2158
2024-05-14,22380,22760,22380,22380,6838721,1,-0.1298,28.086
2024-05-15,22430,22670,22380,22570,6984646,1,0.215,28.301
2024-05-16,22670,23290,22620,23240,9091371,1,2.8979,31.1989
2024-05-17,23290,23580,23100,23340,8262000,1,1.0225,32.2214
2024-05-20,23390,24110,23390,23870,10560882,1,1.779,34.0004
2024-05-21,23870,23920,23440,23720,6286971,1,-1.7653,32.2351
2024-05-22,23770,23770,23390,23390,5715498,1,-0.7938,31.4413
2024-05-23,23440,23720,23050,23720,5825200,1,-0.1107,31.3306
2024-05-24,23530,23770,23050,23240,7297631,1,-2.5968,28.7338
2024-05-27,23240,23340,22760,22860,6143845,1,-0.561,28.1728
2024-05-28,22960,23200,22620,23200,7229893,1,-1.5531,26.6197
