t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,28950,29000,28620,28900,1494704,1,-0.0834,-0.0834
2024-02-16,29040,29700,29000,29280,2629852,1,0.1431,0.0597
2024-02-19,29320,29420,28950,29230,1349014,1,-0.3101,-0.2504
2024-02-20,29420,30070,29230,29740,3592240,1,0.4571,0.2067
2024-02-21,29930,30070,29510,29600,1805516,1,-0.3133,-0.1066
2024-02-22,29600,29790,29230,29230,1644440,1,-0.6299,-0.7365
2024-02-23,29320,29420,28390,28390,3675223,1,-1.9355,-2.672
2024-02-26,28480,28720,28200,28580,1336300,1,-0.1171,-2.7891
2024-02-27,28760,29090,28530,28950,1541401,1,0.1798,-2.6093
2024-02-28,29180,29180,28720,28760,1127374,1,-0.4193,-3.0286
2024-02-29,29180,29180,28670,28860,2851197,1,0.1194,-2.9092
2024-03-01,28950,29040,28720,29000,1721388,1,-0.2577,-3.1669
2024-03-04,29460,30160,29460,29700,5159457,1,0.7562,-2.4107
2024-03-05,29790,29790,29420,29600,1566190,1,-0.0196,-2.4303
2024-03-06,29790,29840,29000,29180,2380728,1,-0.6798,-3.1101
2024-03-07,29090,29230,28810,29040,2281413,1,-0.6462,-3.7563
2024-03-08,29090,29420,28580,28580,2869364,1,-1.2106,-4.9669
2024-03-11,28480,28950,26620,28200,2622867,1,-1.1778,-6.1447
2024-03-12,28300,28390,27830,28020,2386204,1,-0.4977,-6.6424
2024-03-13,28060,28670,27920,28530,2677875,1,0.3193,-6.3231
2024-03-14,28860,29230,28670,29140,3045282,1,0.706,-5.6171
2024-03-15,29420,31150,29040,31150,15090114,1,2.3016,-3.3155
2024-03-18,31940,32870,30730,32220,10382245,1,1.8814,-1.4341
2024-03-19,32310,32500,31190,31290,6043827,1,-0.7164,-2.1505
2024-03-20,31330,32409,30820,31990,6243536,1,1.3849,-0.7656
2024-03-21,32310,32870,31660,32409,6268851,1,0.9067,0.1411
2024-03-22,32830,32920,31940,32500,7100382,1,-0.5111,-0.37
2024-03-25,32500,33150,31470,31570,5887925,1,-1.0936,-1.4636
2024-03-26,31570,32409,31190,32220,3566060,1,0.1525,-1.3111
2024-03-27,32310,33150,32220,32500,4539702,1,0.1524,-1.1587
2024-03-28,32689,32780,31990,32170,2905055,1,-0.7514,-1.9101
2024-03-29,32310,33200,31940,32640,5748316,1,0.566,-1.3441
2024-04-01,32640,33250,32409,33060,4896000,1,0.6501,-0.694
2024-04-02,32830,33200,32450,32870,3553176,1,-0.3142,-1.0082
2024-04-03,32870,33200,31750,31750,6349505,1,-2.4627,-3.4709
2024-04-04,31610,32220,31330,31660,4017550,1,-0.2647,-3.7356
2024-04-05,31290,31990,30820,30820,4641716,1,-1.0567,-4.7923
2024-04-08,30820,31010,30400,30490,3011792,1,-0.2557,-5.048
2024-04-09,30490,31010,30070,30960,2288605,1,0.0178,-5.0302
2024-04-10,31240,31240,30400,30400,1478768,1,-0.4886,-5.5188
2024-04-11,29840,30680,29700,30160,2727436,1,-0.1891,-5.7079
2024-04-12,30590,30770,30310,30540,2123998,1,-0.3777,-6.0856
2024-04-15,30540,31010,28440,28480,5670137,1,-1.8499,-7.9355
2024-04-16,28860,29180,27970,29140,5271658,1,0.4909,-7.4446
2024-04-17,29180,29320,28480,28760,1969373,1,-0.6683,-8.1129
2024-04-19,28020,28390,27130,27130,4586507,1,-1.6836,-9.7965
2024-04-22,27740,28760,27550,28580,2877323,1,0.3481,-9.4484
2024-04-23,28580,28670,27780,28200,1821155,1,-0.3905,-9.8389
2024-04-25,28480,28760,27880,28760,3759611,1,-0.7679,-10.6068
2024-04-26,28900,29300,28500,28500,1506821,1,-0.2622,-10.869
2024-05-02,28500,28800,27700,28200,974653,1,-0.4339,-11.3029
2024-05-03,28650,28650,27950,28100,989569,1,-0.1915,-11.4944
2024-05-06,28200,28850,28200,28850,1293831,1,0.3429,-11.1515
2024-05-07,29000,29150,28750,28800,920691,1,-0.2116,-11.3631
2024-05-08,28500,29700,28200,29350,1493684,1,0.2001,-11.163
2024-05-09,29600,29700,28950,29000,816799,1,-0.4055,-11.5685
2024-05-10,29000,29300,28650,28900,784095,1,-0.241,-11.8095
2024-05-13,28950,29250,28650,28950,962029,1,-0.2911,-12.1006
2024-05-14,29050,29250,28950,29000,723871,1,-0.0151,-12.1157
2024-05-15,29000,29350,28950,29300,901151,1,0.0766,-12.0391
2024-05-16,29600,29950,29300,29350,1533966,1,-0.4035,-12.4426
2024-05-17,29300,31000,29300,30750,3338254,1,1.0806,-11.362
2024-05-20,31000,31000,30400,30800,1641223,1,-0.4123,-11.7743
2024-05-21,30850,30950,30200,30700,2432536,1,-0.3963,-12.1706
2024-05-22,31000,32800,31000,32800,7624130,1,0.2195,-11.9511
2024-05-23,33100,33900,32450,32800,5704579,1,-0.9666,-12.9177
2024-05-24,32800,33600,30550,30900,6911176,1,-1.7968,-14.7145
2024-05-27,30850,31100,30500,30700,2873995,1,-0.9717,-15.6862
2024-05-28,31000,32400,30800,32200,4072654,1,0.5219,-15.1643
2024-05-29,32500,32500,31150,31250,3096370,1,-1.1651,-16.3294
2024-05-30,31000,32200,30750,32200,4179693,1,0.8302,-15.4992
2024-05-31,32500,32500,31700,31700,2786355,1,-0.3426,-15.8418
2024-06-03,32400,33450,32000,32200,8151183,1,0.1543,-15.6875
2024-06-04,32400,32400,31700,31750,2994700,1,-1.0094,-16.6969
2024-06-05,31850,32400,31500,31500,4482344,1,-0.3147,-17.0116
2024-06-06,31800,31800,30950,31000,3107193,1,-0.9457,-17.9573
2024-06-07,31200,31400,30850,31000,2249080,1,-0.5736,-18.5309
2024-06-10,31150,31550,30600,31300,3572058,1,-0.6608,-19.1917
2024-06-11,31600,31600,30750,31000,1614531,1,-0.2995,-19.4912
2024-06-12,31000,31500,30750,31500,2361831,1,0.1764,-19.3148
2024-06-13,31750,32200,31550,31850,3380589,1,-0.028,-19.3428
2024-06-14,31900,31950,30500,30500,3240401,1,-1.5062,-20.849
2024-06-17,30500,30800,30050,30100,2414087,1,-0.7002,-21.5492
2024-06-18,30150,30800,30000,30100,1579499,1,-0.3199,-21.8691
2024-06-19,30100,30300,29650,29800,2039741,1,-0.3564,-22.2255
2024-06-20,30100,30100,29050,29300,1672574,1,-0.5,-22.7255
2024-06-21,29300,29550,29050,29050,1720624,1,-0.6843,-23.4098
2024-06-24,29000,29550,27900,28000,3266223,1,-0.9356,-24.3454
2024-06-25,28200,29500,28150,29350,2407390,1,0.573,-23.7724
2024-06-26,29550,29550,28800,29400,918003,1,-0.2998,-24.0722
2024-06-27,29000,29800,29000,29400,1167197,1,0.283,-23.7892
2024-06-28,29300,29400,28100,28850,1230549,1,-0.5281,-24.3173
2024-07-01,28900,29700,28850,29450,1203649,1,0.113,-24.2043
2024-07-02,29900,29900,29350,29650,799461,1,0.0022,-24.2021
2024-07-03,29550,30000,29500,29600,1009587,1,-0.0873,-24.2894
2024-07-04,29600,29800,29500,29600,1516676,1,-0.3702,-24.6596
2024-07-05,29600,29750,29300,29300,1448236,1,-0.5919,-25.2515
2024-07-09,29000,29300,29000,29200,1274499,1,-0.3436,-25.5951
2024-07-10,29200,29900,29200,29600,1750333,1,-0.091,-25.6861
2024-07-11,29800,30950,29800,30400,3619429,1,1.0477,-24.6384
2024-07-12,30600,30750,29950,30150,1162844,1,-0.2867,-24.9251
2024-07-15,30150,30250,29650,29700,1470451,1,-0.6667,-25.5918
2024-07-16,29700,30250,29650,29650,1529843,1,-0.6789,-26.2707
2024-07-17,29950,29950,27900,28200,3184882,1,-1.7218,-27.9925
2024-07-18,28200,28950,28100,28900,1266605,1,0.0335,-27.959
2024-07-19,28900,28900,28250,28300,1323142,1,-0.6365,-28.5955
2024-07-22,28000,28400,27050,27700,1944721,1,-0.3051,-28.9006
2024-07-23,27550,28200,27300,27500,1075040,1,-0.387,-29.2876
2024-07-24,27700,28650,27100,28300,1306277,1,0.0286,-29.259
2024-07-25,28100,28500,27950,28350,771661,1,-0.0826,-29.3416
2024-07-26,28050,28550,28050,28300,688400,1,-0.1318,-29.4734
2024-07-29,28500,28800,28250,28250,641400,1,-0.2416,-29.715
2024-07-30,28250,28500,28050,28450,940400,1,-0.0369,-29.7519
2024-07-31,28550,28800,28100,28400,920200,1,-0.0802,-29.8321
2024-08-01,28450,28500,26800,27300,1850100,1,-0.7603,-30.5924
2024-08-02,27000,27750,26900,27700,1372300,1,0.0109,-30.5815
2024-08-05,26000,27500,25850,25900,2388100,1,-0.4356,-31.0171
2024-08-06,26000,26500,25050,26500,1207800,1,0.0808,-30.9363
2024-08-07,26500,26950,26100,26800,652200,1,-0.0156,-30.9519
2024-08-08,26700,27300,26350,26700,1231100,1,-0.3334,-31.2853
2024-08-09,26850,27300,26600,27150,917000,1,0.097,-31.1883
2024-08-12,27150,27150,26800,26900,414900,1,-0.0595,-31.2478
