t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,24170,24660,24080,24350,1852257,1,0.0949,0.0949
2024-02-16,24620,24620,24220,24220,1526814,1,-0.3944,-0.2995
2024-02-19,24260,24260,23990,24220,1841607,1,-0.6558,-0.9553
2024-02-20,24440,24440,23900,23950,2466756,1,-1.0121,-1.9674
2024-02-21,24040,24170,23770,24080,1962977,1,-0.2716,-2.239
2024-02-22,24080,24300,23990,23990,1713859,1,-0.1647,-2.4037
2024-02-23,23990,24040,23190,23190,2960098,1,-0.9334,-3.3371
2024-02-26,23280,23410,23050,23360,1780933,1,0.0302,-3.3069
2024-02-27,23360,23810,23280,23810,1573191,1,-0.7192,-4.0261
2024-02-28,23860,24350,23680,23860,1894556,1,0.0241,-4.002
2024-02-29,23860,24040,23720,23770,1701965,1,-0.2676,-4.2696
2024-03-01,23950,25420,23720,25420,6859646,1,1.746,-2.5236
2024-03-04,25830,26180,25240,25330,7239885,1,-1.0947,-3.6183
2024-03-05,25330,26180,25240,25870,4876713,1,0.5327,-3.0856
2024-03-06,25780,25960,25110,25240,2457702,1,-0.6865,-3.7721
2024-03-07,25290,25560,25110,25420,2440294,1,-0.0706,-3.8427
2024-03-08,25510,26500,25200,26140,5977380,1,0.6844,-3.1583
2024-03-11,26180,26630,25290,25290,3373127,1,-1.0526,-4.2109
2024-03-12,25510,25510,25160,25200,2667119,1,-0.4159,-4.6268
2024-03-13,25420,26180,25290,26140,6769740,1,-0.272,-4.8988
2024-03-14,26630,27080,26410,26680,6570072,1,-0.1632,-5.062
2024-03-15,26680,27440,26410,26680,6101255,1,-0.2948,-5.3568
2024-03-18,27040,27300,24840,25870,7785867,1,-1.0671,-6.4239
2024-03-19,25960,26680,25780,25830,3401675,1,-0.9012,-7.3251
2024-03-20,25960,26140,25600,26050,2454303,1,-0.1295,-7.4546
2024-03-21,26360,26770,26050,26320,3466589,1,0.2608,-7.1938
2024-03-22,26680,26770,26050,26140,3140480,1,-0.8751,-8.0689
2024-03-25,26180,26540,25650,25780,2417043,1,-0.9001,-8.969
2024-03-26,25780,26270,25600,26100,1922814,1,0.198,-8.771
2024-03-27,26360,27210,26100,26630,4441458,1,0.3912,-8.3798
2024-03-28,26720,26990,26270,26360,1792996,1,-0.3212,-8.701
2024-03-29,26630,26680,26180,26180,2441226,1,-0.4591,-9.1601
2024-04-01,26140,26500,26010,26410,2516646,1,-0.3556,-9.5157
2024-04-02,26410,26990,26100,26810,3839799,1,0.047,-9.4687
2024-04-03,26860,27210,26410,26590,5659224,1,0.1172,-9.3515
2024-04-04,26590,26630,25960,26410,3566165,1,-0.0175,-9.369
2024-04-05,26140,26140,25510,25510,3017839,1,-0.2194,-9.5884
2024-04-08,25510,25600,25240,25240,1587816,1,-0.2516,-9.84
2024-04-09,25290,25600,25070,25510,1751870,1,-0.0041,-9.8441
2024-04-10,25650,26050,25560,25560,1606422,1,-0.0395,-9.8836
2024-04-11,25290,25560,25160,25510,1442230,1,-0.2102,-10.0938
2024-04-12,25600,25690,25380,25600,1135543,1,-0.0001,-10.0939
2024-04-15,25420,25510,23810,23900,4025248,1,-1.731,-11.8249
2024-04-16,23950,23990,22920,23720,3198242,1,-0.7154,-12.5403
2024-04-17,23770,23900,23280,23280,1822021,1,-0.7044,-13.2447
2024-04-19,23010,23230,22470,22560,2401628,1,-0.4278,-13.6725
2024-04-22,22830,23320,22830,23100,1014774,1,0.0798,-13.5927
2024-04-23,23190,23320,22870,22870,976778,1,-0.239,-13.8317
2024-04-25,23630,23860,23500,23720,650702,1,-0.1284,-13.9601
2024-04-26,23450,24040,23410,23860,716122,1,-0.0939,-14.054
2024-05-02,23950,24980,23900,24170,995618,1,-0.0145,-14.0685
2024-05-03,24350,24390,23720,23860,758137,1,-0.2928,-14.3613
