t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,8090,8270,8090,8220,2825172,1,-0.1592,-0.1592
2024-02-16,8300,8300,8070,8160,3442720,1,-1.2275,-1.3867
2024-02-19,8109,8160,8020,8090,3821367,1,-1.4863,-2.873
2024-02-20,8090,8260,8090,8150,2759768,1,-0.6511,-3.5241
2024-02-21,8130,8200,8060,8109,1739736,1,-0.9278,-4.4519
2024-02-22,8119,8490,8119,8400,5484083,1,1.019,-3.4329
2024-02-23,8420,8450,8020,8020,4614928,1,-2.375,-5.8079
2024-02-26,8020,8070,7920,8000,2477043,1,-1.0103,-6.8182
2024-02-27,8039,8160,8010,8109,1549006,1,-0.298,-7.1162
2024-02-28,8130,8189,8010,8020,2016121,1,-0.5626,-7.6788
2024-02-29,8020,8109,7980,8010,2539021,1,-0.9482,-8.627
2024-03-01,8020,8100,8000,8080,1913970,1,-0.481,-9.108
2024-03-04,8109,8580,8109,8360,4640530,1,1.0129,-8.0951
2024-03-05,8360,8360,8200,8210,1902521,1,-0.3859,-8.481
2024-03-06,8210,8280,8080,8160,2564340,1,-1.308,-9.789
2024-03-07,8160,8200,8020,8100,3840535,1,-1.5659,-11.3549
2024-03-08,8109,8130,7990,8000,2560115,1,-1.1824,-12.5373
2024-03-11,7990,8080,7760,7820,2229046,1,-0.9999,-13.5372
2024-03-12,7820,7870,7690,7740,2305095,1,-0.492,-14.0292
2024-03-13,7740,7920,7730,7860,1664089,1,-0.0515,-14.0807
2024-03-14,8010,8070,7860,7920,1999647,1,-0.918,-14.9987
2024-03-15,7980,8109,7880,8000,1705852,1,0.1426,-14.8561
2024-03-18,8000,8400,7860,8350,5770409,1,0.9703,-13.8858
2024-03-19,8430,8480,8189,8210,1848498,1,-0.3707,-14.2565
2024-03-20,8130,8330,8130,8300,2229577,1,-0.2444,-14.5009
2024-03-21,8490,8880,8250,8800,10516083,1,1.2766,-13.2243
2024-03-22,8800,8870,8640,8720,1994118,1,-0.5395,-13.7638
2024-03-25,8700,8750,8420,8480,3217638,1,-1.151,-14.9148
2024-03-26,8490,8760,8390,8580,2254838,1,-0.0551,-14.9699
2024-03-27,8770,8770,8600,8650,2212681,1,-0.7624,-15.7323
2024-03-28,8730,8730,8600,8630,1578328,1,-0.564,-16.2963
2024-03-29,8640,8960,8630,8850,3225664,1,0.1857,-16.1106
2024-04-01,8780,8940,8710,8770,2259485,1,-0.4467,-16.5573
2024-04-02,8680,8900,8630,8880,3273561,1,-0.1604,-16.7177
2024-04-03,8870,8880,8690,8690,2918099,1,-1.0578,-17.7755
2024-04-04,8690,9150,8550,8870,3219921,1,-0.1235,-17.899
2024-04-05,8710,9030,8700,8920,3150538,1,0.5324,-17.3666
2024-04-08,8940,8940,8690,8730,1257282,1,-0.3623,-17.7289
2024-04-09,8680,8780,8610,8780,2048987,1,-0.7188,-18.4477
2024-04-10,8850,8970,8740,8780,1360079,1,-0.0484,-18.4961
2024-04-11,8760,9340,8730,9280,4988666,1,1.8152,-16.6809
2024-04-12,9250,9300,9250,9280,1815688,1,-0.1692,-16.8501
2024-04-15,9240,9240,8640,8640,5112264,1,-1.1945,-18.0446
2024-04-16,8540,8580,8039,8330,4808941,1,-0.8458,-18.8904
2024-04-17,8400,8400,8109,8109,1636842,1,-0.3999,-19.2903
2024-04-19,8080,8080,7560,7920,2804282,1,-0.3736,-19.6639
2024-04-22,7870,8109,7870,8029,1324582,1,0.2565,-19.4074
2024-04-23,8020,8070,7550,7750,1287895,1,-0.2745,-19.6819
2024-04-25,8280,8350,8109,8260,682799,1,-0.0783,-19.7602
2024-04-26,8189,8350,8109,8330,1038516,1,0.2,-19.5602
2024-05-02,8490,8750,8490,8670,1481994,1,0.0639,-19.4963
2024-05-03,8770,8770,8570,8580,2137666,1,-0.648,-20.1443
2024-05-06,8590,9150,8580,9140,2883736,1,0.9412,-19.2031
2024-05-07,9150,9720,9140,9530,5880345,1,1.1353,-18.0678
2024-05-08,9430,9670,9250,9480,3355831,1,0.13,-17.9378
2024-05-09,9620,9620,9150,9250,3090873,1,-1.0571,-18.9949
2024-05-10,9380,9620,9250,9420,4241475,1,0.2261,-18.7688
2024-05-13,9580,9580,9150,9280,1905944,1,-0.7111,-19.4799
2024-05-14,9340,9430,9250,9340,1563174,1,0.0493,-19.4306
2024-05-15,9370,9530,9290,9360,3222138,1,0.3123,-19.1183
2024-05-16,9480,9530,9350,9360,2674369,1,-1.147,-20.2653
