t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-09,12050,12100,11950,12100,3229850,1,0.3201,0.3201
2024-07-10,12190,12240,12050,12100,2732282,1,-0.4695,-0.1494
2024-07-11,12190,12240,12050,12050,2791457,1,0.0863,-0.0631
2024-07-12,12100,12100,11900,11950,2286491,1,-0.173,-0.2361
2024-07-15,12050,12050,11860,11860,1478298,1,-0.5806,-0.8167
2024-07-16,11950,12000,11860,11860,2348162,1,0.1927,-0.624
2024-07-17,11900,11950,11430,11710,3002439,1,-1.1752,-1.7992
2024-07-18,11760,11760,11520,11710,2396925,1,-0.4715,-2.2707
2024-07-19,11900,11950,11650,11700,2213135,1,-0.7295,-3.0002
2024-07-22,11700,11700,11300,11550,2957642,1,-0.7464,-3.7466
2024-07-23,11600,11650,11250,11300,1888069,1,-1.0357,-4.7823
2024-07-24,11200,11400,11000,11350,2691909,1,-0.1924,-4.9747
2024-07-25,11250,11300,11150,11200,1210170,1,-0.1782,-5.1529
2024-07-26,11300,11400,11250,11350,1376870,1,0.3279,-4.825
2024-07-29,11400,11500,11300,11300,1104957,1,-0.2845,-5.1095
2024-07-30,11300,11350,11150,11150,1592516,1,-0.5636,-5.6731
2024-07-31,11250,11350,11200,11250,1859679,1,0.0754,-5.5977
2024-08-01,11300,11350,10700,10850,3154300,1,-1.9419,-7.5396
2024-08-02,10750,10800,10400,10750,4306200,1,-0.2272,-7.7668
2024-08-05,10500,10650,10000,10000,6716800,1,-2.8467,-10.6135
2024-08-06,10050,10250,9810,10100,2863600,1,-0.2012,-10.8147
2024-08-07,10350,10350,10000,10050,2514400,1,0.405,-10.4097
2024-08-08,10100,10750,10050,10750,9456100,1,0.4569,-9.9528
2024-08-09,11050,11050,10700,10900,3074400,1,0.238,-9.7148
2024-08-12,10900,11500,10850,11350,5958900,1,1.8232,-7.8916
