t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,25730,26270,25680,26090,37002180,1,1.9104,1.9104
2024-02-16,26140,26180,26000,26000,16729914,1,-0.033,1.8774
2024-02-19,26050,26730,25860,26550,42298335,1,7.9879,9.8653
2024-02-20,26550,26680,26410,26550,21405084,1,-0.3306,9.5347
2024-02-21,26450,26500,26090,26180,31597047,1,-11.5133,-1.9786
2024-02-22,26090,26180,25950,25950,22423703,1,-2.9805,-4.9591
2024-02-23,25950,26230,25820,25820,27315024,1,-6.7964,-11.7555
2024-02-26,25820,26180,25730,26180,19232263,1,2.6502,-9.1053
2024-02-27,26270,27680,26180,27590,86882418,1,32.616,23.5107
2024-02-28,27640,28140,27410,27820,35225601,1,5.6935,29.2042
2024-02-29,27950,28320,27730,28180,33602603,1,1.1069,30.3111
2024-03-01,28360,28360,27860,28050,26977136,1,1.6008,31.9119
2024-03-04,28180,28550,27910,28000,28600714,1,-1.695,30.2169
2024-03-05,28000,28450,27910,28320,29934805,1,-0.9714,29.2455
2024-03-06,28270,28320,27730,28000,28078693,1,-11.3194,17.9261
2024-03-07,27910,28500,27820,28180,32275896,1,4.2132,22.1393
2024-03-08,28180,28230,27500,27550,47338238,1,-13.3587,8.7806
2024-03-11,27550,27820,27090,27180,30439370,1,-8.6803,0.1003
2024-03-12,27140,27640,27090,27450,30148985,1,2.2892,2.3895
2024-03-13,27450,28050,27360,28000,29380668,1,10.3411,12.7306
2024-03-14,28090,28090,27500,27590,30792542,1,-5.3969,7.3337
2024-03-15,27590,27910,27270,27360,35837317,1,-2.9668,4.3669
2024-03-18,27410,27450,26360,26910,50128928,1,-15.5309,-11.164
2024-03-19,26820,27820,26730,27090,26986377,1,0.6958,-10.4682
2024-03-20,27140,27360,27050,27270,12979362,1,-0.3107,-10.7789
2024-03-21,27590,27770,27360,27500,19984496,1,1.3201,-9.4588
2024-03-22,27590,27910,27450,27770,37402271,1,0.4726,-8.9862
2024-03-25,27770,28140,27320,27450,21366246,1,-4.8825,-13.8687
2024-03-26,27450,27770,27360,27770,11986416,1,1.5186,-12.3501
2024-03-27,28090,28270,27820,27820,24342964,1,-2.087,-14.4371
2024-03-28,28050,28050,27680,27770,19124881,1,-4.5904,-19.0275
2024-03-29,27820,27820,27500,27500,14830426,1,-3.444,-22.4715
