t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,4220,4280,4160,4180,5286239,1,-0.8567,-0.8567
2024-02-16,4220,4340,4180,4310,13611777,1,5.059,4.2023
2024-02-19,4310,4340,4240,4260,7495461,1,-0.9487,3.2536
2024-02-20,4280,4280,4190,4200,7069000,1,-1.4302,1.8234
2024-02-21,4200,4270,4170,4220,6406413,1,0.2881,2.1115
2024-02-22,4250,4430,4250,4280,12896388,1,2.244,4.3555
2024-02-23,4320,4320,4150,4160,9130296,1,-2.892,1.4635
2024-02-26,4170,4190,4140,4150,4916978,1,-0.7379,0.7256
2024-02-27,4160,4190,4110,4170,7669436,1,-2.0991,-1.3735
2024-02-28,4180,4210,4140,4160,4112030,1,-0.2267,-1.6002
2024-02-29,4200,4240,4150,4170,5717303,1,-0.3397,-1.9399
2024-03-01,4180,4220,4160,4220,6903514,1,1.0532,-0.8867
2024-03-04,4290,4290,4210,4210,7693081,1,-0.5269,-1.4136
2024-03-05,4200,4340,4180,4280,11350760,1,3.2436,1.83
2024-03-06,4570,4570,4510,4570,45904577,1,-17.1889,-15.3589
2024-03-07,4600,4630,4400,4430,14449123,1,-3.2614,-18.6203
2024-03-08,4470,4500,4300,4300,14477101,1,-3.7706,-22.3909
2024-03-11,4300,4420,4200,4210,9541501,1,-2.1455,-24.5364
2024-03-12,4300,4320,4220,4230,6747120,1,-1.0492,-25.5856
2024-03-13,4330,4350,4260,4350,7713890,1,1.6428,-23.9428
2024-03-14,4400,4550,4360,4410,16071812,1,0.342,-23.6008
2024-03-15,4440,4560,4410,4500,16165306,1,3.2861,-20.3147
2024-03-18,4650,4810,4500,4720,34350981,1,4.5279,-15.7868
2024-03-19,4720,4730,4500,4550,11209717,1,-4.4202,-20.207
2024-03-20,4550,4550,4450,4550,8939563,1,-1.3197,-21.5267
2024-03-21,4610,4640,4520,4580,10257551,1,-1.4548,-22.9815
2024-03-22,4570,4660,4480,4530,12445080,1,-2.9276,-25.9091
2024-03-25,4540,4650,4510,4530,12668269,1,-1.3636,-27.2727
2024-03-26,4530,4560,4490,4500,12023568,1,-3.4404,-30.7131
2024-03-27,4530,4590,4500,4520,8039491,1,-1.3848,-32.0979
2024-03-28,4550,4600,4490,4520,6678419,1,-2.7357,-34.8336
2024-03-29,4560,4560,4460,4460,7596554,1,-1.9595,-36.7931
2024-04-01,4460,4470,4350,4430,10294719,1,-2.5476,-39.3407
2024-04-02,4390,4430,4320,4400,9008114,1,-3.2862,-42.6269
2024-04-03,4430,4470,4300,4300,6028621,1,-1.2535,-43.8804
2024-04-04,4330,4390,4280,4300,7484915,1,-1.1966,-45.077
2024-04-05,4300,4360,4250,4280,9534013,1,1.1948,-43.8822
2024-04-08,4300,4340,4240,4240,6191855,1,-2.0915,-45.9737
2024-04-09,4270,4280,4200,4250,5982183,1,-1.2994,-47.2731
2024-04-10,4300,4310,4230,4230,4425053,1,-0.7887,-48.0618
2024-04-11,4160,4210,4150,4170,7601997,1,-1.5488,-49.6106
2024-04-12,4200,4260,4180,4200,4351168,1,-0.3362,-49.9468
2024-04-15,4180,4230,3910,3910,11678520,1,-3.8032,-53.75
2024-04-16,3870,3910,3640,3760,12293866,1,-2.2594,-56.0094
2024-04-17,3800,3830,3740,3740,4681906,1,-1.4106,-57.42
2024-04-19,3670,3740,3520,3650,6810059,1,-0.8827,-58.3027
2024-04-22,3670,3790,3670,3750,4152385,1,0.2141,-58.0886
2024-04-23,3770,3780,3650,3650,3687432,1,-1.1489,-59.2375
2024-04-25,3750,3760,3700,3700,2699501,1,-0.2349,-59.4724
2024-04-26,3680,3790,3680,3790,4052146,1,0.0319,-59.4405
2024-05-02,3800,4000,3800,3830,3315751,1,0.1505,-59.29
2024-05-03,3840,3880,3810,3810,3811441,1,-0.9875,-60.2775
2024-05-06,3820,3940,3800,3890,4965364,1,0.4059,-59.8716
2024-05-07,3900,3920,3830,3890,3242772,1,-0.1287,-60.0003
2024-05-08,3840,3880,3800,3830,3543733,1,-0.8351,-60.8354
2024-05-09,3840,3860,3800,3800,3086622,1,-1.0802,-61.9156
2024-05-10,3830,3860,3780,3850,3210502,1,0.1561,-61.7595
2024-05-13,3900,4110,3890,4110,16919487,1,5.1436,-56.6159
