t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,22850,23290,22700,22800,11816749,1,-0.0558,-0.0558
2024-02-16,22800,22900,22610,22750,7209402,1,-1.4348,-1.4906
2024-02-19,22750,23040,22310,22700,15252272,1,-0.7892,-2.2798
2024-02-20,22700,22750,22410,22460,8644704,1,-1.6426,-3.9224
2024-02-21,22460,22510,22020,22120,14281981,1,-3.2057,-7.1281
2024-02-22,22120,22220,21970,21970,9100603,1,-3.587,-10.7151
2024-02-23,22020,22270,21580,21580,12868891,1,-4.5532,-15.2683
2024-02-26,21580,21920,21530,21880,8027967,1,-0.6156,-15.8839
2024-02-27,21970,22700,21920,22270,16217131,1,3.5383,-12.3456
2024-02-28,22410,22560,22120,22310,8262989,1,-1.0145,-13.3601
2024-02-29,22360,22510,22020,22170,9694477,1,-2.359,-15.7191
2024-03-01,22120,22510,22070,22460,9532971,1,0.439,-15.2801
2024-03-04,22750,23190,22510,22850,19043996,1,3.6828,-11.5973
2024-03-05,22850,23090,22610,22900,11639172,1,-0.0255,-11.6228
2024-03-06,22900,22900,22070,22360,11584846,1,-4.0705,-15.6933
2024-03-07,22310,22510,22170,22270,9246087,1,-0.0967,-15.79
2024-03-08,22310,22410,21780,21830,17372720,1,-6.011,-21.801
2024-03-11,21830,21880,21340,21390,10574860,1,-4.3795,-26.1805
2024-03-12,21340,21490,21290,21290,11656685,1,-4.0477,-30.2282
2024-03-13,21440,22120,21290,22020,11291885,1,1.0501,-29.1781
2024-03-14,22120,22120,21530,21680,9757196,1,-3.5407,-32.7188
2024-03-15,21630,22120,21490,21530,12991639,1,-2.4577,-35.1765
2024-03-18,21630,21780,20360,21100,16334415,1,-3.598,-38.7745
2024-03-19,21140,22220,20950,21630,17299358,1,1.2334,-37.5411
2024-03-20,21780,21880,21530,21780,6393485,1,-0.1377,-37.6788
2024-03-21,21920,22270,21730,22120,14867089,1,-0.6983,-38.3771
2024-03-22,22270,22850,22120,22650,31339053,1,5.658,-32.7191
2024-03-25,22850,23140,22310,22410,14827473,1,-1.8067,-34.5258
2024-03-26,22220,22900,22220,22900,11528520,1,1.753,-32.7728
2024-03-27,23390,24020,23290,23480,27383993,1,2.2282,-30.5446
2024-03-28,23580,23580,23140,23430,13652119,1,-3.4126,-33.9572
2024-03-29,23430,23480,23040,23040,9993773,1,-3.3754,-37.3326
2024-04-01,23000,23190,22700,23000,12155146,1,-2.4823,-39.8149
2024-04-02,22800,23530,22700,23530,16393824,1,2.7959,-37.019
2024-04-03,23530,23580,23000,23040,9882956,1,-4.1576,-41.1766
2024-04-04,22950,23040,22610,22610,10500793,1,-2.9541,-44.1307
2024-04-05,22360,22510,22020,22020,14845572,1,-2.2635,-46.3942
2024-04-08,22070,22410,21920,22020,5449386,1,-0.2537,-46.6479
2024-04-09,22070,22360,22070,22270,3995609,1,0.4629,-46.185
