t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,13150,13300,13050,13100,403791,1,-0.1782,-0.1782
2024-02-16,13100,13200,13000,13150,276575,1,0.0254,-0.1528
2024-02-19,13150,13500,13150,13450,720857,1,0.404,0.2512
2024-02-20,13550,13600,13350,13600,570171,1,0.0557,0.3069
2024-02-21,13600,13600,13400,13500,437913,1,0.0135,0.3204
2024-02-22,13400,13550,13300,13300,374119,1,0.0498,0.3702
2024-02-23,13450,13450,13000,13100,429041,1,-0.0576,0.3126
2024-02-26,13000,13150,13000,13100,318212,1,0.0251,0.3377
2024-02-27,13100,13400,13050,13400,495448,1,0.1587,0.4964
2024-02-28,13500,13500,13300,13400,192146,1,-0.0568,0.4396
2024-02-29,13400,13450,13150,13250,230998,1,-0.1026,0.337
2024-03-01,13250,13450,13150,13300,233657,1,-0.0326,0.3044
2024-03-04,13500,13500,13300,13400,281667,1,-0.024,0.2804
2024-03-05,13350,13450,13200,13250,245409,1,-0.1349,0.1455
2024-03-06,13250,13300,13100,13150,292961,1,-0.0877,0.0578
2024-03-07,13150,13250,13100,13250,229373,1,0.0098,0.0676
2024-03-08,13300,13350,13050,13100,323601,1,-0.1127,-0.0451
2024-03-11,13050,13150,13000,13050,207714,1,-0.0661,-0.1112
2024-03-12,13050,13150,13000,13050,260319,1,-0.0498,-0.161
2024-03-13,13150,13250,13050,13250,272542,1,0.0053,-0.1557
2024-03-14,13300,14000,13200,13600,1039025,1,0.0619,-0.0938
2024-03-15,13600,13800,13550,13800,430838,1,0.018,-0.0758
2024-03-18,13800,13850,13050,13350,639277,1,-0.3316,-0.4074
2024-03-19,13350,13550,13200,13350,179983,1,-0.0199,-0.4273
2024-03-20,13250,13550,13250,13400,159518,1,0.0236,-0.4037
2024-03-21,13400,13500,13350,13500,198479,1,-0.0302,-0.4339
2024-03-22,13500,13650,13400,13450,304246,1,-0.0764,-0.5103
2024-03-25,13400,13800,13400,13600,419664,1,-0.0808,-0.5911
2024-03-26,13600,13600,13500,13500,231650,1,-0.1001,-0.6912
2024-03-27,13500,13650,13500,13550,265662,1,-0.0488,-0.74
2024-03-28,13600,13600,13450,13550,234418,1,-0.0958,-0.8358
2024-03-29,13550,13550,13350,13350,244812,1,-0.0827,-0.9185
2024-04-01,13450,13450,13200,13300,167715,1,-0.0584,-0.9769
2024-04-02,13300,13700,13150,13550,374814,1,0.0755,-0.9014
2024-04-03,13650,13650,13450,13450,356949,1,0.0346,-0.8668
2024-04-04,13450,13450,12900,13250,802092,1,-0.537,-1.4038
2024-04-05,13250,13250,12900,13000,380341,1,-0.1842,-1.588
2024-04-08,13000,13100,12750,12800,517957,1,-0.3346,-1.9226
2024-04-09,12750,12800,12500,12700,464505,1,-0.1478,-2.0704
2024-04-10,12650,12850,12500,12550,387321,1,-0.1727,-2.2431
2024-04-11,12550,12700,12450,12550,611542,1,-0.3643,-2.6074
2024-04-12,12600,12600,12400,12600,275393,1,0.0624,-2.545
2024-04-15,12550,12600,12050,12050,408055,1,-0.2769,-2.8219
2024-04-16,12000,12000,11400,11800,557715,1,-0.1854,-3.0073
2024-04-17,11900,11900,11400,11650,386198,1,-0.1928,-3.2001
2024-04-19,11200,11400,10850,11300,564638,1,-0.4282,-3.6283
2024-04-22,11250,11400,11000,11200,418334,1,-0.2792,-3.9075
2024-04-23,11200,11350,10900,11050,242750,1,-0.172,-4.0795
2024-04-25,11400,11400,11150,11200,64563,1,-0.0067,-4.0862
2024-04-26,11200,11400,11100,11250,105712,1,0.0094,-4.0768
2024-05-02,11250,11250,10800,11050,502178,1,-0.3294,-4.4062
2024-05-03,11150,11150,10950,10950,155682,1,-0.0911,-4.4973
2024-05-06,11150,11500,10950,11500,261203,1,-0.0211,-4.5184
2024-05-07,11600,12150,11600,12150,565028,1,0.1194,-4.399
2024-05-08,12150,12150,11500,11900,227109,1,-0.0136,-4.4126
2024-05-09,11800,12050,11800,11850,113340,1,-0.0346,-4.4472
2024-05-10,11900,12050,11700,12000,232729,1,0.0593,-4.3879
2024-05-13,12000,12100,11850,11950,105040,1,-0.0091,-4.397
2024-05-14,11900,11950,11750,11950,59705,1,0.0064,-4.3906
2024-05-15,11700,11950,11700,11900,84135,1,-0.0241,-4.4147
2024-05-16,12000,12200,11900,12000,177224,1,-0.006,-4.4207
2024-05-17,12000,12150,12000,12000,215610,1,-0.0085,-4.4292
2024-05-20,12050,12100,12000,12100,149838,1,0.0115,-4.4177
2024-05-21,12100,12150,11950,12000,76295,1,-0.023,-4.4407
2024-05-22,12000,12400,12000,12200,338028,1,0.0025,-4.4382
2024-05-23,12200,12300,12150,12150,206577,1,-0.0503,-4.4885
2024-05-24,12000,12200,11900,11900,292740,1,-0.1395,-4.628
2024-05-27,11900,12000,11800,11950,82129,1,0.0073,-4.6207
2024-05-28,11850,12200,11850,12200,254911,1,0.0581,-4.5626
2024-05-29,12050,12500,12000,12300,351212,1,0.2008,-4.3618
2024-05-30,12200,12250,11950,12250,504227,1,0.0856,-4.2762
2024-05-31,12450,12450,12100,12150,146187,1,-0.0187,-4.2949
2024-06-03,12400,12450,12100,12150,216331,1,0.0253,-4.2696
2024-06-04,12200,12350,12100,12200,142713,1,-0.0381,-4.3077
2024-06-05,12100,12350,11950,11950,354668,1,-0.0841,-4.3918
2024-06-06,11950,12150,11900,12000,208121,1,-0.1486,-4.5404
2024-06-07,12100,12100,11800,11900,385813,1,-0.2373,-4.7777
2024-06-10,11900,12100,11900,11950,240392,1,-0.0171,-4.7948
2024-06-11,12050,12050,11850,11900,163502,1,-0.0537,-4.8485
2024-06-12,11900,12000,11800,11900,168948,1,-0.0019,-4.8504
2024-06-13,11900,12050,11850,11950,181162,1,0.0507,-4.7997
2024-06-14,12000,12750,12000,12750,1906654,1,0.7214,-4.0783
2024-06-17,13000,13000,12650,12700,657604,1,0.0306,-4.0477
2024-06-18,12700,13400,12550,12950,1162408,1,0.2077,-3.84
2024-06-19,12950,13100,12700,12800,376462,1,-0.1351,-3.9751
2024-06-20,12700,13100,12600,13050,704483,1,0.0236,-3.9515
2024-06-21,13150,13550,13150,13250,1165712,1,0.105,-3.8465
2024-06-24,13300,13500,12800,13000,512795,1,-0.0415,-3.888
2024-06-25,13000,13100,12850,13000,291861,1,-0.0506,-3.9386
2024-06-26,13000,13300,12750,12950,405240,1,-0.1926,-4.1312
2024-06-27,13150,13150,12750,12850,303120,1,-0.0706,-4.2018
2024-06-28,12700,13050,12700,12800,363473,1,-0.1102,-4.312
2024-07-01,12800,13000,12750,13000,223599,1,-0.0436,-4.3556
2024-07-02,13000,13350,12900,12900,386331,1,0.0043,-4.3513
2024-07-03,13050,13050,12850,12900,186254,1,-0.0944,-4.4457
2024-07-04,12900,13000,12700,12900,464142,1,-0.223,-4.6687
