t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-08,11950,12050,11750,11750,755005,1,-0.3472,-0.3472
2024-07-09,11800,12150,11700,12000,557748,1,-0.033,-0.3802
2024-07-10,12000,12100,11800,11800,459647,1,-0.1735,-0.5537
2024-07-11,11850,12350,11850,12100,780387,1,0.0748,-0.4789
2024-07-12,12300,12300,11900,11950,445793,1,-0.2197,-0.6986
2024-07-15,12000,12050,11800,11900,352735,1,-0.0851,-0.7837
2024-07-16,12000,12000,11800,11850,406661,1,-0.1833,-0.967
2024-07-17,11900,11900,11050,11350,783377,1,-0.3711,-1.3381
2024-07-18,11500,11500,11050,11350,489409,1,-0.1622,-1.5003
2024-07-19,11400,11400,10950,11000,653666,1,-0.2861,-1.7864
2024-07-22,10850,10850,10250,10300,1167850,1,-0.51,-2.2964
2024-07-23,10250,10400,10050,10050,355805,1,-0.1323,-2.4287
2024-07-24,10000,10500,9940,10150,760745,1,-0.0723,-2.501
2024-07-25,10150,10550,10100,10400,338928,1,0.0588,-2.4422
2024-07-26,10450,10500,10200,10350,263000,1,-0.0685,-2.5107
2024-07-29,10350,10450,10250,10300,191300,1,-0.034,-2.5447
2024-07-30,10300,10400,10150,10300,303900,1,-0.1988,-2.7435
2024-07-31,10300,10500,10300,10400,457800,1,0.037,-2.7065
2024-08-01,10350,10500,9900,9920,480900,1,-0.1844,-2.8909
2024-08-02,9920,9950,9600,9820,455600,1,0.0078,-2.8831
2024-08-05,9140,9680,9140,9140,851700,1,-0.1254,-3.0085
2024-08-06,8880,9180,8880,9000,498100,1,-0.0239,-3.0324
2024-08-07,9010,9350,9010,9230,250600,1,-0.0556,-3.088
2024-08-08,9260,9400,9100,9280,367300,1,-0.0845,-3.1725
2024-08-09,9400,9400,9280,9300,288200,1,0.0635,-3.109
2024-08-12,9150,9280,9120,9210,252200,1,-0.0708,-3.1798
