t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,18900,19400,18900,19100,4473773,1,-0.114189,-0.114189
2024-02-16,19300,19400,19100,19200,3181998,1,0.208832,0.094643
2024-02-19,19200,19300,18900,19200,4342454,1,-1.455826,-1.361183
2024-02-20,19200,19700,19200,19400,4727119,1,-0.482977,-1.84416
2024-02-21,19400,19500,18800,19200,2867751,1,-0.369959,-2.214119
2024-02-22,17300,19300,17300,19000,2607625,1,-0.465249,-2.679368
2024-02-23,19000,19200,18400,18600,6273755,1,-0.270697,-2.950065
2024-02-26,18600,18600,18200,18400,3894159,1,-0.890389,-3.840454
2024-02-27,18400,18700,18000,18600,2558101,1,0.281849,-3.558605
2024-02-28,18200,19000,17200,18900,4171766,1,0.013714,-3.544891
2024-02-29,19000,19200,18600,19200,4569311,1,0.377347,-3.167544
2024-03-01,19300,19300,18900,19100,2774712,1,0.201114,-2.96643
2024-03-04,19300,19600,19200,19300,7019856,1,0.874008,-2.092422
2024-03-05,17400,19500,17400,19300,3409290,1,0.433082,-1.65934
2024-03-06,18500,19400,18500,18900,4868187,1,-2.316907,-3.976247
2024-03-07,19000,19000,18600,18800,2594120,1,0.120436,-3.855811
2024-03-08,19000,19100,18400,18800,4680999,1,-0.545019,-4.40083
2024-03-11,18800,18800,18300,18500,2323533,1,-0.082255,-4.483085
2024-03-12,18500,18500,18200,18500,3266776,1,-0.072458,-4.555543
2024-03-13,18500,18800,18400,18800,2296349,1,-0.323007,-4.87855
2024-03-14,18900,19000,18500,18600,2875517,1,-1.443737,-6.322287
2024-03-15,18600,19200,18600,18800,5618163,1,0.367135,-5.955152
2024-03-18,19000,19200,18400,18800,5132661,1,-0.655035,-6.610187
2024-03-19,19200,19200,18800,18800,2901355,1,-0.063655,-6.673842
2024-03-20,18800,19000,18600,18900,2580248,1,0.491284,-6.182558
2024-03-21,18000,19600,18000,19400,10047071,1,-0.400437,-6.582995
2024-03-22,19400,19700,19200,19200,4338484,1,-1.046176,-7.629171
2024-03-25,19200,19700,19100,19200,6253099,1,-1.331557,-8.960728
2024-03-26,19100,19400,19000,19200,2941565,1,-0.116343,-9.077071
2024-03-27,19300,19600,19200,19300,3551172,1,-0.045072,-9.122143
2024-03-28,19300,20200,19300,19700,7109090,1,0.41184,-8.710303
2024-03-29,19800,20000,19300,19400,3025053,1,0.061353,-8.64895
2024-04-01,19400,19500,19100,19200,3357510,1,-0.950414,-9.599364
2024-04-02,19200,19300,19000,19300,4014857,1,-0.624199,-10.223563
2024-04-03,19300,19700,19200,19300,5168219,1,-0.479801,-10.703364
2024-04-04,19300,19400,19000,19000,3302567,1,-0.257939,-10.961303
2024-04-05,19000,19100,18700,18800,3298519,1,0.270325,-10.690978
2024-04-08,18800,18800,18500,18500,2633030,1,0.239454,-10.451524
2024-04-09,18600,18700,18400,18700,1960535,1,-0.170697,-10.622221
2024-04-10,18700,18800,18500,18500,1645065,1,-0.358853,-10.981074
2024-04-11,18400,18500,18100,18300,2069561,1,-0.034041,-11.015115
2024-04-12,18300,18800,18300,18800,1999219,1,0.905959,-10.109156
2024-04-15,18700,18700,17100,17100,5310510,1,-0.492762,-10.601918
2024-04-16,17800,17800,16100,17200,5765762,1,0.054374,-10.547544
2024-04-17,17200,17300,16500,17100,3483567,1,-1.422747,-11.970291
2024-04-19,15800,17100,15800,16800,4370199,1,0.848325,-11.121966
2024-04-22,17200,17200,16500,17000,2813577,1,0.210321,-10.911645
2024-04-23,15300,17000,15300,16800,1886220,1,-0.074856,-10.986501
2024-04-25,17200,17200,16700,17100,1952212,1,0.725988,-10.260513
2024-04-26,17000,17000,16600,16900,1578938,1,0.2706,-9.989913
2024-05-02,16800,16900,16600,16900,1751657,1,-0.659835,-10.649748
2024-05-03,16800,17100,16800,17000,2056320,1,0.264264,-10.385484
2024-05-06,17000,17300,16900,17200,2172391,1,0.798361,-9.587123
2024-05-07,17200,17200,16900,17100,2138512,1,0.530738,-9.056385
2024-05-08,17300,17300,16800,17100,2776199,1,0.137043,-8.919342
2024-05-09,17200,18000,17200,17400,5170388,1,0.082218,-8.837124
2024-05-10,17400,17700,17000,17200,1505685,1,-0.722449,-9.559573
2024-05-13,17200,17400,16900,17400,2109159,1,-0.215719,-9.775292
2024-05-14,17400,17400,17100,17400,1281314,1,0.295966,-9.479326
2024-05-15,17400,17400,17200,17200,1830559,1,-0.154953,-9.634279
2024-05-16,17300,18000,17200,17500,4619298,1,0.432804,-9.201475
2024-05-17,17500,17700,17300,17400,1541311,1,-0.451993,-9.653468
2024-05-20,17400,17800,17400,17500,3046811,1,0.224143,-9.429325
2024-05-21,17500,17600,17200,17400,2051015,1,-0.754373,-10.183698
2024-05-22,17500,18200,17400,18200,7685563,1,2.613687,-7.570011
2024-05-23,18300,19000,18100,18600,5531248,1,0.625178,-6.944833
2024-05-24,18400,18700,17500,18000,5005486,1,-1.072604,-8.017437
2024-05-27,18000,18300,17700,17900,3503255,1,-0.016831,-8.034268
2024-05-28,17800,18500,17800,18200,4221697,1,-0.256857,-8.291125
2024-05-29,18300,18300,17800,17900,3597430,1,-1.42607,-9.717195
2024-05-30,18000,19600,17700,19300,13900872,1,2.241148,-7.476047
2024-05-31,19400,19600,18900,19200,3105110,1,-0.369374,-7.845421
2024-06-03,19400,20200,19200,19200,5597623,1,-1.673595,-9.519016
2024-06-04,19300,19300,18800,18900,4498592,1,-1.054216,-10.573232
2024-06-05,19000,19300,18600,18800,4057547,1,-0.430975,-11.004207
2024-06-06,18900,19200,18600,18600,2637724,1,-0.04593,-11.050137
2024-06-07,18700,19000,18500,18800,2759287,1,0.115397,-10.93474
2024-06-10,18600,19100,18600,18700,2454893,1,-0.584003,-11.518743
2024-06-11,18400,18800,18300,18300,3861080,1,-1.476502,-12.995245
2024-06-12,18300,18600,18200,18600,2860497,1,-0.195771,-13.191016
2024-06-13,18600,18800,18400,18400,1986339,1,-0.541141,-13.732157
2024-06-14,18400,18500,17600,17600,5175102,1,0.061174,-13.670983
2024-06-17,17700,17800,17300,17500,2631933,1,-0.441445,-14.112428
2024-06-18,17600,17700,17500,17600,1354611,1,0.085687,-14.026741
2024-06-19,17600,17600,17200,17400,1894167,1,-0.998761,-15.025502
2024-06-20,17400,17500,17100,17300,1919837,1,-0.622033,-15.647535
2024-06-21,17300,17400,17100,17100,1910977,1,-0.932129,-16.579664
2024-06-24,17100,17300,16500,17000,5092164,1,-0.208924,-16.788588
2024-06-25,17000,17000,16700,17000,1142936,1,0.364448,-16.42414
2024-06-26,15600,17000,15600,17000,1233999,1,0.059501,-16.364639
2024-06-27,15700,17000,15700,17000,859860,1,-0.128574,-16.493213
2024-06-28,16900,17200,16800,17000,2174860,1,0.185762,-16.307451
2024-07-01,17000,17000,16700,17000,2991858,1,0.68114,-15.626311
2024-07-02,16900,17400,16900,17400,874096,1,0.458402,-15.167909
2024-07-03,17400,17400,17100,17400,711508,1,0.121992,-15.045917
2024-07-04,17200,17400,17100,17200,787301,1,-0.260659,-15.306576
2024-07-05,17200,17300,17000,17200,970670,1,-0.00259,-15.309166
2024-07-09,17300,18000,17300,17600,2949141,1,-0.0496,-15.358766
2024-07-10,17600,17800,17400,17500,1149097,1,-0.3961,-15.754866
2024-07-11,17600,17800,17500,17700,1699910,1,-0.396,-16.150866
2024-07-12,17700,17800,17400,17700,1113166,1,0.0972,-16.053666
2024-07-15,17700,17700,16300,17600,817798,1,-0.3655,-16.419166
2024-07-16,15900,17600,15900,17500,1013550,1,-0.5915,-17.010666
2024-07-17,17500,17500,16700,17000,2235903,1,-0.822,-17.832666
2024-07-18,16800,17000,16700,17000,1920957,1,-0.2888,-18.121466
2024-07-19,17000,17000,16600,17000,1797198,1,-0.9387,-19.060166
2024-07-22,16700,16900,16200,16800,1698852,1,-0.4756,-19.535766
2024-07-23,16500,16800,16500,16600,1423043,1,-0.3115,-19.847266
2024-07-24,16400,16800,16100,16600,1571005,1,0.0249,-19.822366
2024-07-25,16300,16600,16300,16600,858605,1,0.1221,-19.700266
2024-07-26,16400,16800,16400,16800,797300,1,0.0567,-19.643566
2024-07-29,16800,17000,16600,16800,670400,1,-0.207,-19.850566
2024-07-30,16800,16800,16100,16700,1253300,1,-0.4002,-20.250766
2024-07-31,16700,16900,16400,16800,1015700,1,0.0026,-20.248166
2024-08-01,16800,16900,16000,16600,2008500,1,-0.1636,-20.411766
2024-08-02,16500,16800,16200,16700,2481100,1,1.1652,-19.246566
2024-08-05,16700,16700,15300,16400,3336400,1,-2.4846,-21.731166
2024-08-06,16400,16500,15800,16500,2342500,1,0.8661,-20.865066
2024-08-07,16600,16600,16200,16500,1116900,1,-0.5298,-21.394866
2024-08-08,16200,16900,16200,16600,2547000,1,0.9024,-20.492466
2024-08-09,16600,16900,16500,16900,899700,1,-0.2718,-20.764266
2024-08-12,16800,17000,16700,17000,1132800,1,0.1895,-20.574766
