t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-07-09,35600,35800,34400,34550,5580490,1,-1.7692,-1.7692
2024-07-10,34550,35000,34000,34200,5127103,1,-1.4471,-3.2163
2024-07-11,34200,34850,34000,34600,1489053,1,-0.1324,-3.3487
2024-07-12,34600,34950,34300,34450,1888920,1,-0.4878,-3.8365
2024-07-15,34450,34850,33600,33600,3049186,1,-0.9328,-4.7693
2024-07-16,33600,33800,31250,31250,10559472,1,-3.0946,-7.8639
2024-07-17,31200,31200,29100,29100,8182409,1,-1.4749,-9.3388
2024-07-18,27250,29000,27100,28100,8828217,1,0.2146,-9.1242
2024-07-19,28050,28100,26150,26150,4586596,1,-1.1369,-10.2611
2024-07-22,24500,25000,24350,24350,1200617,1,0.5122,-9.7489
2024-07-23,22650,22650,22650,22650,690806,1,0.6787,-9.0702
2024-07-24,21100,22600,21100,21700,14381502,1,5.0647,-4.0055
2024-07-25,21700,21700,20200,20200,7303548,1,-1.2875,-5.293
2024-07-26,20000,21250,19100,20900,9684700,1,-0.1945,-5.4875
2024-07-29,20900,22350,20600,22350,3765600,1,0.9131,-4.5744
2024-07-30,22450,23900,22450,22800,9660700,1,-1.8913,-6.4657
2024-07-31,23000,23700,21250,21250,6029000,1,-2.1835,-8.6492
2024-08-01,20700,21250,20000,20650,7321100,1,-1.4224,-10.0716
2024-08-02,20650,22050,20050,22050,5684600,1,0.4751,-9.5965
2024-08-05,22050,22050,20550,20550,6647800,1,-0.7946,-10.3911
2024-08-06,20800,21950,20750,21900,3494300,1,0.7643,-9.6268
2024-08-07,21900,22300,21000,21450,2755000,1,-0.4642,-10.091
2024-08-08,21450,21750,19950,19950,6907400,1,-1.4466,-11.5376
2024-08-09,19950,20500,18900,19050,7658600,1,-1.7458,-13.2834
2024-08-12,19050,20350,19000,20350,4970000,1,2.0745,-11.2089
